timestamp,name,packageName,isSystemApp,type,isUpdatedSystemApp
1556843426401,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556843428600,시계,com.sec.android.app.clockpackage,True,MOVE_TO_FOREGROUND,True
1556843428766,안드로이드 시스템,android,True,KEYGUARD_HIDDEN,False
1556843430046,시계,com.sec.android.app.clockpackage,True,MOVE_TO_BACKGROUND,True
1556843430058,Samsung Experience 홈,com.sec.android.app.launcher,True,MOVE_TO_FOREGROUND,False
1556843433949,카카오톡,com.kakao.talk,False,NONE,False
1556843436622,Samsung Experience 홈,com.sec.android.app.launcher,True,MOVE_TO_BACKGROUND,False
1556843436651,시계,com.sec.android.app.clockpackage,True,MOVE_TO_FOREGROUND,True
1556843454712,시계,com.sec.android.app.clockpackage,True,MOVE_TO_BACKGROUND,True
1556843454779,전화,com.android.server.telecom,True,MOVE_TO_FOREGROUND,False
1556843454891,전화,com.android.server.telecom,True,MOVE_TO_BACKGROUND,False
1556843454922,시계,com.sec.android.app.clockpackage,True,MOVE_TO_FOREGROUND,True
1556843455737,시계,com.sec.android.app.clockpackage,True,MOVE_TO_BACKGROUND,True
1556843455759,전화,com.samsung.android.incallui,True,MOVE_TO_FOREGROUND,False
1556843455826,전화,com.samsung.android.incallui,True,NONE,False
1556843471885,전화,com.samsung.android.incallui,True,MOVE_TO_BACKGROUND,False
1556843471923,시계,com.sec.android.app.clockpackage,True,MOVE_TO_FOREGROUND,True
1556843479178,Google,com.google.android.googlequicksearchbox,True,NONE,True
1556843479178,Google,com.google.android.googlequicksearchbox,True,NONE,True
1556843479787,시계,com.sec.android.app.clockpackage,True,MOVE_TO_BACKGROUND,True
1556843479802,카카오톡,com.kakao.talk,False,USER_INTERACTION,False
1556843479823,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556843479900,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556843479928,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556843479976,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556843480085,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556843480669,BadgeProvider,com.sec.android.provider.badge,True,NONE,False
1556843481473,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556843481518,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556843669815,Chrome,com.android.chrome,True,NONE,True
1556843671520,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556843671541,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556843680059,Samsung Pass 자동 완성,com.samsung.android.samsungpassautofill,True,NONE,True
1556843696331,원스토어,com.kt.olleh.storefront,True,NONE,True
1556843712850,빅스비 홈,com.samsung.android.app.spage,True,NONE,True
1556843737254,카카오톡,com.kakao.talk,False,NONE,False
1556843737311,카카오톡,com.kakao.talk,False,NONE,False
1556843851314,원스토어,com.kt.olleh.storefront,True,NONE,True
1556844068147,Samsung DeX,com.sec.android.desktopmode.uiservice,True,NONE,False
1556844072630,차단된 번호 스토리지,com.android.providers.blockednumber,True,NONE,False
1556844072631,사용자 사전,com.android.providers.userdictionary,True,NONE,False
1556844112725,위메프,com.wemakeprice,False,NONE,False
1556844271523,안드로이드 시스템,android,True,SCREEN_NON_INTERACTIVE,False
1556844272170,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556844272820,차단된 번호 스토리지,com.android.providers.blockednumber,True,NONE,False
1556844272823,사용자 사전,com.android.providers.userdictionary,True,NONE,False
1556844276771,안드로이드 시스템,android,True,NONE,False
1556844312220,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556844313808,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556844313869,안드로이드 시스템,android,True,KEYGUARD_HIDDEN,False
1556844313911,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556844314204,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556844315631,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556844315683,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556844316384,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556844316395,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556844316776,Samsung Pass 자동 완성,com.samsung.android.samsungpassautofill,True,NONE,True
1556844318148,안드로이드 시스템,android,True,SCREEN_NON_INTERACTIVE,False
1556844318513,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556844318798,안드로이드 시스템,android,True,NONE,False
1556844488220,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556844512877,안드로이드 시스템,android,True,SCREEN_NON_INTERACTIVE,False
1556844560878,갤러리,com.sec.android.gallery3d,True,NONE,True
1556844560905,한컴오피스 viewer,com.tf.thinkdroid.viewer,False,NONE,False
1556844560926,Messenger,com.facebook.orca,False,NONE,False
1556844560927,Samsung Health,com.sec.android.app.shealth,False,NONE,False
1556844560927,번역,com.google.android.apps.translate,False,NONE,False
1556844588217,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556844590863,안드로이드 시스템,android,True,SCREEN_NON_INTERACTIVE,False
1556844615083,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556844615852,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556844615932,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556844615941,안드로이드 시스템,android,True,KEYGUARD_HIDDEN,False
1556844615995,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556844616451,안드로이드 시스템,android,True,SCREEN_NON_INTERACTIVE,False
1556844616846,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556844617097,안드로이드 시스템,android,True,NONE,False
1556844617442,안드로이드 시스템,android,True,SCREEN_INTERACTIVE,False
1556844618381,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556844618421,안드로이드 시스템,android,True,KEYGUARD_HIDDEN,False
1556844620016,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
1556844620044,카카오톡,com.kakao.talk,False,MOVE_TO_FOREGROUND,False
1556844622592,안드로이드 시스템,android,True,NONE,False
1556844622618,카카오톡,com.kakao.talk,False,MOVE_TO_BACKGROUND,False
