timestamp,transitionType
1557016215054,EXIT_STILL
1557016215054,ENTER_WALKING
1557016243782,EXIT_WALKING
1557016243782,ENTER_STILL
1557016850878,EXIT_STILL
1557016850878,ENTER_WALKING
1557016928622,EXIT_WALKING
1557016928622,ENTER_STILL
1557017634407,EXIT_STILL
1557017634407,ENTER_WALKING
1557017653671,EXIT_WALKING
1557017653671,ENTER_STILL
1557018687383,EXIT_STILL
1557018687383,ENTER_WALKING
1557018717105,EXIT_WALKING
1557018717105,ENTER_STILL
1557018733121,EXIT_STILL
1557018733121,ENTER_WALKING
1557018759455,EXIT_WALKING
1557018759455,ENTER_STILL
1557018802756,EXIT_STILL
1557018802756,ENTER_WALKING
1557018831150,EXIT_WALKING
1557018831150,ENTER_STILL
1557019089005,EXIT_STILL
1557019089005,ENTER_WALKING
1557019114890,EXIT_WALKING
1557019114890,ENTER_STILL
1557019186265,EXIT_STILL
1557019186265,ENTER_WALKING
1557019251349,EXIT_WALKING
1557019251349,ENTER_IN_VEHICLE
1557023638480,EXIT_IN_VEHICLE
1557023638480,ENTER_WALKING
1557023697897,EXIT_WALKING
1557023697897,ENTER_STILL
1557023758930,EXIT_STILL
1557023758930,ENTER_WALKING
1557023801272,EXIT_WALKING
1557023801272,ENTER_STILL
1557023971744,EXIT_STILL
1557023971744,ENTER_WALKING
1557023995456,EXIT_WALKING
1557023995456,ENTER_STILL
1557024012672,EXIT_STILL
1557024012672,ENTER_WALKING
1557024054685,EXIT_WALKING
1557024054685,ENTER_STILL
1557024678710,EXIT_STILL
1557024678710,ENTER_WALKING
1557024713982,EXIT_WALKING
1557024713982,ENTER_STILL
1557024891747,EXIT_STILL
1557024891747,ENTER_WALKING
1557024915756,EXIT_WALKING
1557024915756,ENTER_STILL
1557028775298,EXIT_STILL
1557028775298,ENTER_WALKING
1557028853215,EXIT_WALKING
1557028853215,ENTER_STILL
1557029133113,EXIT_STILL
1557029133113,ENTER_IN_VEHICLE
1557029449734,EXIT_IN_VEHICLE
1557029449734,ENTER_WALKING
1557029516345,EXIT_WALKING
1557029516345,ENTER_STILL
1557029590591,EXIT_STILL
1557029590591,ENTER_WALKING
1557029632847,EXIT_WALKING
1557029632847,ENTER_STILL
1557029662306,EXIT_STILL
1557029662306,ENTER_WALKING
1557029750976,EXIT_WALKING
1557029750976,ENTER_ON_BICYCLE
1557029908461,EXIT_ON_BICYCLE
1557029908461,ENTER_STILL
1557029996059,EXIT_STILL
1557029996059,ENTER_WALKING
1557030223010,EXIT_WALKING
1557030223010,ENTER_ON_BICYCLE
1557030312627,EXIT_ON_BICYCLE
1557030312627,ENTER_WALKING
1557030382130,EXIT_WALKING
1557030382130,ENTER_STILL
1557030425348,EXIT_STILL
1557030425348,ENTER_WALKING
1557030462710,EXIT_WALKING
1557030462710,ENTER_ON_BICYCLE
1557030565487,EXIT_ON_BICYCLE
1557030565487,ENTER_WALKING
1557030747367,EXIT_WALKING
1557030747367,ENTER_STILL
1557030763372,EXIT_STILL
1557030763372,ENTER_WALKING
1557030885093,EXIT_WALKING
1557030885093,ENTER_STILL
1557030907496,EXIT_STILL
1557030907496,ENTER_WALKING
1557031660750,EXIT_WALKING
1557031660750,ENTER_STILL
1557031733875,EXIT_STILL
1557031733875,ENTER_WALKING
1557032333801,EXIT_WALKING
1557032333801,ENTER_STILL
1557032394831,EXIT_STILL
1557032394831,ENTER_WALKING
1557032490421,EXIT_WALKING
1557032490421,ENTER_STILL
1557032540389,EXIT_STILL
1557032540389,ENTER_WALKING
1557032598074,EXIT_WALKING
1557032598074,ENTER_STILL
1557032612030,EXIT_STILL
1557032612030,ENTER_WALKING
1557032638170,EXIT_WALKING
1557032638170,ENTER_STILL
1557032713479,EXIT_STILL
1557032713479,ENTER_IN_VEHICLE
1557036580925,EXIT_IN_VEHICLE
1557036580925,ENTER_WALKING
1557036628920,EXIT_WALKING
1557036628920,ENTER_ON_BICYCLE
1557036657727,EXIT_ON_BICYCLE
1557036657727,ENTER_WALKING
1557036688527,EXIT_WALKING
1557036688527,ENTER_STILL
1557036791464,EXIT_STILL
1557036791464,ENTER_WALKING
1557036825979,EXIT_WALKING
1557036825979,ENTER_STILL
1557038455507,EXIT_STILL
1557038455507,ENTER_WALKING
1557038476664,EXIT_WALKING
1557038476664,ENTER_STILL
1557044648208,EXIT_STILL
1557044648208,ENTER_WALKING
1557044756082,EXIT_WALKING
1557044756082,ENTER_STILL
1557045681157,EXIT_STILL
1557045681157,ENTER_WALKING
1557045721099,EXIT_WALKING
1557045721099,ENTER_STILL
1557046216902,EXIT_STILL
1557046216902,ENTER_WALKING
1557046299192,EXIT_WALKING
1557046299192,ENTER_STILL
1557059504007,EXIT_STILL
1557059504007,ENTER_WALKING
1557059553587,EXIT_WALKING
1557059553587,ENTER_STILL
1557059740099,EXIT_STILL
