timestamp,transitionType
1557106746483,EXIT_STILL
1557106746483,ENTER_WALKING
1557106857405,EXIT_WALKING
1557106857405,ENTER_STILL
1557109820800,EXIT_STILL
1557109820800,ENTER_WALKING
1557110069270,EXIT_WALKING
1557110069270,ENTER_STILL
1557110144743,EXIT_STILL
1557110144743,ENTER_IN_VEHICLE
1557112172639,EXIT_IN_VEHICLE
1557112172639,ENTER_WALKING
1557112626323,EXIT_WALKING
1557112626323,ENTER_STILL
1557113417626,EXIT_STILL
1557113417626,ENTER_WALKING
1557113755915,EXIT_WALKING
1557113755915,ENTER_STILL
1557113969238,EXIT_STILL
1557113969238,ENTER_WALKING
1557115194105,EXIT_WALKING
1557115194105,ENTER_STILL
1557117375997,EXIT_STILL
1557117375997,ENTER_WALKING
1557117621948,EXIT_WALKING
1557117621948,ENTER_STILL
1557117893761,EXIT_STILL
1557117893761,ENTER_WALKING
1557118149446,EXIT_WALKING
1557118149446,ENTER_STILL
1557122534443,EXIT_STILL
1557122534443,ENTER_IN_VEHICLE
1557123445027,EXIT_IN_VEHICLE
1557123445027,ENTER_STILL
1557126070198,EXIT_STILL
1557126070198,ENTER_WALKING
1557126145623,EXIT_WALKING
1557126145623,ENTER_STILL
1557126161010,EXIT_STILL
1557126161010,ENTER_WALKING
1557131226442,EXIT_WALKING
1557131226442,ENTER_STILL
1557131468904,EXIT_STILL
1557131468904,ENTER_WALKING
1557131546129,EXIT_WALKING
1557131546129,ENTER_STILL
1557160655144,EXIT_STILL
1557160655144,ENTER_WALKING
1557160795021,EXIT_WALKING
1557160795021,ENTER_STILL
1557184587365,EXIT_STILL
1557184587365,ENTER_WALKING
1557184633881,EXIT_WALKING
1557184633881,ENTER_STILL
1557184919007,EXIT_STILL
1557184919007,ENTER_WALKING
1557184982247,EXIT_WALKING
1557184982247,ENTER_STILL
1557185042684,EXIT_STILL
1557185042684,ENTER_WALKING
1557185089868,EXIT_WALKING
1557185089868,ENTER_STILL
1557185243601,EXIT_STILL
1557185243601,ENTER_WALKING
1557185585815,EXIT_WALKING
1557185585815,ENTER_STILL
1557185631496,EXIT_STILL
1557185631496,ENTER_WALKING
1557185677937,EXIT_WALKING
1557185677937,ENTER_STILL
