timestamp,transitionType
1556638851505,EXIT_STILL
1556638851505,ENTER_WALKING
1556639367244,EXIT_WALKING
1556639367244,ENTER_STILL
1556640433400,EXIT_STILL
1556640433400,ENTER_WALKING
1556640573021,EXIT_WALKING
1556640573021,ENTER_STILL
1556590553609,EXIT_STILL
1556590553609,ENTER_WALKING
1556591105412,EXIT_WALKING
1556591105412,ENTER_STILL
1556594030590,EXIT_STILL
1556594030590,ENTER_WALKING
1556594134780,EXIT_WALKING
1556594134780,ENTER_STILL
1556596595891,EXIT_STILL
1556596595891,ENTER_WALKING
1556597026133,EXIT_WALKING
1556597026133,ENTER_STILL
1556599052892,EXIT_STILL
1556599052892,ENTER_IN_VEHICLE
1556599745944,EXIT_IN_VEHICLE
1556599745944,ENTER_WALKING
1556599761253,EXIT_WALKING
1556599761253,ENTER_STILL
1556601096035,EXIT_STILL
1556601096035,ENTER_WALKING
1556601487474,EXIT_WALKING
1556601487474,ENTER_STILL
1556601516765,EXIT_STILL
1556601516765,ENTER_WALKING
1556601585795,EXIT_WALKING
1556601585795,ENTER_STILL
1556601638241,EXIT_STILL
1556601638241,ENTER_WALKING
1556601682438,EXIT_WALKING
1556601682438,ENTER_STILL
1556601801419,EXIT_STILL
1556601801419,ENTER_WALKING
1556602093224,EXIT_WALKING
1556602093224,ENTER_STILL
1556602165127,EXIT_STILL
1556602165127,ENTER_WALKING
1556602179034,EXIT_WALKING
1556602179034,ENTER_STILL
1556602235970,EXIT_STILL
1556602235970,ENTER_WALKING
1556602395381,EXIT_WALKING
1556602395381,ENTER_STILL
1556602557715,EXIT_STILL
1556602557715,ENTER_WALKING
1556603056322,EXIT_WALKING
1556603056322,ENTER_STILL
1556603141748,EXIT_STILL
1556603141748,ENTER_WALKING
1556603185492,EXIT_WALKING
1556603185492,ENTER_STILL
1556603240858,EXIT_STILL
1556603240858,ENTER_WALKING
1556604154593,EXIT_WALKING
1556604154593,ENTER_STILL
1556604601161,EXIT_STILL
1556604601161,ENTER_WALKING
1556604710609,EXIT_WALKING
1556604710609,ENTER_IN_VEHICLE
1556605189237,EXIT_IN_VEHICLE
1556605189237,ENTER_WALKING
1556605975012,EXIT_WALKING
1556605975012,ENTER_IN_VEHICLE
1556606767705,EXIT_IN_VEHICLE
1556606767705,ENTER_WALKING
1556610918236,EXIT_WALKING
1556610918236,ENTER_STILL
1556611554774,EXIT_STILL
1556611554774,ENTER_WALKING
1556612991542,EXIT_WALKING
1556612991542,ENTER_STILL
1556614044413,EXIT_STILL
1556614044413,ENTER_WALKING
1556614653990,EXIT_WALKING
1556614653990,ENTER_STILL
1556614900959,EXIT_STILL
1556614900959,ENTER_WALKING
1556615685660,EXIT_WALKING
1556615685660,ENTER_STILL
1556615721138,EXIT_STILL
1556615721138,ENTER_WALKING
1556617368444,EXIT_WALKING
1556617368444,ENTER_STILL
1556617741324,EXIT_STILL
1556617741324,ENTER_WALKING
1556618039141,EXIT_WALKING
1556618039141,ENTER_STILL
1556618186378,EXIT_STILL
1556618186378,ENTER_WALKING
1556618577630,EXIT_WALKING
1556618577630,ENTER_STILL
1556619406443,EXIT_STILL
1556619406443,ENTER_WALKING
1556619924991,EXIT_WALKING
1556619924991,ENTER_STILL
1556620177111,EXIT_STILL
1556620177111,ENTER_WALKING
1556620369891,EXIT_WALKING
1556620369891,ENTER_STILL
1556620569413,EXIT_STILL
1556620569413,ENTER_WALKING
1556620628227,EXIT_WALKING
1556620628227,ENTER_STILL
1556621053515,EXIT_STILL
1556621053515,ENTER_WALKING
1556623009048,EXIT_WALKING
1556623009048,ENTER_IN_VEHICLE
1556623450412,EXIT_IN_VEHICLE
1556623450412,ENTER_WALKING
1556623499893,EXIT_WALKING
1556623499893,ENTER_STILL
1556625556883,EXIT_STILL
1556625556883,ENTER_WALKING
1556625656711,EXIT_WALKING
1556625656711,ENTER_STILL
1556625754643,EXIT_STILL
1556625754643,ENTER_WALKING
1556625785165,EXIT_WALKING
1556625785165,ENTER_STILL
1556625862918,EXIT_STILL
1556625862918,ENTER_IN_VEHICLE
1556626624303,EXIT_IN_VEHICLE
1556626624303,ENTER_WALKING
1556626752140,EXIT_WALKING
1556626752140,ENTER_STILL
1556626937491,EXIT_STILL
1556626937491,ENTER_IN_VEHICLE
1556627203862,EXIT_IN_VEHICLE
1556627203862,ENTER_WALKING
1556627331572,EXIT_WALKING
1556627331572,ENTER_STILL
1556627421466,EXIT_STILL
1556627421466,ENTER_WALKING
1556627587676,EXIT_WALKING
1556627587676,ENTER_IN_VEHICLE
1556627707696,EXIT_IN_VEHICLE
1556627707696,ENTER_WALKING
1556628017321,EXIT_WALKING
1556628017321,ENTER_STILL
1556628074582,EXIT_STILL
1556628074582,ENTER_WALKING
1556628158264,EXIT_WALKING
1556628158264,ENTER_STILL
1556628548198,EXIT_STILL
1556628548198,ENTER_WALKING
1556628695638,EXIT_WALKING
1556628695638,ENTER_STILL
1556632609954,EXIT_STILL
1556632609954,ENTER_WALKING
1556634209001,EXIT_WALKING
1556634209001,ENTER_STILL
