timestamp,transitionType
1558483260553,EXIT_WALKING
1558483260553,ENTER_STILL
1558486696973,EXIT_STILL
1558486696973,ENTER_WALKING
1558487134703,EXIT_WALKING
1558487134703,ENTER_STILL
1558487517980,EXIT_STILL
1558487517980,ENTER_WALKING
1558487581670,EXIT_WALKING
1558487581670,ENTER_STILL
1558490732039,EXIT_STILL
1558490732039,ENTER_WALKING
1558491311698,EXIT_WALKING
1558491311698,ENTER_STILL
1558494003420,EXIT_STILL
1558494003420,ENTER_WALKING
1558494685142,EXIT_WALKING
1558494685142,ENTER_STILL
1558495360976,EXIT_STILL
1558495360976,ENTER_WALKING
1558495658355,EXIT_WALKING
1558495658355,ENTER_STILL
1558497789513,EXIT_STILL
1558497789513,ENTER_WALKING
1558497834048,EXIT_WALKING
1558497834048,ENTER_STILL
1558505348848,EXIT_STILL
1558505348848,ENTER_WALKING
1558505402749,EXIT_WALKING
1558505402749,ENTER_STILL
1558506339575,EXIT_STILL
1558506339575,ENTER_WALKING
1558506365080,EXIT_WALKING
1558506365080,ENTER_STILL
1558506441698,EXIT_STILL
1558506441698,ENTER_WALKING
1558506524320,EXIT_WALKING
1558506524320,ENTER_STILL
1558508170768,EXIT_STILL
1558508170768,ENTER_WALKING
1558508201861,EXIT_WALKING
1558508201861,ENTER_STILL
1558517836143,EXIT_STILL
1558517836143,ENTER_IN_VEHICLE
1558518471416,EXIT_IN_VEHICLE
1558518471416,ENTER_WALKING
1558519195463,EXIT_WALKING
1558519195463,ENTER_STILL
1558520274443,EXIT_STILL
1558520274443,ENTER_WALKING
1558520734571,EXIT_WALKING
1558520734571,ENTER_STILL
1558521534860,EXIT_STILL
1558521534860,ENTER_WALKING
1558522039706,EXIT_WALKING
1558522039706,ENTER_STILL
1558522442204,EXIT_STILL
1558522442204,ENTER_WALKING
1558522472794,EXIT_WALKING
1558522472794,ENTER_STILL
1558529360571,EXIT_STILL
1558529360571,ENTER_WALKING
1558530621835,EXIT_WALKING
1558530621835,ENTER_STILL
1558531174087,EXIT_STILL
1558531174087,ENTER_IN_VEHICLE
1558532034019,EXIT_IN_VEHICLE
1558532034019,ENTER_STILL
