timestamp,transitionType
1558401654055,EXIT_STILL
1558401654055,ENTER_WALKING
1558402185017,EXIT_WALKING
1558402185017,ENTER_STILL
1558406450518,EXIT_STILL
1558406450518,ENTER_WALKING
1558406942717,EXIT_WALKING
1558406942717,ENTER_STILL
1558408238911,EXIT_STILL
1558408238911,ENTER_WALKING
1558408700741,EXIT_WALKING
1558408700741,ENTER_STILL
1558410997688,EXIT_STILL
1558410997688,ENTER_WALKING
1558411067196,EXIT_WALKING
1558411067196,ENTER_ON_BICYCLE
1558411286595,EXIT_ON_BICYCLE
1558411286595,ENTER_WALKING
1558411413047,EXIT_WALKING
1558411413047,ENTER_STILL
1558415680236,EXIT_STILL
1558415680236,ENTER_WALKING
1558415890968,EXIT_WALKING
1558415890968,ENTER_IN_VEHICLE
1558416398356,EXIT_IN_VEHICLE
1558416398356,ENTER_STILL
1558420766411,EXIT_STILL
1558420766411,ENTER_WALKING
1558420932126,EXIT_WALKING
1558420932126,ENTER_ON_BICYCLE
1558421019962,EXIT_ON_BICYCLE
1558421019962,ENTER_STILL
1558421412723,EXIT_STILL
1558421412723,ENTER_ON_BICYCLE
1558421547820,EXIT_ON_BICYCLE
1558421547820,ENTER_WALKING
1558422043371,EXIT_WALKING
1558422043371,ENTER_STILL
1558423240549,EXIT_STILL
1558423240549,ENTER_IN_VEHICLE
1558423762110,EXIT_IN_VEHICLE
1558423762110,ENTER_STILL
1558426344999,EXIT_STILL
1558426344999,ENTER_WALKING
1558426447371,EXIT_WALKING
1558426447371,ENTER_ON_BICYCLE
1558426701746,EXIT_ON_BICYCLE
1558426701746,ENTER_WALKING
1558426785855,EXIT_WALKING
1558426785855,ENTER_ON_BICYCLE
1558426817878,EXIT_ON_BICYCLE
1558426817878,ENTER_WALKING
1558426866458,EXIT_WALKING
1558426866458,ENTER_ON_BICYCLE
1558426939733,EXIT_ON_BICYCLE
1558426939733,ENTER_WALKING
1558427720854,EXIT_WALKING
1558427720854,ENTER_IN_VEHICLE
1558428033659,EXIT_IN_VEHICLE
1558428033659,ENTER_WALKING
1558428444512,EXIT_WALKING
1558428444512,ENTER_STILL
1558430364991,EXIT_STILL
1558430364991,ENTER_WALKING
1558430670419,EXIT_WALKING
1558430670419,ENTER_STILL
1558431082872,EXIT_STILL
1558431082872,ENTER_WALKING
1558433004796,EXIT_WALKING
1558433004796,ENTER_STILL
1558436015458,EXIT_STILL
1558436015458,ENTER_WALKING
1558436193589,EXIT_WALKING
1558436193589,ENTER_STILL
1558436351316,EXIT_STILL
1558436351316,ENTER_IN_VEHICLE
1558436870087,EXIT_IN_VEHICLE
1558436870087,ENTER_STILL
1558439221801,EXIT_STILL
1558439221801,ENTER_WALKING
1558439760460,EXIT_WALKING
1558439760460,ENTER_STILL
1558439960133,EXIT_STILL
1558439960133,ENTER_ON_BICYCLE
1558440246551,EXIT_ON_BICYCLE
1558440246551,ENTER_STILL
1558446807077,EXIT_STILL
1558446807077,ENTER_ON_BICYCLE
1558446827423,EXIT_ON_BICYCLE
1558446827423,ENTER_WALKING
1558446915472,EXIT_WALKING
1558446915472,ENTER_STILL
1558449569509,EXIT_STILL
1558449569509,ENTER_WALKING
1558450042356,EXIT_WALKING
1558450042356,ENTER_STILL
1558450894464,EXIT_STILL
1558450894464,ENTER_WALKING
1558451205101,EXIT_WALKING
1558451205101,ENTER_STILL
1558451596255,EXIT_STILL
1558451596255,ENTER_WALKING
1558451680767,EXIT_WALKING
1558451680767,ENTER_STILL
1558455087467,EXIT_STILL
1558455087467,ENTER_WALKING
1558455189734,EXIT_WALKING
1558455189734,ENTER_STILL
1558455216470,EXIT_STILL
1558455216470,ENTER_WALKING
1558455321824,EXIT_WALKING
1558455321824,ENTER_STILL
