name,packageName,isSystemApp,isUpdatedSystemApp,start_time,end_time
YouTube,com.google.android.youtube,True,True,2019-05-08 00:46:55.990,2019-05-08 00:47:00.499
기본홈,com.lge.launcher3,True,False,2019-05-08 00:47:00.689,2019-05-08 00:47:02.351
시스템 UI,com.android.systemui,True,False,2019-05-08 00:47:02.366,2019-05-08 00:47:03.831
기본홈,com.lge.launcher3,True,False,2019-05-08 00:47:03.841,2019-05-08 00:47:08.575
Polar Beat,fi.polar.beat,False,False,2019-05-08 00:47:08.667,2019-05-08 00:47:10.035
Polar Beat,fi.polar.beat,False,False,2019-05-08 00:47:10.046,2019-05-08 00:47:12.487
Polar Beat,fi.polar.beat,False,False,2019-05-08 00:47:12.502,2019-05-08 00:47:47.655
기본홈,com.lge.launcher3,True,False,2019-05-08 00:47:47.672,2019-05-08 00:47:52.143
Polar Beat,fi.polar.beat,False,False,2019-05-08 00:47:52.169,2019-05-08 00:47:54.845
기본홈,com.lge.launcher3,True,False,2019-05-08 00:47:54.854,2019-05-08 00:48:12.994
시스템 UI,com.android.systemui,True,False,2019-05-08 00:48:13.004,2019-05-08 00:48:14.883
기본홈,com.lge.launcher3,True,False,2019-05-08 00:48:14.891,2019-05-08 00:48:20.047
설정,com.android.settings,True,False,2019-05-08 00:48:20.126,2019-05-08 00:48:28.039
설정,com.android.settings,True,False,2019-05-08 00:48:28.568,2019-05-08 00:48:29.761
기본홈,com.lge.launcher3,True,False,2019-05-08 00:48:29.776,2019-05-08 00:48:46.689
Paco,com.pacoapp.paco,False,False,2019-05-08 00:48:46.709,2019-05-08 00:48:51.123
Paco,com.pacoapp.paco,False,False,2019-05-08 00:48:51.139,2019-05-08 00:49:24.489
Paco,com.pacoapp.paco,False,False,2019-05-08 00:49:24.529,2019-05-08 00:49:27.564
Paco,com.pacoapp.paco,False,False,2019-05-08 00:49:27.578,2019-05-08 00:51:08.437
기본홈,com.lge.launcher3,True,False,2019-05-08 00:51:08.447,2019-05-08 00:51:12.768
Microsoft Band,com.microsoft.kapp,False,False,2019-05-08 00:51:12.790,2019-05-08 00:51:15.489
Microsoft Band,com.microsoft.kapp,False,False,2019-05-08 00:51:15.622,2019-05-08 00:51:24.795
기본홈,com.lge.launcher3,True,False,2019-05-08 00:51:24.804,2019-05-08 00:51:25.693
Logger,iclab.kaist.ac.kr.msband_logger,False,False,2019-05-08 00:51:25.854,2019-05-08 00:51:26.151
패키지 설치 프로그램,com.google.android.packageinstaller,True,False,2019-05-08 00:51:26.281,2019-05-08 00:51:26.499
Logger,iclab.kaist.ac.kr.msband_logger,False,False,2019-05-08 00:51:26.516,2019-05-08 00:51:29.611
접근성,com.android.settingsaccessibility,True,False,2019-05-08 00:51:29.699,2019-05-08 00:51:49.201
기본홈,com.lge.launcher3,True,False,2019-05-08 00:51:49.213,2019-05-08 00:51:54.522
ABC Logger,kaist.iclab.abclogger,False,False,2019-05-08 00:51:54.561,2019-05-08 00:51:54.691
ABC Logger,kaist.iclab.abclogger,False,False,2019-05-08 00:51:54.739,2019-05-08 00:51:58.021
기본홈,com.lge.launcher3,True,False,2019-05-08 00:51:58.035,2019-05-08 00:52:06.656
Microsoft Band,com.microsoft.kapp,False,False,2019-05-08 00:52:06.680,2019-05-08 00:52:13.899
기본홈,com.lge.launcher3,True,False,2019-05-08 00:52:13.911,2019-05-08 00:52:14.838
시스템 UI,com.android.systemui,True,False,2019-05-08 00:52:14.848,2019-05-08 00:52:16.315
기본홈,com.lge.launcher3,True,False,2019-05-08 00:52:16.322,2019-05-08 00:52:27.979
기본홈,com.lge.launcher3,True,False,2019-05-08 01:00:24.005,2019-05-08 01:00:30.954
기본홈,com.lge.launcher3,True,False,2019-05-08 01:05:35.238,2019-05-08 01:05:38.142
네이버 지도,com.nhn.android.nmap,False,False,2019-05-08 01:05:38.218,2019-05-08 01:05:39.319
네이버 지도,com.nhn.android.nmap,False,False,2019-05-08 01:05:39.364,2019-05-08 01:06:13.852
네이버 지도,com.nhn.android.nmap,False,False,2019-05-08 01:39:37.872,2019-05-08 01:39:40.166
기본홈,com.lge.launcher3,True,False,2019-05-08 01:39:40.181,2019-05-08 01:39:46.987
Dropsync,com.ttxapps.dropsync,False,False,2019-05-08 01:39:47.017,2019-05-08 01:40:03.102
