actionType,start_time,end_time
WALKING,2019-05-08 00:00:00.000,2019-05-08 00:17:03.617
STILL,2019-05-08 00:17:03.617,2019-05-08 01:17:06.100
WALKING,2019-05-08 01:17:06.100,2019-05-08 01:24:07.238
STILL,2019-05-08 01:24:07.238,2019-05-08 02:36:45.019
WALKING,2019-05-08 02:36:45.019,2019-05-08 02:44:27.380
STILL,2019-05-08 02:44:27.380,2019-05-08 02:44:47.871
WALKING,2019-05-08 02:44:47.871,2019-05-08 02:46:54.719
STILL,2019-05-08 02:46:54.719,2019-05-08 03:41:55.452
WALKING,2019-05-08 03:41:55.452,2019-05-08 04:07:09.746
STILL,2019-05-08 04:07:09.746,2019-05-08 04:13:05.229
WALKING,2019-05-08 04:13:05.229,2019-05-08 04:14:19.382
STILL,2019-05-08 04:14:19.382,2019-05-08 05:22:38.326
WALKING,2019-05-08 05:22:38.326,2019-05-08 05:26:25.086
STILL,2019-05-08 05:26:25.086,2019-05-08 06:45:16.637
WALKING,2019-05-08 06:45:16.637,2019-05-08 06:47:14.617
ON_BICYCLE,2019-05-08 06:47:14.617,2019-05-08 07:01:08.023
STILL,2019-05-08 07:01:08.023,2019-05-08 07:35:39.176
WALKING,2019-05-08 07:35:39.176,2019-05-08 08:02:03.036
STILL,2019-05-08 08:02:03.036,2019-05-08 09:35:01.994
WALKING,2019-05-08 09:35:01.994,2019-05-08 09:40:18.388
STILL,2019-05-08 09:40:18.388,2019-05-08 09:54:04.448
WALKING,2019-05-08 09:54:04.448,2019-05-08 10:05:45.561
STILL,2019-05-08 10:05:45.561,2019-05-08 10:15:11.985
WALKING,2019-05-08 10:15:11.985,2019-05-08 10:48:03.797
STILL,2019-05-08 10:48:03.797,2019-05-08 11:51:30.189
WALKING,2019-05-08 11:51:30.189,2019-05-08 12:03:40.060
STILL,2019-05-08 12:03:40.060,2019-05-08 16:30:01.784
WALKING,2019-05-08 16:30:01.784,2019-05-08 16:34:25.272
STILL,2019-05-08 16:34:25.272,2019-05-08 16:34:55.019
WALKING,2019-05-08 16:34:55.019,2019-05-08 16:51:53.750
STILL,2019-05-08 16:51:53.750,2019-05-09 00:00:00.000
STILL,2019-05-09 00:00:00.000,2019-05-09 01:26:06.194
WALKING,2019-05-09 01:26:06.194,2019-05-09 01:34:14.842
STILL,2019-05-09 01:34:14.842,2019-05-09 02:49:38.230
WALKING,2019-05-09 02:49:38.230,2019-05-09 02:59:30.436
STILL,2019-05-09 02:59:30.436,2019-05-09 03:23:25.602
WALKING,2019-05-09 03:23:25.602,2019-05-09 03:25:00.496
STILL,2019-05-09 03:25:00.496,2019-05-09 03:47:02.354
WALKING,2019-05-09 03:47:02.354,2019-05-09 03:49:26.070
STILL,2019-05-09 03:49:26.070,2019-05-09 04:43:12.078
WALKING,2019-05-09 04:43:12.078,2019-05-09 04:50:03.379
ON_BICYCLE,2019-05-09 04:50:03.379,2019-05-09 04:51:48.793
WALKING,2019-05-09 04:51:48.793,2019-05-09 04:54:45.041
STILL,2019-05-09 04:54:45.041,2019-05-09 05:40:10.136
WALKING,2019-05-09 05:40:10.136,2019-05-09 05:52:02.713
STILL,2019-05-09 05:52:02.713,2019-05-09 06:57:40.513
WALKING,2019-05-09 06:57:40.513,2019-05-09 07:11:38.516
STILL,2019-05-09 07:11:38.516,2019-05-09 07:58:26.749
WALKING,2019-05-09 07:58:26.749,2019-05-09 08:09:45.912
STILL,2019-05-09 08:09:45.912,2019-05-09 08:45:18.302
WALKING,2019-05-09 08:45:18.302,2019-05-09 09:18:37.873
STILL,2019-05-09 09:18:37.873,2019-05-09 10:13:35.209
WALKING,2019-05-09 10:13:35.209,2019-05-09 10:41:53.721
STILL,2019-05-09 10:41:53.721,2019-05-09 13:33:52.293
WALKING,2019-05-09 13:33:52.293,2019-05-09 14:30:46.302
STILL,2019-05-09 14:30:46.302,2019-05-09 15:01:13.574
WALKING,2019-05-09 15:01:13.574,2019-05-09 15:18:48.717
STILL,2019-05-09 15:18:48.717,2019-05-09 15:54:02.148
WALKING,2019-05-09 15:54:02.148,2019-05-09 16:06:43.020
RUNNING,2019-05-09 16:06:43.020,2019-05-09 16:07:26.679
WALKING,2019-05-09 16:07:26.679,2019-05-09 16:11:00.320
STILL,2019-05-09 16:11:00.320,2019-05-09 16:18:14.595
WALKING,2019-05-09 16:18:14.595,2019-05-09 16:39:13.701
STILL,2019-05-09 16:39:13.701,2019-05-09 18:33:36.424
WALKING,2019-05-09 18:33:36.424,2019-05-09 18:57:57.555
RUNNING,2019-05-09 18:57:57.555,2019-05-09 19:20:39.298
WALKING,2019-05-09 19:20:39.298,2019-05-09 19:36:08.698
STILL,2019-05-09 19:36:08.698,2019-05-10 00:00:00.000
STILL,2019-05-10 00:00:00.000,2019-05-10 05:57:43.720
WALKING,2019-05-10 05:57:43.720,2019-05-10 06:01:23.364
STILL,2019-05-10 06:01:23.364,2019-05-10 06:14:11.125
WALKING,2019-05-10 06:14:11.125,2019-05-10 06:16:27.803
STILL,2019-05-10 06:16:27.803,2019-05-10 06:19:31.749
WALKING,2019-05-10 06:19:31.749,2019-05-10 06:30:46.770
STILL,2019-05-10 06:30:46.770,2019-05-10 06:37:52.462
WALKING,2019-05-10 06:37:52.462,2019-05-10 06:40:39.602
STILL,2019-05-10 06:40:39.602,2019-05-10 07:56:50.179
WALKING,2019-05-10 07:56:50.179,2019-05-10 08:04:02.668
STILL,2019-05-10 08:04:02.668,2019-05-10 09:00:27.504
WALKING,2019-05-10 09:00:27.504,2019-05-10 09:12:56.194
STILL,2019-05-10 09:12:56.194,2019-05-10 10:14:31.044
WALKING,2019-05-10 10:14:31.044,2019-05-10 10:22:04.599
STILL,2019-05-10 10:22:04.599,2019-05-10 10:43:23.731
WALKING,2019-05-10 10:43:23.731,2019-05-10 11:05:46.734
STILL,2019-05-10 11:05:46.734,2019-05-10 16:08:40.789
ON_BICYCLE,2019-05-10 16:08:40.789,2019-05-10 16:09:16.788
WALKING,2019-05-10 16:09:16.788,2019-05-10 16:42:54.956
STILL,2019-05-10 16:42:54.956,2019-05-10 17:36:03.110
WALKING,2019-05-10 17:36:03.110,2019-05-10 17:59:14.712
STILL,2019-05-10 17:59:14.712,2019-05-11 00:00:00.000
STILL,2019-05-11 00:00:00.000,2019-05-11 02:57:21.371
WALKING,2019-05-11 02:57:21.371,2019-05-11 03:21:06.949
STILL,2019-05-11 03:21:06.949,2019-05-11 03:46:27.046
IN_VEHICLE,2019-05-11 03:46:27.046,2019-05-11 03:58:40.292
ON_BICYCLE,2019-05-11 03:58:40.292,2019-05-11 04:00:38.538
STILL,2019-05-11 04:00:38.538,2019-05-11 04:03:39.331
IN_VEHICLE,2019-05-11 04:03:39.331,2019-05-11 04:24:53.327
STILL,2019-05-11 04:24:53.327,2019-05-11 05:28:48.377
IN_VEHICLE,2019-05-11 05:28:48.377,2019-05-11 05:43:31.311
WALKING,2019-05-11 05:43:31.311,2019-05-11 06:43:51.887
STILL,2019-05-11 06:43:51.887,2019-05-11 06:48:20.889
WALKING,2019-05-11 06:48:20.889,2019-05-11 08:01:53.966
STILL,2019-05-11 08:01:53.966,2019-05-12 00:00:00.000
STILL,2019-05-12 00:00:00.000,2019-05-12 11:06:56.653
WALKING,2019-05-12 11:06:56.653,2019-05-12 11:10:36.556
STILL,2019-05-12 11:10:36.556,2019-05-12 12:57:28.257
WALKING,2019-05-12 12:57:28.257,2019-05-12 13:05:23.892
STILL,2019-05-12 13:05:23.892,2019-05-12 23:51:55.657
WALKING,2019-05-12 23:51:55.657,2019-05-12 23:59:08.935
STILL,2019-05-12 23:59:08.935,2019-05-13 00:00:00.000
STILL,2019-05-13 00:00:00.000,2019-05-13 01:24:21.777
WALKING,2019-05-13 01:24:21.777,2019-05-13 01:27:11.962
STILL,2019-05-13 01:27:11.962,2019-05-13 02:41:16.644
WALKING,2019-05-13 02:41:16.644,2019-05-13 03:02:36.028
ON_BICYCLE,2019-05-13 03:02:36.028,2019-05-13 03:07:44.953
WALKING,2019-05-13 03:07:44.953,2019-05-13 03:18:21.173
STILL,2019-05-13 03:18:21.173,2019-05-13 03:18:33.578
WALKING,2019-05-13 03:18:33.578,2019-05-13 03:19:50.640
STILL,2019-05-13 03:19:50.640,2019-05-13 03:48:33.333
WALKING,2019-05-13 03:48:33.333,2019-05-13 03:53:41.185
ON_BICYCLE,2019-05-13 03:53:41.185,2019-05-13 04:03:45.951
WALKING,2019-05-13 04:03:45.951,2019-05-13 04:06:04.261
STILL,2019-05-13 04:06:04.261,2019-05-13 05:19:05.134
WALKING,2019-05-13 05:19:05.134,2019-05-13 05:41:11.105
STILL,2019-05-13 05:41:11.105,2019-05-13 06:44:24.150
WALKING,2019-05-13 06:44:24.150,2019-05-13 06:52:25.361
STILL,2019-05-13 06:52:25.361,2019-05-13 09:05:43.576
WALKING,2019-05-13 09:05:43.576,2019-05-13 09:28:08.305
STILL,2019-05-13 09:28:08.305,2019-05-13 10:14:42.112
WALKING,2019-05-13 10:14:42.112,2019-05-13 10:50:15.983
STILL,2019-05-13 10:50:15.983,2019-05-13 11:54:45.072
WALKING,2019-05-13 11:54:45.072,2019-05-13 12:07:33.833
STILL,2019-05-13 12:07:33.833,2019-05-13 15:29:56.592
WALKING,2019-05-13 15:29:56.592,2019-05-13 16:13:09.557
STILL,2019-05-13 16:13:09.557,2019-05-13 16:25:44.094
WALKING,2019-05-13 16:25:44.094,2019-05-13 16:33:31.502
STILL,2019-05-13 16:33:31.502,2019-05-13 16:40:09.481
WALKING,2019-05-13 16:40:09.481,2019-05-13 17:01:01.787
STILL,2019-05-13 17:01:01.787,2019-05-14 00:00:00.000
STILL,2019-05-14 00:00:00.000,2019-05-14 00:47:49.574
WALKING,2019-05-14 00:47:49.574,2019-05-14 00:50:43.287
STILL,2019-05-14 00:50:43.287,2019-05-14 01:14:47.443
WALKING,2019-05-14 01:14:47.443,2019-05-14 01:24:19.315
STILL,2019-05-14 01:24:19.315,2019-05-14 02:46:20.729
WALKING,2019-05-14 02:46:20.729,2019-05-14 03:03:03.675
STILL,2019-05-14 03:03:03.675,2019-05-14 08:27:45.217
WALKING,2019-05-14 08:27:45.217,2019-05-14 08:45:21.191
STILL,2019-05-14 08:45:21.191,2019-05-14 09:00:54.321
WALKING,2019-05-14 09:00:54.321,2019-05-14 09:02:14.323
STILL,2019-05-14 09:02:14.323,2019-05-14 09:07:33.184
WALKING,2019-05-14 09:07:33.184,2019-05-14 09:17:47.030
STILL,2019-05-14 09:17:47.030,2019-05-14 10:41:01.690
ON_BICYCLE,2019-05-14 10:41:01.690,2019-05-14 11:07:56.489
STILL,2019-05-14 11:07:56.489,2019-05-14 12:12:14.144
WALKING,2019-05-14 12:12:14.144,2019-05-14 12:29:08.596
STILL,2019-05-14 12:29:08.596,2019-05-14 13:00:47.814
WALKING,2019-05-14 13:00:47.814,2019-05-14 13:04:46.118
STILL,2019-05-14 13:04:46.118,2019-05-14 13:08:29.636
WALKING,2019-05-14 13:08:29.636,2019-05-14 13:36:46.233
STILL,2019-05-14 13:36:46.233,2019-05-14 13:41:10.400
WALKING,2019-05-14 13:41:10.400,2019-05-14 13:52:34.655
STILL,2019-05-14 13:52:34.655,2019-05-15 00:00:00.000
