actionType,start_time,end_time
STILL,2019-05-16 00:00:00.000,2019-05-16 01:15:09.870
IN_VEHICLE,2019-05-16 01:15:09.870,2019-05-16 01:20:27.862
ON_BICYCLE,2019-05-16 01:20:27.862,2019-05-16 01:21:03.049
WALKING,2019-05-16 01:21:03.049,2019-05-16 01:22:34.279
STILL,2019-05-16 01:22:34.279,2019-05-16 01:46:22.803
WALKING,2019-05-16 01:46:22.803,2019-05-16 01:48:29.287
STILL,2019-05-16 01:48:29.287,2019-05-16 01:52:56.887
WALKING,2019-05-16 01:52:56.887,2019-05-16 01:53:27.438
STILL,2019-05-16 01:53:27.438,2019-05-16 03:50:32.373
WALKING,2019-05-16 03:50:32.373,2019-05-16 03:51:42.150
STILL,2019-05-16 03:51:42.150,2019-05-16 04:11:24.653
WALKING,2019-05-16 04:11:24.653,2019-05-16 04:16:43.650
STILL,2019-05-16 04:16:43.650,2019-05-16 04:18:35.558
WALKING,2019-05-16 04:18:35.558,2019-05-16 04:21:45.723
STILL,2019-05-16 04:21:45.723,2019-05-16 04:38:10.612
WALKING,2019-05-16 04:38:10.612,2019-05-16 04:39:42.392
STILL,2019-05-16 04:39:42.392,2019-05-16 05:38:23.481
WALKING,2019-05-16 05:38:23.481,2019-05-16 05:45:29.714
STILL,2019-05-16 05:45:29.714,2019-05-16 05:45:59.999
WALKING,2019-05-16 05:45:59.999,2019-05-16 05:48:00.170
STILL,2019-05-16 05:48:00.170,2019-05-16 07:02:23.013
WALKING,2019-05-16 07:02:23.013,2019-05-16 07:18:36.018
STILL,2019-05-16 07:18:36.018,2019-05-16 07:48:44.100
WALKING,2019-05-16 07:48:44.100,2019-05-16 07:49:21.303
STILL,2019-05-16 07:49:21.303,2019-05-16 07:54:22.802
WALKING,2019-05-16 07:54:22.802,2019-05-16 07:56:12.620
STILL,2019-05-16 07:56:12.620,2019-05-16 08:19:35.714
WALKING,2019-05-16 08:19:35.714,2019-05-16 08:21:05.553
STILL,2019-05-16 08:21:05.553,2019-05-16 08:53:41.001
IN_VEHICLE,2019-05-16 08:53:41.001,2019-05-16 09:10:58.961
STILL,2019-05-16 09:10:58.961,2019-05-16 09:20:15.993
IN_VEHICLE,2019-05-16 09:20:15.993,2019-05-16 09:35:10.590
IN_VEHICLE,2019-05-16 09:35:10.590,2019-05-16 09:39:00.790
WALKING,2019-05-16 09:39:00.790,2019-05-16 09:44:08.920
STILL,2019-05-16 09:44:08.920,2019-05-16 09:52:28.474
IN_VEHICLE,2019-05-16 09:52:28.474,2019-05-16 10:00:56.408
STILL,2019-05-16 10:00:56.408,2019-05-16 10:20:13.256
WALKING,2019-05-16 10:20:13.256,2019-05-16 10:24:06.849
STILL,2019-05-16 10:24:06.849,2019-05-16 10:29:45.376
WALKING,2019-05-16 10:29:45.376,2019-05-16 10:31:34.367
STILL,2019-05-16 10:31:34.367,2019-05-16 10:32:20.031
IN_VEHICLE,2019-05-16 10:32:20.031,2019-05-16 10:46:57.707
WALKING,2019-05-16 10:46:57.707,2019-05-16 10:53:22.511
STILL,2019-05-16 10:53:22.511,2019-05-16 12:06:02.474
WALKING,2019-05-16 12:06:02.474,2019-05-16 12:14:01.661
IN_VEHICLE,2019-05-16 12:14:01.661,2019-05-16 12:27:07.608
WALKING,2019-05-16 12:27:07.608,2019-05-16 12:28:50.140
STILL,2019-05-16 12:28:50.140,2019-05-16 12:33:00.368
IN_VEHICLE,2019-05-16 12:33:00.368,2019-05-16 12:56:51.323
STILL,2019-05-16 12:56:51.323,2019-05-16 14:03:49.016
IN_VEHICLE,2019-05-16 14:03:49.016,2019-05-16 14:22:53.641
WALKING,2019-05-16 14:22:53.641,2019-05-16 14:23:39.430
ON_BICYCLE,2019-05-16 14:23:39.430,2019-05-16 14:31:38.346
STILL,2019-05-16 14:31:38.346,2019-05-16 14:43:30.979
IN_VEHICLE,2019-05-16 14:43:30.979,2019-05-16 14:53:07.111
STILL,2019-05-16 14:53:07.111,2019-05-16 15:02:05.838
IN_VEHICLE,2019-05-16 15:02:05.838,2019-05-16 15:17:06.429
STILL,2019-05-16 15:17:06.429,2019-05-16 15:34:55.200
IN_VEHICLE,2019-05-16 15:34:55.200,2019-05-16 15:50:08.452
STILL,2019-05-16 15:50:08.452,2019-05-17 00:00:00.000
STILL,2019-05-17 00:00:00.000,2019-05-17 00:45:26.177
