actionType,start_time,end_time
STILL,2019-04-30 00:00:00.000,2019-04-30 02:15:53.609
WALKING,2019-04-30 02:15:53.609,2019-04-30 02:25:05.412
STILL,2019-04-30 02:25:05.412,2019-04-30 03:13:50.590
WALKING,2019-04-30 03:13:50.590,2019-04-30 03:15:34.780
STILL,2019-04-30 03:15:34.780,2019-04-30 03:56:35.891
WALKING,2019-04-30 03:56:35.891,2019-04-30 04:03:46.133
STILL,2019-04-30 04:03:46.133,2019-04-30 04:37:32.892
IN_VEHICLE,2019-04-30 04:37:32.892,2019-04-30 04:49:05.944
WALKING,2019-04-30 04:49:05.944,2019-04-30 04:49:21.253
STILL,2019-04-30 04:49:21.253,2019-04-30 05:11:36.035
WALKING,2019-04-30 05:11:36.035,2019-04-30 05:18:07.474
STILL,2019-04-30 05:18:07.474,2019-04-30 05:18:36.765
WALKING,2019-04-30 05:18:36.765,2019-04-30 05:19:45.795
STILL,2019-04-30 05:19:45.795,2019-04-30 05:20:38.241
WALKING,2019-04-30 05:20:38.241,2019-04-30 05:21:22.438
STILL,2019-04-30 05:21:22.438,2019-04-30 05:23:21.419
WALKING,2019-04-30 05:23:21.419,2019-04-30 05:28:13.224
STILL,2019-04-30 05:28:13.224,2019-04-30 05:29:25.127
WALKING,2019-04-30 05:29:25.127,2019-04-30 05:29:39.034
STILL,2019-04-30 05:29:39.034,2019-04-30 05:30:35.970
WALKING,2019-04-30 05:30:35.970,2019-04-30 05:33:15.381
STILL,2019-04-30 05:33:15.381,2019-04-30 05:35:57.715
WALKING,2019-04-30 05:35:57.715,2019-04-30 05:44:16.322
STILL,2019-04-30 05:44:16.322,2019-04-30 05:45:41.748
WALKING,2019-04-30 05:45:41.748,2019-04-30 05:46:25.492
STILL,2019-04-30 05:46:25.492,2019-04-30 05:47:20.858
WALKING,2019-04-30 05:47:20.858,2019-04-30 06:02:34.593
STILL,2019-04-30 06:02:34.593,2019-04-30 06:10:01.161
WALKING,2019-04-30 06:10:01.161,2019-04-30 06:11:50.609
IN_VEHICLE,2019-04-30 06:11:50.609,2019-04-30 06:19:49.237
WALKING,2019-04-30 06:19:49.237,2019-04-30 06:32:55.012
IN_VEHICLE,2019-04-30 06:32:55.012,2019-04-30 06:46:07.705
WALKING,2019-04-30 06:46:07.705,2019-04-30 07:55:18.236
STILL,2019-04-30 07:55:18.236,2019-04-30 08:05:54.774
WALKING,2019-04-30 08:05:54.774,2019-04-30 08:29:51.542
STILL,2019-04-30 08:29:51.542,2019-04-30 08:47:24.413
WALKING,2019-04-30 08:47:24.413,2019-04-30 08:57:33.990
STILL,2019-04-30 08:57:33.990,2019-04-30 09:01:40.959
WALKING,2019-04-30 09:01:40.959,2019-04-30 09:14:45.660
STILL,2019-04-30 09:14:45.660,2019-04-30 09:15:21.138
WALKING,2019-04-30 09:15:21.138,2019-04-30 09:42:48.444
STILL,2019-04-30 09:42:48.444,2019-04-30 09:49:01.324
WALKING,2019-04-30 09:49:01.324,2019-04-30 09:53:59.141
STILL,2019-04-30 09:53:59.141,2019-04-30 09:56:26.378
WALKING,2019-04-30 09:56:26.378,2019-04-30 10:02:57.630
STILL,2019-04-30 10:02:57.630,2019-04-30 10:16:46.443
WALKING,2019-04-30 10:16:46.443,2019-04-30 10:25:24.991
STILL,2019-04-30 10:25:24.991,2019-04-30 10:29:37.111
WALKING,2019-04-30 10:29:37.111,2019-04-30 10:32:49.891
STILL,2019-04-30 10:32:49.891,2019-04-30 10:36:09.413
WALKING,2019-04-30 10:36:09.413,2019-04-30 10:37:08.227
STILL,2019-04-30 10:37:08.227,2019-04-30 10:44:13.515
WALKING,2019-04-30 10:44:13.515,2019-04-30 11:16:49.048
IN_VEHICLE,2019-04-30 11:16:49.048,2019-04-30 11:24:10.412
WALKING,2019-04-30 11:24:10.412,2019-04-30 11:24:59.893
STILL,2019-04-30 11:24:59.893,2019-04-30 11:59:16.883
WALKING,2019-04-30 11:59:16.883,2019-04-30 12:00:56.711
STILL,2019-04-30 12:00:56.711,2019-04-30 12:02:34.643
WALKING,2019-04-30 12:02:34.643,2019-04-30 12:03:05.165
STILL,2019-04-30 12:03:05.165,2019-04-30 12:04:22.918
IN_VEHICLE,2019-04-30 12:04:22.918,2019-04-30 12:17:04.303
WALKING,2019-04-30 12:17:04.303,2019-04-30 12:19:12.140
STILL,2019-04-30 12:19:12.140,2019-04-30 12:22:17.491
IN_VEHICLE,2019-04-30 12:22:17.491,2019-04-30 12:26:43.862
WALKING,2019-04-30 12:26:43.862,2019-04-30 12:28:51.572
STILL,2019-04-30 12:28:51.572,2019-04-30 12:30:21.466
WALKING,2019-04-30 12:30:21.466,2019-04-30 12:33:07.676
IN_VEHICLE,2019-04-30 12:33:07.676,2019-04-30 12:35:07.696
WALKING,2019-04-30 12:35:07.696,2019-04-30 12:40:17.321
STILL,2019-04-30 12:40:17.321,2019-04-30 12:41:14.582
WALKING,2019-04-30 12:41:14.582,2019-04-30 12:42:38.264
STILL,2019-04-30 12:42:38.264,2019-04-30 12:49:08.198
WALKING,2019-04-30 12:49:08.198,2019-04-30 12:51:35.638
STILL,2019-04-30 12:51:35.638,2019-04-30 13:56:49.954
WALKING,2019-04-30 13:56:49.954,2019-04-30 14:23:29.001
STILL,2019-04-30 14:23:29.001,2019-04-30 15:40:51.505
WALKING,2019-04-30 15:40:51.505,2019-04-30 15:49:27.244
STILL,2019-04-30 15:49:27.244,2019-04-30 16:07:13.400
WALKING,2019-04-30 16:07:13.400,2019-04-30 16:09:33.021
STILL,2019-04-30 16:09:33.021,2019-05-01 00:00:00.000
STILL,2019-05-01 00:00:00.000,2019-05-01 00:00:17.513
