actionType,start_time,end_time
WALKING,2019-05-18 01:36:29.792,2019-05-18 01:45:08.111
IN_VEHICLE,2019-05-18 01:45:08.111,2019-05-18 02:05:01.735
WALKING,2019-05-18 02:05:01.735,2019-05-18 02:07:20.581
STILL,2019-05-18 02:07:20.581,2019-05-18 02:12:13.203
IN_VEHICLE,2019-05-18 02:12:13.203,2019-05-18 02:41:46.707
WALKING,2019-05-18 02:41:46.707,2019-05-18 02:44:01.290
IN_VEHICLE,2019-05-18 02:44:01.290,2019-05-18 02:59:58.770
WALKING,2019-05-18 02:59:58.770,2019-05-18 03:01:30.789
STILL,2019-05-18 03:01:30.789,2019-05-18 03:24:33.147
WALKING,2019-05-18 03:24:33.147,2019-05-18 03:29:54.813
STILL,2019-05-18 03:29:54.813,2019-05-18 04:00:02.886
WALKING,2019-05-18 04:00:02.886,2019-05-18 04:02:31.793
STILL,2019-05-18 04:02:31.793,2019-05-18 04:07:10.619
WALKING,2019-05-18 04:07:10.619,2019-05-18 04:10:31.368
STILL,2019-05-18 04:10:31.368,2019-05-18 04:14:40.744
IN_VEHICLE,2019-05-18 04:14:40.744,2019-05-18 04:44:35.627
ON_BICYCLE,2019-05-18 04:44:35.627,2019-05-18 04:45:50.556
IN_VEHICLE,2019-05-18 04:45:50.556,2019-05-18 05:55:51.662
WALKING,2019-05-18 05:55:51.662,2019-05-18 05:57:55.815
STILL,2019-05-18 05:57:55.815,2019-05-18 06:05:10.947
WALKING,2019-05-18 06:05:10.947,2019-05-18 06:05:41.735
STILL,2019-05-18 06:05:41.735,2019-05-18 08:19:06.287
WALKING,2019-05-18 08:19:06.287,2019-05-18 08:20:29.901
STILL,2019-05-18 08:20:29.901,2019-05-18 08:27:59.640
IN_VEHICLE,2019-05-18 08:27:59.640,2019-05-18 08:45:16.830
ON_BICYCLE,2019-05-18 08:45:16.830,2019-05-18 08:46:50.289
STILL,2019-05-18 08:46:50.289,2019-05-18 08:48:41.734
WALKING,2019-05-18 08:48:41.734,2019-05-18 08:56:43.598
STILL,2019-05-18 08:56:43.598,2019-05-18 10:07:49.184
WALKING,2019-05-18 10:07:49.184,2019-05-18 10:09:37.728
STILL,2019-05-18 10:09:37.728,2019-05-18 10:11:31.532
WALKING,2019-05-18 10:11:31.532,2019-05-18 10:15:07.435
STILL,2019-05-18 10:15:07.435,2019-05-18 10:15:35.392
WALKING,2019-05-18 10:15:35.392,2019-05-18 10:17:03.947
STILL,2019-05-18 10:17:03.947,2019-05-18 10:22:12.336
IN_VEHICLE,2019-05-18 10:22:12.336,2019-05-18 10:51:28.714
WALKING,2019-05-18 10:51:28.714,2019-05-18 10:58:20.102
RUNNING,2019-05-18 10:58:20.102,2019-05-18 10:59:36.652
STILL,2019-05-18 10:59:36.652,2019-05-18 11:03:40.353
WALKING,2019-05-18 11:03:40.353,2019-05-18 11:19:11.231
STILL,2019-05-18 11:19:11.231,2019-05-18 17:02:50.355
WALKING,2019-05-18 17:02:50.355,2019-05-18 17:13:35.416
STILL,2019-05-18 17:13:35.416,2019-05-18 17:14:09.345
WALKING,2019-05-18 17:14:09.345,2019-05-18 17:15:55.076
STILL,2019-05-18 17:15:55.076,2019-05-19 00:00:00.000
STILL,2019-05-19 00:00:00.000,2019-05-19 01:13:25.932
WALKING,2019-05-19 01:13:25.932,2019-05-19 01:18:18.028
IN_VEHICLE,2019-05-19 01:18:18.028,2019-05-19 01:27:14.427
WALKING,2019-05-19 01:27:14.427,2019-05-19 01:28:52.084
STILL,2019-05-19 01:28:52.084,2019-05-19 01:47:55.462
WALKING,2019-05-19 01:47:55.462,2019-05-19 01:52:15.374
STILL,2019-05-19 01:52:15.374,2019-05-19 03:46:22.519
WALKING,2019-05-19 03:46:22.519,2019-05-19 03:47:17.326
STILL,2019-05-19 03:47:17.326,2019-05-19 03:52:25.094
IN_VEHICLE,2019-05-19 03:52:25.094,2019-05-19 04:00:53.455
WALKING,2019-05-19 04:00:53.455,2019-05-19 04:04:17.628
IN_VEHICLE,2019-05-19 04:04:17.628,2019-05-19 04:11:30.621
WALKING,2019-05-19 04:11:30.621,2019-05-19 04:15:19.073
STILL,2019-05-19 04:15:19.073,2019-05-19 04:18:07.484
IN_VEHICLE,2019-05-19 04:18:07.484,2019-05-19 04:35:13.015
STILL,2019-05-19 04:35:13.015,2019-05-19 04:42:41.964
IN_VEHICLE,2019-05-19 04:42:41.964,2019-05-19 04:50:56.791
WALKING,2019-05-19 04:50:56.791,2019-05-19 04:54:17.478
IN_VEHICLE,2019-05-19 04:54:17.478,2019-05-19 05:11:06.456
WALKING,2019-05-19 05:11:06.456,2019-05-19 05:13:56.037
STILL,2019-05-19 05:13:56.037,2019-05-19 07:24:52.987
WALKING,2019-05-19 07:24:52.987,2019-05-19 07:26:16.399
IN_VEHICLE,2019-05-19 07:26:16.399,2019-05-19 08:27:03.590
IN_VEHICLE,2019-05-19 08:27:03.590,2019-05-19 08:35:29.659
STILL,2019-05-19 08:35:29.659,2019-05-19 08:43:13.504
IN_VEHICLE,2019-05-19 08:43:13.504,2019-05-19 09:16:18.715
IN_VEHICLE,2019-05-19 09:16:18.715,2019-05-19 09:17:48.680
WALKING,2019-05-19 09:17:48.680,2019-05-19 09:25:02.486
STILL,2019-05-19 09:25:02.486,2019-05-19 09:29:20.617
WALKING,2019-05-19 09:29:20.617,2019-05-19 09:31:24.118
STILL,2019-05-19 09:31:24.118,2019-05-19 11:23:48.679
WALKING,2019-05-19 11:23:48.679,2019-05-19 11:25:34.602
STILL,2019-05-19 11:25:34.602,2019-05-19 11:28:56.285
WALKING,2019-05-19 11:28:56.285,2019-05-19 11:30:47.196
STILL,2019-05-19 11:30:47.196,2019-05-19 11:33:21.654
IN_VEHICLE,2019-05-19 11:33:21.654,2019-05-19 11:37:02.304
WALKING,2019-05-19 11:37:02.304,2019-05-19 11:39:36.868
STILL,2019-05-19 11:39:36.868,2019-05-19 13:27:57.956
WALKING,2019-05-19 13:27:57.956,2019-05-19 13:32:51.386
STILL,2019-05-19 13:32:51.386,2019-05-19 13:34:24.273
IN_VEHICLE,2019-05-19 13:34:24.273,2019-05-19 13:37:27.573
IN_VEHICLE,2019-05-19 13:37:27.573,2019-05-19 13:38:47.429
WALKING,2019-05-19 13:38:47.429,2019-05-19 13:39:47.247
IN_VEHICLE,2019-05-19 13:39:47.247,2019-05-19 13:41:18.618
WALKING,2019-05-19 13:41:18.618,2019-05-19 13:43:32.077
STILL,2019-05-19 13:43:32.077,2019-05-19 13:55:39.162
WALKING,2019-05-19 13:55:39.162,2019-05-19 13:58:12.842
STILL,2019-05-19 13:58:12.842,2019-05-19 13:58:43.601
IN_VEHICLE,2019-05-19 13:58:43.601,2019-05-19 14:01:46.966
WALKING,2019-05-19 14:01:46.966,2019-05-19 14:04:20.045
STILL,2019-05-19 14:04:20.045,2019-05-19 23:24:18.166
WALKING,2019-05-19 23:24:18.166,2019-05-19 23:25:18.633
IN_VEHICLE,2019-05-19 23:25:18.633,2019-05-20 00:00:00.000
IN_VEHICLE,2019-05-20 00:00:00.000,2019-05-20 00:09:00.279
STILL,2019-05-20 00:09:00.279,2019-05-20 00:10:45.210
IN_VEHICLE,2019-05-20 00:10:45.210,2019-05-20 01:00:53.960
WALKING,2019-05-20 01:00:53.960,2019-05-20 01:02:23.105
STILL,2019-05-20 01:02:23.105,2019-05-20 03:36:02.767
WALKING,2019-05-20 03:36:02.767,2019-05-20 03:42:51.180
STILL,2019-05-20 03:42:51.180,2019-05-20 04:02:08.433
WALKING,2019-05-20 04:02:08.433,2019-05-20 04:05:28.067
STILL,2019-05-20 04:05:28.067,2019-05-20 04:08:44.969
WALKING,2019-05-20 04:08:44.969,2019-05-20 04:11:49.027
STILL,2019-05-20 04:11:49.027,2019-05-20 07:56:24.824
IN_VEHICLE,2019-05-20 07:56:24.824,2019-05-20 08:04:41.788
WALKING,2019-05-20 08:04:41.788,2019-05-20 08:06:41.798
STILL,2019-05-20 08:06:41.798,2019-05-20 13:00:50.632
WALKING,2019-05-20 13:00:50.632,2019-05-20 13:02:03.643
IN_VEHICLE,2019-05-20 13:02:03.643,2019-05-20 13:02:19.415
IN_VEHICLE,2019-05-20 13:02:19.415,2019-05-20 13:07:31.513
WALKING,2019-05-20 13:07:31.513,2019-05-20 13:09:47.396
