actionType,name,packageName,start_time,end_time
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:20:30.523,2019-04-30 00:20:33.149
STILL,Instagram,com.instagram.android,2019-04-30 00:20:33.229,2019-04-30 00:20:41.979
STILL,Instagram,com.instagram.android,2019-04-30 00:20:42.040,2019-04-30 00:21:01.404
STILL,Instagram,com.instagram.android,2019-04-30 00:21:01.493,2019-04-30 00:21:01.818
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:21:01.925,2019-04-30 00:21:03.181
STILL,Facebook,com.facebook.katana,2019-04-30 00:21:03.221,2019-04-30 00:21:08.607
STILL,Facebook,com.facebook.katana,2019-04-30 00:21:08.629,2019-04-30 00:21:12.207
STILL,Facebook,com.facebook.katana,2019-04-30 00:21:12.239,2019-04-30 00:22:14.290
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:22:14.325,2019-04-30 00:22:18.029
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:18.062,2019-04-30 00:22:25.607
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:25.618,2019-04-30 00:22:26.787
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:26.799,2019-04-30 00:22:31.752
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:31.779,2019-04-30 00:22:41.343
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:41.354,2019-04-30 00:22:42.518
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:42.530,2019-04-30 00:22:43.779
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:43.791,2019-04-30 00:22:45.707
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:45.722,2019-04-30 00:22:49.499
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:49.511,2019-04-30 00:22:51.911
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:22:51.935,2019-04-30 00:22:54.483
STILL,한컴오피스 viewer,com.tf.thinkdroid.viewer,2019-04-30 00:22:54.558,2019-04-30 00:22:54.710
STILL,한컴오피스 viewer,com.tf.thinkdroid.viewer,2019-04-30 00:22:54.768,2019-04-30 00:22:54.847
STILL,한컴오피스 viewer,com.tf.thinkdroid.viewer,2019-04-30 00:22:54.866,2019-04-30 00:23:25.230
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:23:25.306,2019-04-30 00:23:26.149
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:23:26.162,2019-04-30 00:23:27.057
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:23:27.072,2019-04-30 00:23:27.387
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:23:27.418,2019-04-30 00:23:30.302
WALKING,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:23:41.835,2019-04-30 00:23:44.290
WALKING,Instagram,com.instagram.android,2019-04-30 00:23:44.339,2019-04-30 00:23:56.364
WALKING,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:23:56.382,2019-04-30 00:23:57.397
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:23:57.397,2019-04-30 00:24:01.089
STILL,Facebook,com.facebook.katana,2019-04-30 00:24:01.147,2019-04-30 00:24:22.868
STILL,Facebook,com.facebook.katana,2019-04-30 00:24:22.891,2019-04-30 00:24:30.096
STILL,Facebook,com.facebook.katana,2019-04-30 00:24:30.121,2019-04-30 00:24:39.662
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:24:39.676,2019-04-30 00:24:43.756
STILL,KAIST	Portal,kr.ac.kaist.portal,2019-04-30 00:24:43.809,2019-04-30 00:24:45.116
STILL,KAIST	Portal,kr.ac.kaist.portal,2019-04-30 00:24:45.133,2019-04-30 00:24:47.236
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-04-30 00:24:47.249,2019-04-30 00:24:50.414
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:24:50.509,2019-04-30 00:24:53.981
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:24:53.994,2019-04-30 00:24:55.054
STILL,KLMS,kr.ac.kaist.coursemos.android,2019-04-30 00:24:55.065,2019-04-30 00:24:58.515
STILL,한컴오피스 viewer,com.tf.thinkdroid.viewer,2019-04-30 00:24:58.583,2019-04-30 00:24:58.740
