name,packageName,isSystemApp,isUpdatedSystemApp,start_time,end_time
시계,com.sec.android.app.clockpackage,True,False,2019-05-16 02:14:59.483,2019-05-16 02:14:59.487
시계,com.sec.android.app.clockpackage,True,False,2019-05-16 02:15:00.329,2019-05-16 02:16:19.378
카카오톡,com.kakao.talk,False,False,2019-05-16 02:16:19.511,2019-05-16 02:16:19.530
카카오톡,com.kakao.talk,False,False,2019-05-16 02:16:25.585,2019-05-16 02:16:27.042
카카오톡,com.kakao.talk,False,False,2019-05-16 02:16:27.065,2019-05-16 02:16:30.254
카카오톡,com.kakao.talk,False,False,2019-05-16 02:16:30.283,2019-05-16 02:16:31.851
카카오톡,com.kakao.talk,False,False,2019-05-16 02:16:31.875,2019-05-16 02:16:36.694
카카오톡,com.kakao.talk,False,False,2019-05-16 02:16:36.717,2019-05-16 02:16:38.873
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:16:38.890,2019-05-16 02:16:39.361
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-16 02:16:39.430,2019-05-16 02:17:18.466
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-16 02:17:18.503,2019-05-16 02:17:20.060
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-16 02:17:20.088,2019-05-16 02:17:43.271
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-16 02:17:43.310,2019-05-16 02:17:44.336
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-16 02:17:44.362,2019-05-16 02:17:57.952
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:17:57.972,2019-05-16 02:17:59.382
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-16 02:17:59.426,2019-05-16 02:18:10.536
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:18:10.556,2019-05-16 02:18:11.293
카카오톡,com.kakao.talk,False,False,2019-05-16 02:18:11.336,2019-05-16 02:18:12.365
카카오톡,com.kakao.talk,False,False,2019-05-16 02:18:12.386,2019-05-16 02:18:20.795
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:18:20.811,2019-05-16 02:18:21.560
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-16 02:18:21.598,2019-05-16 02:18:24.260
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:18:24.278,2019-05-16 02:18:25.331
카카오톡,com.kakao.talk,False,False,2019-05-16 02:18:25.378,2019-05-16 02:18:26.111
카카오톡,com.kakao.talk,False,False,2019-05-16 02:18:26.131,2019-05-16 02:18:30.344
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:18:30.366,2019-05-16 02:18:32.115
카카오톡,com.kakao.talk,False,False,2019-05-16 02:18:32.159,2019-05-16 02:23:28.772
카카오톡,com.kakao.talk,False,False,2019-05-16 02:23:28.810,2019-05-16 02:23:32.240
카카오톡,com.kakao.talk,False,False,2019-05-16 02:23:32.258,2019-05-16 02:23:34.652
카카오톡,com.kakao.talk,False,False,2019-05-16 02:23:34.685,2019-05-16 02:23:35.436
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:23:35.485,2019-05-16 02:23:35.851
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-16 02:23:35.981,2019-05-16 02:26:16.524
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:26:16.545,2019-05-16 02:26:17.160
카카오톡,com.kakao.talk,False,False,2019-05-16 02:26:17.224,2019-05-16 02:26:17.662
카카오톡,com.kakao.talk,False,False,2019-05-16 02:26:17.677,2019-05-16 02:26:17.711
카카오톡,com.kakao.talk,False,False,2019-05-16 02:26:17.739,2019-05-16 02:26:19.587
카카오톡,com.kakao.talk,False,False,2019-05-16 02:26:19.607,2019-05-16 02:26:22.197
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:26:22.210,2019-05-16 02:26:24.335
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-16 02:26:31.501,2019-05-16 02:26:33.002
시계,com.sec.android.app.clockpackage,True,False,2019-05-16 02:26:33.060,2019-05-16 02:26:41.071
시계,com.sec.android.app.clockpackage,True,False,2019-05-16 02:26:41.099,2019-05-16 02:26:47.165
