actionType,start_time,end_time
STILL,2019-05-16 00:00:00.000,2019-05-16 00:22:57.368
WALKING,2019-05-16 00:22:57.368,2019-05-16 00:25:27.743
STILL,2019-05-16 00:25:27.743,2019-05-16 00:26:10.962
WALKING,2019-05-16 00:26:10.962,2019-05-16 00:27:26.682
STILL,2019-05-16 00:27:26.682,2019-05-16 00:36:59.327
WALKING,2019-05-16 00:36:59.327,2019-05-16 00:38:00.956
RUNNING,2019-05-16 00:38:00.956,2019-05-16 00:40:55.434
IN_VEHICLE,2019-05-16 00:40:55.434,2019-05-16 00:57:41.131
WALKING,2019-05-16 00:57:41.131,2019-05-16 01:00:16.979
STILL,2019-05-16 01:00:16.979,2019-05-16 01:02:34.434
WALKING,2019-05-16 01:02:34.434,2019-05-16 01:11:54.144
STILL,2019-05-16 01:11:54.144,2019-05-16 01:27:17.522
WALKING,2019-05-16 01:27:17.522,2019-05-16 01:35:43.313
ON_BICYCLE,2019-05-16 01:35:43.313,2019-05-16 01:38:50.895
WALKING,2019-05-16 01:38:50.895,2019-05-16 01:44:43.239
STILL,2019-05-16 01:44:43.239,2019-05-16 02:42:32.731
WALKING,2019-05-16 02:42:32.731,2019-05-16 02:46:08.291
STILL,2019-05-16 02:46:08.291,2019-05-16 02:53:46.081
WALKING,2019-05-16 02:53:46.081,2019-05-16 02:57:08.775
STILL,2019-05-16 02:57:08.775,2019-05-16 03:02:03.831
WALKING,2019-05-16 03:02:03.831,2019-05-16 03:21:54.352
STILL,2019-05-16 03:21:54.352,2019-05-16 03:27:48.107
RUNNING,2019-05-16 03:27:48.107,2019-05-16 03:28:07.263
WALKING,2019-05-16 03:28:07.263,2019-05-16 03:33:47.988
STILL,2019-05-16 03:33:47.988,2019-05-16 03:36:27.925
IN_VEHICLE,2019-05-16 03:36:27.925,2019-05-16 03:47:07.267
WALKING,2019-05-16 03:47:07.267,2019-05-16 03:52:29.843
STILL,2019-05-16 03:52:29.843,2019-05-16 04:05:43.449
IN_VEHICLE,2019-05-16 04:05:43.449,2019-05-16 04:58:18.395
STILL,2019-05-16 04:58:18.395,2019-05-16 05:03:12.901
IN_VEHICLE,2019-05-16 05:03:12.901,2019-05-16 06:15:34.121
IN_VEHICLE,2019-05-16 06:15:34.121,2019-05-16 06:25:56.597
IN_VEHICLE,2019-05-16 06:25:56.597,2019-05-16 06:54:26.901
WALKING,2019-05-16 06:54:26.901,2019-05-16 07:08:11.368
STILL,2019-05-16 07:08:11.368,2019-05-16 07:20:18.634
WALKING,2019-05-16 07:20:18.634,2019-05-16 07:32:53.508
STILL,2019-05-16 07:32:53.508,2019-05-16 07:36:20.156
WALKING,2019-05-16 07:36:20.156,2019-05-16 07:43:31.353
STILL,2019-05-16 07:43:31.353,2019-05-16 08:13:50.153
WALKING,2019-05-16 08:13:50.153,2019-05-16 08:24:37.435
STILL,2019-05-16 08:24:37.435,2019-05-16 08:28:28.157
WALKING,2019-05-16 08:28:28.157,2019-05-16 08:29:23.994
STILL,2019-05-16 08:29:23.994,2019-05-16 08:32:50.327
WALKING,2019-05-16 08:32:50.327,2019-05-16 08:33:53.613
STILL,2019-05-16 08:33:53.613,2019-05-16 08:35:35.574
WALKING,2019-05-16 08:35:35.574,2019-05-16 08:37:12.920
STILL,2019-05-16 08:37:12.920,2019-05-16 08:38:02.302
WALKING,2019-05-16 08:38:02.302,2019-05-16 08:43:50.783
STILL,2019-05-16 08:43:50.783,2019-05-16 08:50:04.564
WALKING,2019-05-16 08:50:04.564,2019-05-16 09:10:04.890
STILL,2019-05-16 09:10:04.890,2019-05-16 10:23:29.043
WALKING,2019-05-16 10:23:29.043,2019-05-16 10:27:24.455
STILL,2019-05-16 10:27:24.455,2019-05-16 10:28:54.223
WALKING,2019-05-16 10:28:54.223,2019-05-16 10:35:37.014
STILL,2019-05-16 10:35:37.014,2019-05-16 13:33:02.080
WALKING,2019-05-16 13:33:02.080,2019-05-16 13:36:20.154
STILL,2019-05-16 13:36:20.154,2019-05-16 13:37:23.960
IN_VEHICLE,2019-05-16 13:37:23.960,2019-05-16 16:15:37.139
STILL,2019-05-16 16:15:37.139,2019-05-16 16:16:55.451
WALKING,2019-05-16 16:16:55.451,2019-05-16 16:26:35.652
STILL,2019-05-16 16:26:35.652,2019-05-16 16:54:05.858
WALKING,2019-05-16 16:54:05.858,2019-05-16 16:58:04.610
ON_BICYCLE,2019-05-16 16:58:04.610,2019-05-16 17:02:23.784
WALKING,2019-05-16 17:02:23.784,2019-05-16 17:04:21.075
STILL,2019-05-16 17:04:21.075,2019-05-16 18:01:59.399
STILL,2019-05-16 18:01:59.399,2019-05-16 18:07:11.945
WALKING,2019-05-16 18:07:11.945,2019-05-16 18:20:25.775
STILL,2019-05-16 18:20:25.775,2019-05-16 18:46:27.079
IN_VEHICLE,2019-05-16 18:46:27.079,2019-05-16 18:59:11.063
WALKING,2019-05-16 18:59:11.063,2019-05-16 19:00:42.618
STILL,2019-05-16 19:00:42.618,2019-05-16 19:19:04.124
WALKING,2019-05-16 19:19:04.124,2019-05-16 19:20:32.083
STILL,2019-05-16 19:20:32.083,2019-05-17 00:00:00.000
STILL,2019-05-17 00:00:00.000,2019-05-17 05:08:42.816
WALKING,2019-05-17 05:08:42.816,2019-05-17 05:11:09.452
STILL,2019-05-17 05:11:09.452,2019-05-17 06:07:10.616
WALKING,2019-05-17 06:07:10.616,2019-05-17 06:08:23.449
STILL,2019-05-17 06:08:23.449,2019-05-17 06:12:18.074
WALKING,2019-05-17 06:12:18.074,2019-05-17 06:13:03.167
STILL,2019-05-17 06:13:03.167,2019-05-17 07:07:40.873
WALKING,2019-05-17 07:07:40.873,2019-05-17 07:08:19.898
RUNNING,2019-05-17 07:08:19.898,2019-05-17 07:33:54.972
WALKING,2019-05-17 07:33:54.972,2019-05-17 07:34:27.496
STILL,2019-05-17 07:34:27.496,2019-05-17 07:35:38.737
WALKING,2019-05-17 07:35:38.737,2019-05-17 07:40:55.790
STILL,2019-05-17 07:40:55.790,2019-05-17 07:44:19.787
WALKING,2019-05-17 07:44:19.787,2019-05-17 07:46:40.205
STILL,2019-05-17 07:46:40.205,2019-05-17 07:54:43.209
WALKING,2019-05-17 07:54:43.209,2019-05-17 07:56:49.100
STILL,2019-05-17 07:56:49.100,2019-05-17 08:20:19.716
WALKING,2019-05-17 08:20:19.716,2019-05-17 08:21:20.172
STILL,2019-05-17 08:21:20.172,2019-05-17 09:12:15.403
WALKING,2019-05-17 09:12:15.403,2019-05-17 09:17:02.442
STILL,2019-05-17 09:17:02.442,2019-05-17 09:18:47.157
ON_BICYCLE,2019-05-17 09:18:47.157,2019-05-17 09:23:49.607
WALKING,2019-05-17 09:23:49.607,2019-05-17 09:27:06.115
STILL,2019-05-17 09:27:06.115,2019-05-17 09:28:01.377
WALKING,2019-05-17 09:28:01.377,2019-05-17 09:31:44.690
STILL,2019-05-17 09:31:44.690,2019-05-17 10:15:57.726
WALKING,2019-05-17 10:15:57.726,2019-05-17 10:23:01.944
STILL,2019-05-17 10:23:01.944,2019-05-17 10:23:29.183
IN_VEHICLE,2019-05-17 10:23:29.183,2019-05-17 10:42:38.850
STILL,2019-05-17 10:42:38.850,2019-05-17 11:26:05.610
WALKING,2019-05-17 11:26:05.610,2019-05-17 11:32:27.399
STILL,2019-05-17 11:32:27.399,2019-05-17 11:33:08.389
WALKING,2019-05-17 11:33:08.389,2019-05-17 11:37:41.477
STILL,2019-05-17 11:37:41.477,2019-05-17 11:41:17.601
WALKING,2019-05-17 11:41:17.601,2019-05-17 11:54:02.121
STILL,2019-05-17 11:54:02.121,2019-05-17 12:00:10.546
WALKING,2019-05-17 12:00:10.546,2019-05-17 12:00:58.014
STILL,2019-05-17 12:00:58.014,2019-05-17 12:02:31.768
WALKING,2019-05-17 12:02:31.768,2019-05-17 12:05:20.485
STILL,2019-05-17 12:05:20.485,2019-05-17 20:57:34.959
WALKING,2019-05-17 20:57:34.959,2019-05-17 21:07:41.900
STILL,2019-05-17 21:07:41.900,2019-05-17 21:08:47.249
WALKING,2019-05-17 21:08:47.249,2019-05-17 21:29:39.715
STILL,2019-05-17 21:29:39.715,2019-05-17 21:37:11.059
WALKING,2019-05-17 21:37:11.059,2019-05-17 21:39:07.046
STILL,2019-05-17 21:39:07.046,2019-05-17 21:42:02.228
