actionType,start_time,end_time
STILL,2019-04-30 00:00:00.000,2019-04-30 03:44:35.587
WALKING,2019-04-30 03:44:35.587,2019-04-30 03:46:12.201
STILL,2019-04-30 03:46:12.201,2019-04-30 03:48:21.805
WALKING,2019-04-30 03:48:21.805,2019-04-30 03:49:23.487
STILL,2019-04-30 03:49:23.487,2019-04-30 03:50:32.392
WALKING,2019-04-30 03:50:32.392,2019-04-30 03:59:00.146
STILL,2019-04-30 03:59:00.146,2019-04-30 03:59:51.320
WALKING,2019-04-30 03:59:51.320,2019-04-30 04:01:36.123
STILL,2019-04-30 04:01:36.123,2019-04-30 05:34:01.791
WALKING,2019-04-30 05:34:01.791,2019-04-30 05:35:20.304
STILL,2019-04-30 05:35:20.304,2019-04-30 05:36:02.873
WALKING,2019-04-30 05:36:02.873,2019-04-30 05:37:30.807
STILL,2019-04-30 05:37:30.807,2019-04-30 06:36:51.552
WALKING,2019-04-30 06:36:51.552,2019-04-30 06:56:48.190
STILL,2019-04-30 06:56:48.190,2019-04-30 07:04:06.533
WALKING,2019-04-30 07:04:06.533,2019-04-30 07:07:13.756
STILL,2019-04-30 07:07:13.756,2019-04-30 07:32:43.960
WALKING,2019-04-30 07:32:43.960,2019-04-30 07:35:42.167
ON_BICYCLE,2019-04-30 07:35:42.167,2019-04-30 07:48:07.823
WALKING,2019-04-30 07:48:07.823,2019-04-30 07:50:24.463
STILL,2019-04-30 07:50:24.463,2019-04-30 07:52:56.883
ON_BICYCLE,2019-04-30 07:52:56.883,2019-04-30 08:00:32.875
WALKING,2019-04-30 08:00:32.875,2019-04-30 08:01:31.838
STILL,2019-04-30 08:01:31.838,2019-04-30 08:05:36.033
WALKING,2019-04-30 08:05:36.033,2019-04-30 08:08:06.597
STILL,2019-04-30 08:08:06.597,2019-04-30 08:13:01.562
WALKING,2019-04-30 08:13:01.562,2019-04-30 08:15:38.772
STILL,2019-04-30 08:15:38.772,2019-04-30 08:17:25.963
WALKING,2019-04-30 08:17:25.963,2019-04-30 08:20:14.564
ON_BICYCLE,2019-04-30 08:20:14.564,2019-04-30 08:25:48.519
WALKING,2019-04-30 08:25:48.519,2019-04-30 08:26:39.273
ON_BICYCLE,2019-04-30 08:26:39.273,2019-04-30 08:27:46.881
WALKING,2019-04-30 08:27:46.881,2019-04-30 08:29:17.838
STILL,2019-04-30 08:29:17.838,2019-04-30 08:33:12.261
RUNNING,2019-04-30 08:33:12.261,2019-04-30 08:34:04.822
WALKING,2019-04-30 08:34:04.822,2019-04-30 08:40:41.253
IN_VEHICLE,2019-04-30 08:40:41.253,2019-04-30 08:50:50.164
STILL,2019-04-30 08:50:50.164,2019-04-30 09:04:11.123
WALKING,2019-04-30 09:04:11.123,2019-04-30 09:12:21.408
STILL,2019-04-30 09:12:21.408,2019-04-30 09:14:42.542
WALKING,2019-04-30 09:14:42.542,2019-04-30 09:15:32.608
STILL,2019-04-30 09:15:32.608,2019-04-30 11:00:23.335
WALKING,2019-04-30 11:00:23.335,2019-04-30 11:01:23.463
STILL,2019-04-30 11:01:23.463,2019-04-30 13:15:08.847
WALKING,2019-04-30 13:15:08.847,2019-04-30 13:16:24.669
STILL,2019-04-30 13:16:24.669,2019-04-30 13:17:18.024
WALKING,2019-04-30 13:17:18.024,2019-04-30 13:18:49.674
STILL,2019-04-30 13:18:49.674,2019-04-30 13:19:36.368
WALKING,2019-04-30 13:19:36.368,2019-04-30 13:20:21.797
STILL,2019-04-30 13:20:21.797,2019-04-30 13:29:22.465
WALKING,2019-04-30 13:29:22.465,2019-04-30 13:30:22.137
STILL,2019-04-30 13:30:22.137,2019-04-30 13:45:21.844
WALKING,2019-04-30 13:45:21.844,2019-04-30 13:48:01.800
STILL,2019-04-30 13:48:01.800,2019-04-30 13:48:49.176
WALKING,2019-04-30 13:48:49.176,2019-04-30 13:49:47.594
STILL,2019-04-30 13:49:47.594,2019-04-30 15:07:26.147
WALKING,2019-04-30 15:07:26.147,2019-04-30 15:19:41.431
IN_VEHICLE,2019-04-30 15:19:41.431,2019-04-30 15:21:27.749
WALKING,2019-04-30 15:21:27.749,2019-04-30 15:24:01.294
STILL,2019-04-30 15:24:01.294,2019-04-30 18:03:45.800
WALKING,2019-04-30 18:03:45.800,2019-04-30 18:16:55.979
STILL,2019-04-30 18:16:55.979,2019-04-30 19:55:51.012
WALKING,2019-04-30 19:55:51.012,2019-04-30 20:04:39.358
IN_VEHICLE,2019-04-30 20:04:39.358,2019-04-30 20:07:25.749
WALKING,2019-04-30 20:07:25.749,2019-04-30 20:11:59.758
STILL,2019-04-30 20:11:59.758,2019-05-01 00:00:00.000
STILL,2019-05-01 00:00:00.000,2019-05-01 04:15:28.540
WALKING,2019-05-01 04:15:28.540,2019-05-01 04:25:49.910
STILL,2019-05-01 04:25:49.910,2019-05-01 04:54:59.961
WALKING,2019-05-01 04:54:59.961,2019-05-01 04:58:29.837
STILL,2019-05-01 04:58:29.837,2019-05-01 04:59:35.970
WALKING,2019-05-01 04:59:35.970,2019-05-01 05:00:52.300
STILL,2019-05-01 05:00:52.300,2019-05-01 05:27:03.216
WALKING,2019-05-01 05:27:03.216,2019-05-01 05:31:17.741
STILL,2019-05-01 05:31:17.741,2019-05-01 05:34:16.549
WALKING,2019-05-01 05:34:16.549,2019-05-01 05:36:43.459
ON_BICYCLE,2019-05-01 05:36:43.459,2019-05-01 05:37:43.578
