actionType,name,packageName,start_time,end_time
STILL,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:04:47.267,2019-05-16 00:05:00.468
STILL,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:05:00.566,2019-05-16 00:05:02.046
STILL,Chrome,com.android.chrome,2019-05-16 00:05:02.125,2019-05-16 00:05:06.483
STILL,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:05:06.605,2019-05-16 00:05:07.411
STILL,Facebook,com.facebook.katana,2019-05-16 00:05:07.427,2019-05-16 00:05:13.336
STILL,Facebook,com.facebook.katana,2019-05-16 00:05:13.377,2019-05-16 00:05:16.170
STILL,Facebook,com.facebook.katana,2019-05-16 00:05:16.219,2019-05-16 00:05:16.919
STILL,Facebook,com.facebook.katana,2019-05-16 00:05:16.951,2019-05-16 00:05:19.196
STILL,Facebook,com.facebook.katana,2019-05-16 00:05:19.213,2019-05-16 00:05:25.031
STILL,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:05:25.094,2019-05-16 00:05:25.947
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:25.966,2019-05-16 00:05:26.753
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:26.766,2019-05-16 00:05:26.793
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:26.813,2019-05-16 00:05:27.196
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:27.651,2019-05-16 00:05:29.433
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:29.445,2019-05-16 00:05:37.736
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:37.776,2019-05-16 00:05:38.965
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:38.975,2019-05-16 00:05:40.088
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:40.117,2019-05-16 00:05:43.245
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:43.260,2019-05-16 00:05:44.638
STILL,카카오톡,com.kakao.talk,2019-05-16 00:05:44.660,2019-05-16 00:05:50.887
STILL,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:05:50.935,2019-05-16 00:05:51.701
STILL,Facebook,com.facebook.katana,2019-05-16 00:05:51.714,2019-05-16 00:06:26.915
STILL,Facebook,com.facebook.katana,2019-05-16 00:06:26.936,2019-05-16 00:06:28.261
STILL,Facebook,com.facebook.katana,2019-05-16 00:06:28.282,2019-05-16 00:06:42.022
STILL,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:17:53.369,2019-05-16 00:17:54.558
STILL,Facebook,com.facebook.katana,2019-05-16 00:17:54.663,2019-05-16 00:17:58.258
STILL,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:17:58.344,2019-05-16 00:18:15.152
STILL,갤러리,com.android.gallery3d,2019-05-16 00:18:15.220,2019-05-16 00:19:34.704
STILL,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:19:34.809,2019-05-16 00:19:40.205
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:19:40.327,2019-05-16 00:19:42.411
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:19:42.421,2019-05-16 00:19:42.947
STILL,Bluetooth,com.lge.bluetoothsetting,2019-05-16 00:19:43.154,2019-05-16 00:19:43.612
STILL,Bluetooth,com.lge.bluetoothsetting,2019-05-16 00:19:43.668,2019-05-16 00:19:49.769
STILL,Bluetooth,com.lge.bluetoothsetting,2019-05-16 00:19:50.296,2019-05-16 00:19:52.892
STILL,Bluetooth,com.lge.bluetoothsetting,2019-05-16 00:19:52.991,2019-05-16 00:19:54.977
STILL,Bluetooth,com.lge.bluetoothsetting,2019-05-16 00:19:55.067,2019-05-16 00:19:55.130
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:19:55.162,2019-05-16 00:19:56.990
STILL,Wi-Fi,com.lge.wifisettings,2019-05-16 00:19:57.067,2019-05-16 00:20:00.032
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:00.111,2019-05-16 00:20:07.153
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:07.195,2019-05-16 00:20:09.475
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:09.481,2019-05-16 00:20:10.536
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:10.551,2019-05-16 00:20:19.915
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:19.926,2019-05-16 00:20:25.267
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:25.279,2019-05-16 00:20:26.890
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:26.899,2019-05-16 00:20:28.239
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:28.263,2019-05-16 00:20:58.010
STILL,Polar Beat,fi.polar.beat,2019-05-16 00:20:58.112,2019-05-16 00:21:00.320
STILL,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:21:01.474,2019-05-16 00:21:01.475
WALKING,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:30:12.002,2019-05-16 00:30:21.126
WALKING,Polar Beat,fi.polar.beat,2019-05-16 00:30:21.483,2019-05-16 00:30:23.002
WALKING,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:31:07.690,2019-05-16 00:31:09.425
WALKING,Polar Beat,fi.polar.beat,2019-05-16 00:31:09.573,2019-05-16 00:31:10.370
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:31:10.449,2019-05-16 00:31:14.669
WALKING,네이버 지도,com.nhn.android.nmap,2019-05-16 00:31:14.743,2019-05-16 00:31:16.101
WALKING,네이버 지도,com.nhn.android.nmap,2019-05-16 00:31:16.214,2019-05-16 00:31:29.302
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:31:29.482,2019-05-16 00:31:31.186
WALKING,Chrome,com.android.chrome,2019-05-16 00:31:31.208,2019-05-16 00:32:29.035
STILL,Chrome,com.android.chrome,2019-05-16 00:32:29.035,2019-05-16 00:33:00.933
STILL,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:33:01.183,2019-05-16 00:33:02.651
STILL,네이버 지도,com.nhn.android.nmap,2019-05-16 00:33:02.689,2019-05-16 00:33:02.733
STILL,네이버 지도,com.nhn.android.nmap,2019-05-16 00:33:02.872,2019-05-16 00:33:09.339
STILL,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:33:10.520,2019-05-16 00:33:10.521
WALKING,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:34:06.759,2019-05-16 00:34:09.464
WALKING,네이버 지도,com.nhn.android.nmap,2019-05-16 00:34:09.619,2019-05-16 00:34:12.257
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:34:12.397,2019-05-16 00:34:13.571
WALKING,Chrome,com.android.chrome,2019-05-16 00:34:14.083,2019-05-16 00:35:00.713
WALKING,설정,com.android.settings,2019-05-16 00:35:01.093,2019-05-16 00:35:05.399
WALKING,Wi-Fi,com.lge.wifisettings,2019-05-16 00:35:05.841,2019-05-16 00:35:18.600
WALKING,Wi-Fi,com.lge.wifisettings,2019-05-16 00:35:18.686,2019-05-16 00:35:41.824
WALKING,Wi-Fi,com.lge.wifisettings,2019-05-16 00:35:41.889,2019-05-16 00:35:48.154
WALKING,Wi-Fi,com.lge.wifisettings,2019-05-16 00:35:48.171,2019-05-16 00:36:12.919
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:36:13.102,2019-05-16 00:36:14.388
WALKING,Chrome,com.android.chrome,2019-05-16 00:36:14.427,2019-05-16 00:38:02.245
STILL,Chrome,com.android.chrome,2019-05-16 00:38:02.245,2019-05-16 00:39:44.222
STILL,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:39:45.410,2019-05-16 00:39:45.411
STILL,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:40:49.762,2019-05-16 00:40:51.297
STILL,Chrome,com.android.chrome,2019-05-16 00:40:51.395,2019-05-16 00:42:46.447
IN_VEHICLE,Chrome,com.android.chrome,2019-05-16 00:42:46.447,2019-05-16 00:46:29.134
IN_VEHICLE,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:46:31.891,2019-05-16 00:46:31.892
IN_VEHICLE,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:46:55.853,2019-05-16 00:46:57.322
IN_VEHICLE,Chrome,com.android.chrome,2019-05-16 00:46:57.554,2019-05-16 00:48:21.449
IN_VEHICLE,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:48:22.291,2019-05-16 00:48:24.068
IN_VEHICLE,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:48:25.984,2019-05-16 00:48:25.996
IN_VEHICLE,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:48:48.066,2019-05-16 00:48:53.818
IN_VEHICLE,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:48:54.063,2019-05-16 00:49:03.307
IN_VEHICLE,Polar Beat,fi.polar.beat,2019-05-16 00:49:03.522,2019-05-16 00:49:09.869
IN_VEHICLE,Polar Beat,fi.polar.beat,2019-05-16 00:49:09.887,2019-05-16 00:49:13.313
IN_VEHICLE,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:49:13.437,2019-05-16 00:49:18.645
IN_VEHICLE,Logger,iclab.kaist.ac.kr.msband_logger,2019-05-16 00:49:18.922,2019-05-16 00:49:19.556
IN_VEHICLE,패키지 설치 프로그램,com.google.android.packageinstaller,2019-05-16 00:49:19.884,2019-05-16 00:49:20.466
IN_VEHICLE,Logger,iclab.kaist.ac.kr.msband_logger,2019-05-16 00:49:20.508,2019-05-16 00:49:22.301
IN_VEHICLE,접근성,com.android.settingsaccessibility,2019-05-16 00:49:22.455,2019-05-16 00:49:24.254
WALKING,접근성,com.android.settingsaccessibility,2019-05-16 00:49:24.254,2019-05-16 00:49:27.477
WALKING,접근성,com.android.settingsaccessibility,2019-05-16 00:49:27.523,2019-05-16 00:49:34.036
WALKING,접근성,com.android.settingsaccessibility,2019-05-16 00:49:34.051,2019-05-16 00:49:34.996
WALKING,Logger,iclab.kaist.ac.kr.msband_logger,2019-05-16 00:49:35.016,2019-05-16 00:49:40.337
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:49:40.462,2019-05-16 00:49:43.129
WALKING,Paco,com.pacoapp.paco,2019-05-16 00:49:43.159,2019-05-16 00:49:46.391
WALKING,Paco,com.pacoapp.paco,2019-05-16 00:49:46.407,2019-05-16 00:49:47.904
WALKING,Paco,com.pacoapp.paco,2019-05-16 00:49:47.916,2019-05-16 00:49:50.693
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:49:50.772,2019-05-16 00:49:53.333
WALKING,갤러리,com.android.gallery3d,2019-05-16 00:49:53.468,2019-05-16 00:50:51.906
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:50:51.987,2019-05-16 00:50:53.484
WALKING,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:50:56.926,2019-05-16 00:53:41.905
WALKING,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:53:30.261,2019-05-16 00:53:41.905
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:53:41.979,2019-05-16 00:53:42.341
WALKING,기본홈(홈&앱서랍),com.lge.launcher2,2019-05-16 00:53:43.517,2019-05-16 00:53:47.551
WALKING,해피스크린,kr.co.happymobile.happyscreen,2019-05-16 00:53:47.570,2019-05-16 00:53:50.774
