name,packageName,isSystemApp,isUpdatedSystemApp,start_time,end_time
드라이브,com.google.android.apps.docs,False,False,2019-05-08 00:00:01.279,2019-05-08 00:00:05.598
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:00:05.655,2019-05-08 00:00:06.757
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:00:06.796,2019-05-08 00:00:07.628
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:00:07.648,2019-05-08 00:00:11.994
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:00:12.022,2019-05-08 00:00:18.541
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:00:18.580,2019-05-08 00:00:26.773
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:00:26.810,2019-05-08 00:00:32.381
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:00:32.408,2019-05-08 00:00:35.717
드라이브,com.google.android.apps.docs,False,False,2019-05-08 00:00:35.778,2019-05-08 00:01:08.092
시스템 UI,com.android.systemui,True,False,2019-05-08 00:01:08.102,2019-05-08 00:01:09.714
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-08 00:01:09.729,2019-05-08 00:01:14.114
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-08 00:02:07.400,2019-05-08 00:02:09.516
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-08 00:02:09.589,2019-05-08 00:02:44.674
Samsung Experience 홈,com.sec.android.app.launcher,True,True,2019-05-08 00:02:44.694,2019-05-08 00:02:47.396
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:02:47.444,2019-05-08 00:02:52.214
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:02:52.247,2019-05-08 00:02:53.502
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:02:53.521,2019-05-08 00:03:08.555
드라이브,com.google.android.apps.docs,False,False,2019-05-08 00:03:08.935,2019-05-08 00:03:11.637
KLMS,kr.ac.kaist.coursemos.android,False,False,2019-05-08 00:03:11.685,2019-05-08 00:03:28.969
드라이브,com.google.android.apps.docs,False,False,2019-05-08 00:03:29.002,2019-05-08 00:03:49.600
시스템 UI,com.android.systemui,True,False,2019-05-08 00:03:49.613,2019-05-08 00:03:51.063
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-08 00:03:51.135,2019-05-08 00:03:57.122
시스템 UI,com.android.systemui,True,False,2019-05-08 00:03:57.140,2019-05-08 00:03:58.184
드라이브,com.google.android.apps.docs,False,False,2019-05-08 00:03:58.245,2019-05-08 00:03:59.337
시스템 UI,com.android.systemui,True,False,2019-05-08 00:03:59.349,2019-05-08 00:04:00.344
삼성 인터넷,com.sec.android.app.sbrowser,False,False,2019-05-08 00:04:00.406,2019-05-08 00:04:16.610
