actionType,start_time,end_time
STILL,2019-05-08 00:00:00.000,2019-05-08 00:01:46.490
WALKING,2019-05-08 00:01:46.490,2019-05-08 00:02:21.681
STILL,2019-05-08 00:02:21.681,2019-05-08 00:40:57.644
IN_VEHICLE,2019-05-08 00:40:57.644,2019-05-08 00:51:21.978
STILL,2019-05-08 00:51:21.978,2019-05-08 01:15:03.724
WALKING,2019-05-08 01:15:03.724,2019-05-08 01:21:59.714
STILL,2019-05-08 01:21:59.714,2019-05-08 01:25:27.721
WALKING,2019-05-08 01:25:27.721,2019-05-08 01:28:26.927
STILL,2019-05-08 01:28:26.927,2019-05-08 01:28:58.927
WALKING,2019-05-08 01:28:58.927,2019-05-08 01:29:40.529
STILL,2019-05-08 01:29:40.529,2019-05-08 01:31:29.323
WALKING,2019-05-08 01:31:29.323,2019-05-08 01:31:54.916
STILL,2019-05-08 01:31:54.916,2019-05-08 02:16:37.613
IN_VEHICLE,2019-05-08 02:16:37.613,2019-05-08 02:26:50.506
STILL,2019-05-08 02:26:50.506,2019-05-08 02:53:12.895
WALKING,2019-05-08 02:53:12.895,2019-05-08 02:53:44.893
ON_BICYCLE,2019-05-08 02:53:44.893,2019-05-08 02:55:37.322
STILL,2019-05-08 02:55:37.322,2019-05-08 02:56:29.192
WALKING,2019-05-08 02:56:29.192,2019-05-08 02:56:37.705
STILL,2019-05-08 02:56:37.705,2019-05-08 02:57:06.490
WALKING,2019-05-08 02:57:06.490,2019-05-08 02:57:48.109
STILL,2019-05-08 02:57:48.109,2019-05-08 03:19:45.497
WALKING,2019-05-08 03:19:45.497,2019-05-08 03:20:14.289
STILL,2019-05-08 03:20:14.289,2019-05-08 03:25:38.688
WALKING,2019-05-08 03:25:38.688,2019-05-08 03:26:58.717
STILL,2019-05-08 03:26:58.717,2019-05-08 03:30:10.715
WALKING,2019-05-08 03:30:10.715,2019-05-08 03:32:47.533
STILL,2019-05-08 03:32:47.533,2019-05-08 03:34:29.892
WALKING,2019-05-08 03:34:29.892,2019-05-08 03:35:08.325
STILL,2019-05-08 03:35:08.325,2019-05-08 03:55:16.690
WALKING,2019-05-08 03:55:16.690,2019-05-08 03:59:07.094
STILL,2019-05-08 03:59:07.094,2019-05-08 03:59:55.101
WALKING,2019-05-08 03:59:55.101,2019-05-08 04:01:08.703
STILL,2019-05-08 04:01:08.703,2019-05-08 04:02:12.691
WALKING,2019-05-08 04:02:12.691,2019-05-08 04:03:48.701
IN_VEHICLE,2019-05-08 04:03:48.701,2019-05-08 04:05:56.697
ON_BICYCLE,2019-05-08 04:05:56.697,2019-05-08 04:09:56.189
WALKING,2019-05-08 04:09:56.189,2019-05-08 04:11:06.590
STILL,2019-05-08 04:11:06.590,2019-05-08 04:11:51.386
WALKING,2019-05-08 04:11:51.386,2019-05-08 04:12:20.190
STILL,2019-05-08 04:12:20.190,2019-05-08 04:13:01.793
WALKING,2019-05-08 04:13:01.793,2019-05-08 04:13:30.648
STILL,2019-05-08 04:13:30.648,2019-05-08 04:16:22.794
IN_VEHICLE,2019-05-08 04:16:22.794,2019-05-08 04:30:44.087
WALKING,2019-05-08 04:30:44.087,2019-05-08 04:31:19.286
IN_VEHICLE,2019-05-08 04:31:19.286,2019-05-08 04:32:42.511
WALKING,2019-05-08 04:32:42.511,2019-05-08 04:33:14.510
STILL,2019-05-08 04:33:14.510,2019-05-08 05:22:26.866
WALKING,2019-05-08 05:22:26.866,2019-05-08 05:23:22.833
STILL,2019-05-08 05:23:22.833,2019-05-08 05:23:30.618
