actionType,name,packageName,start_time,end_time
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:18:33.096,2019-05-16 00:18:34.498
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:34.525,2019-05-16 00:18:34.725
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:34.735,2019-05-16 00:18:34.749
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:34.768,2019-05-16 00:18:34.877
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:35.055,2019-05-16 00:18:36.203
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:36.225,2019-05-16 00:18:45.484
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:45.496,2019-05-16 00:18:46.603
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:18:46.619,2019-05-16 00:18:47.154
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:18:47.194,2019-05-16 00:21:39.725
STILL,카카오톡,com.kakao.talk,2019-05-16 00:21:39.807,2019-05-16 00:21:39.842
STILL,카카오톡,com.kakao.talk,2019-05-16 00:21:39.862,2019-05-16 00:21:40.073
STILL,카카오톡,com.kakao.talk,2019-05-16 00:21:40.135,2019-05-16 00:21:41.203
STILL,카카오톡,com.kakao.talk,2019-05-16 00:21:41.227,2019-05-16 00:21:41.975
STILL,카카오톡,com.kakao.talk,2019-05-16 00:21:41.987,2019-05-16 00:21:58.988
STILL,카카오톡,com.kakao.talk,2019-05-16 00:21:59.015,2019-05-16 00:22:13.490
STILL,카카오톡,com.kakao.talk,2019-05-16 00:22:13.519,2019-05-16 00:22:19.753
STILL,카카오톡,com.kakao.talk,2019-05-16 00:22:19.766,2019-05-16 00:22:29.147
STILL,카카오톡,com.kakao.talk,2019-05-16 00:22:29.176,2019-05-16 00:22:31.487
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:22:31.536,2019-05-16 00:26:03.088
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:03.172,2019-05-16 00:26:03.243
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:03.270,2019-05-16 00:26:03.338
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:03.386,2019-05-16 00:26:03.592
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:03.730,2019-05-16 00:26:05.138
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:05.163,2019-05-16 00:26:08.291
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:08.307,2019-05-16 00:26:08.342
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:08.394,2019-05-16 00:26:09.843
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:09.855,2019-05-16 00:26:18.934
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:18.951,2019-05-16 00:26:43.061
STILL,카카오톡,com.kakao.talk,2019-05-16 00:26:43.087,2019-05-16 00:26:45.840
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:26:45.856,2019-05-16 00:26:46.374
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:26:46.411,2019-05-16 00:29:28.764
STILL,시스템 UI,com.android.systemui,2019-05-16 00:29:28.781,2019-05-16 00:29:31.117
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:29:31.174,2019-05-16 00:29:58.338
STILL,시스템 UI,com.android.systemui,2019-05-16 00:29:58.354,2019-05-16 00:29:59.022
STILL,카카오톡,com.kakao.talk,2019-05-16 00:29:59.085,2019-05-16 00:29:59.216
STILL,카카오톡,com.kakao.talk,2019-05-16 00:29:59.262,2019-05-16 00:30:00.199
STILL,카카오톡,com.kakao.talk,2019-05-16 00:30:00.219,2019-05-16 00:30:06.310
STILL,카카오톡,com.kakao.talk,2019-05-16 00:30:06.333,2019-05-16 00:30:50.931
STILL,카카오톡,com.kakao.talk,2019-05-16 00:30:50.970,2019-05-16 00:30:52.843
STILL,카카오톡,com.kakao.talk,2019-05-16 00:30:52.865,2019-05-16 00:31:07.060
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:07.072,2019-05-16 00:31:08.455
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:08.467,2019-05-16 00:31:09.318
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:09.328,2019-05-16 00:31:14.083
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:14.105,2019-05-16 00:31:15.104
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:15.155,2019-05-16 00:31:15.581
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:15.592,2019-05-16 00:31:30.403
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:30.416,2019-05-16 00:31:31.873
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:31.896,2019-05-16 00:31:38.225
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:38.238,2019-05-16 00:31:42.890
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:42.916,2019-05-16 00:31:51.155
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:51.169,2019-05-16 00:31:52.386
STILL,카카오톡,com.kakao.talk,2019-05-16 00:31:52.406,2019-05-16 00:31:57.488
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:31:57.526,2019-05-16 00:31:58.309
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:31:58.354,2019-05-16 00:32:01.010
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:32:01.029,2019-05-16 00:32:02.007
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:32:02.022,2019-05-16 00:33:17.490
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:33:17.510,2019-05-16 00:33:18.760
STILL,시스템 UI,com.android.systemui,2019-05-16 00:33:18.770,2019-05-16 00:33:19.420
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:33:19.427,2019-05-16 00:33:21.554
STILL,G마켓,com.ebay.kr.gmarket,2019-05-16 00:33:21.594,2019-05-16 00:33:22.073
STILL,G마켓,com.ebay.kr.gmarket,2019-05-16 00:33:22.582,2019-05-16 00:33:24.757
STILL,G마켓,com.ebay.kr.gmarket,2019-05-16 00:33:24.854,2019-05-16 00:33:27.367
STILL,G마켓,com.ebay.kr.gmarket,2019-05-16 00:33:27.407,2019-05-16 00:33:29.651
STILL,G마켓,com.ebay.kr.gmarket,2019-05-16 00:33:29.679,2019-05-16 00:33:44.364
STILL,G마켓,com.ebay.kr.gmarket,2019-05-16 00:33:44.386,2019-05-16 00:33:50.604
STILL,G마켓,com.ebay.kr.gmarket,2019-05-16 00:33:50.636,2019-05-16 00:34:06.771
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:34:06.788,2019-05-16 00:34:07.405
STILL,시스템 UI,com.android.systemui,2019-05-16 00:34:07.415,2019-05-16 00:34:08.799
