timestamp,transitionType
1557447443472,EXIT_STILL
1557447443472,ENTER_WALKING
1557448232416,EXIT_WALKING
1557448232416,ENTER_IN_VEHICLE
1557448247814,EXIT_IN_VEHICLE
1557448247814,ENTER_WALKING
1557448321705,EXIT_WALKING
1557448321705,ENTER_STILL
1557449763195,EXIT_STILL
1557449763195,ENTER_WALKING
1557449950100,EXIT_WALKING
1557449950100,ENTER_STILL
1557452882859,EXIT_STILL
1557452882859,ENTER_WALKING
1557453016545,EXIT_WALKING
1557453016545,ENTER_RUNNING
1557453131780,EXIT_RUNNING
1557453131780,ENTER_STILL
1557457358849,EXIT_STILL
1557457358849,ENTER_WALKING
1557457499281,EXIT_WALKING
1557457499281,ENTER_STILL
1557457554821,EXIT_STILL
1557457554821,ENTER_WALKING
1557457708879,EXIT_WALKING
1557457708879,ENTER_STILL
1557457811239,EXIT_STILL
1557457811239,ENTER_WALKING
1557457875278,EXIT_WALKING
1557457875278,ENTER_STILL
1557460248239,EXIT_STILL
1557460248239,ENTER_WALKING
1557460353801,EXIT_WALKING
1557460353801,ENTER_STILL
1557461565210,EXIT_STILL
1557461565210,ENTER_WALKING
1557461903410,EXIT_WALKING
1557461903410,ENTER_STILL
1557461964693,EXIT_STILL
1557461964693,ENTER_WALKING
1557462235052,EXIT_WALKING
1557462235052,ENTER_STILL
1557462893034,EXIT_STILL
1557462893034,ENTER_WALKING
1557463012686,EXIT_WALKING
1557463012686,ENTER_STILL
1557463215081,EXIT_STILL
1557463215081,ENTER_WALKING
1557463359013,EXIT_WALKING
1557463359013,ENTER_STILL
1557463976214,EXIT_STILL
1557463976214,ENTER_WALKING
1557464509779,EXIT_WALKING
1557464509779,ENTER_STILL
1557466187682,EXIT_STILL
1557466187682,ENTER_WALKING
1557466518594,EXIT_WALKING
1557466518594,ENTER_STILL
1557466749186,EXIT_STILL
1557466749186,ENTER_WALKING
1557466794566,EXIT_WALKING
1557466794566,ENTER_STILL
1557466936885,EXIT_STILL
1557466936885,ENTER_WALKING
1557467240919,EXIT_WALKING
1557467240919,ENTER_STILL
1557468138972,EXIT_STILL
1557468138972,ENTER_WALKING
1557468701921,EXIT_WALKING
1557468701921,ENTER_STILL
1557471035775,EXIT_STILL
1557471035775,ENTER_WALKING
1557471128220,EXIT_WALKING
1557471128220,ENTER_STILL
1557473116897,EXIT_STILL
1557473116897,ENTER_WALKING
1557473206887,EXIT_WALKING
1557473206887,ENTER_STILL
1557476218699,EXIT_STILL
1557476218699,ENTER_WALKING
1557476260045,EXIT_WALKING
1557476260045,ENTER_STILL
1557476996012,EXIT_STILL
1557476996012,ENTER_WALKING
1557477301238,EXIT_WALKING
1557477301238,ENTER_STILL
1557478398939,EXIT_STILL
1557478398939,ENTER_WALKING
1557478805624,EXIT_WALKING
1557478805624,ENTER_STILL
1557486176401,EXIT_STILL
1557486176401,ENTER_WALKING
1557486746935,EXIT_WALKING
1557486746935,ENTER_STILL
1557491966353,EXIT_STILL
1557491966353,ENTER_WALKING
1557492044318,EXIT_WALKING
1557492044318,ENTER_STILL
1557494260323,EXIT_STILL
1557494260323,ENTER_WALKING
1557494358711,EXIT_WALKING
1557494358711,ENTER_STILL
1557494379058,EXIT_STILL
1557494379058,ENTER_WALKING
1557495075922,EXIT_WALKING
1557495075922,ENTER_STILL
1557503687839,EXIT_STILL
1557503687839,ENTER_WALKING
1557503767311,EXIT_WALKING
1557503767311,ENTER_STILL
