timestamp,Resistance
1557633851430,340330
1557633851630,340330
1557633851832,340330
1557633852029,340330
1557633852231,340330
1557633852428,340330
1557633852627,340330
1557633852827,340330
1557633853026,340330
1557633853226,340330
1557633853422,340330
1557633853624,340330
1557633853822,340330
1557633854022,340330
1557633854222,340330
1557633854419,340330
1557633854620,340330
1557633854818,340330
1557633855018,340330
1557633855217,340330
1557633855416,340330
1557633855616,340330
1557633855814,340330
1557633856018,340330
1557633856212,340330
1557633856413,340330
1557633856612,340330
1557633856812,340330
1557633857011,340330
1557633857209,340330
1557633857417,340330
1557633857610,340330
1557633857809,340330
1557633858006,340330
1557633858205,340330
1557633858405,340330
1557633858603,340330
1557633858801,340330
1557633859002,340330
1557633859201,340330
1557633859401,340330
1557633859600,340330
1557633859802,340330
1557633859998,340330
1557633860200,340330
1557633860396,340330
1557633860597,340330
1557633860795,340330
1557633860994,340330
1557633861193,340330
1557633861395,340330
1557633861592,340330
1557633861790,340330
1557633861991,340330
1557633862188,340330
1557633862389,340330
1557633862587,340330
1557633862787,340330
1557633863010,340330
1557633863185,340330
1557633863385,340330
1557633863585,340330
1557633863786,340330
1557633863983,340330
1557633864181,340330
1557633864402,340330
1557633864580,340330
1557633864781,340330
1557633864978,340330
1557633865178,340330
1557633865376,340330
1557633865577,340330
1557633865775,340330
1557633865974,340330
1557633866181,340330
1557633866377,340330
1557633866573,340330
1557633866771,340330
1557633866971,340330
1557633867170,340330
1557633867369,340330
1557633867569,340330
1557633867768,340330
1557633867967,340330
1557633868165,340330
1557633868364,340330
1557633868566,340330
1557633868764,340330
1557633868962,340330
1557633869160,340330
1557633869362,340330
1557633869560,340330
1557633869759,340330
1557633869968,340330
1557633870158,340330
1557633870358,340330
1557633870557,340330
1557633870757,340330
1557633870956,340330
1557633871154,340330
1557633871353,340330
1557633871554,340330
1557633871751,340330
1557633871951,340330
1557633872150,340330
1557633872359,340330
1557633872550,340330
1557633872749,340330
1557633872948,340330
1557633873156,340330
1557633873345,340330
1557633873546,340330
1557633873744,340330
1557633873943,340330
1557633874146,340330
1557633874341,340330
1557633874543,340330
1557633874741,340330
1557633874940,340330
1557633875139,340330
1557633875338,340330
1557633875537,340330
1557633875737,340330
1557633875935,340330
1557633876138,340330
1557633876334,340330
1557633876535,340330
1557633876731,340330
1557633876932,340330
1557633877131,340330
1557633877332,340330
1557633877530,340330
1557633877738,340330
1557633877928,340330
1557633878127,340330
1557633878324,340330
1557633878526,340330
1557633878724,340330
1557633878924,340330
1557633879123,340330
1557633879321,340330
1557633879521,340330
1557633879719,340330
1557633879922,340330
1557633880119,340330
1557633880321,340330
1557633880518,340330
1557633880716,340330
1557633880916,340330
1557633881118,340330
1557633881314,340330
1557633881513,340330
1557633881713,340330
1557633881913,340330
1557633882112,340330
1557633882318,340330
1557633882510,340330
1557633882710,340330
1557633882907,340330
1557633883107,340330
1557633883307,340330
1557633883506,340330
1557633883706,340330
1557633883903,340330
1557633884104,340330
1557633884301,340330
1557633884500,340330
1557633884700,340330
1557633884900,340330
1557633885099,340330
1557633885299,340330
1557633885497,340330
1557633885699,340330
1557633885895,340330
1557633851430,340330
1557633851630,340330
1557633851832,340330
1557633852029,340330
1557633852231,340330
1557633852428,340330
1557633852627,340330
1557633852827,340330
1557633853026,340330
1557633853226,340330
1557633853422,340330
1557633853624,340330
1557633853822,340330
1557633854022,340330
1557633854222,340330
1557633854419,340330
1557633854620,340330
1557633854818,340330
1557633855018,340330
1557633855217,340330
1557633855416,340330
1557633855616,340330
1557633855814,340330
1557633856018,340330
1557633856212,340330
1557633856413,340330
1557633856612,340330
1557633856812,340330
1557633857011,340330
1557633857209,340330
1557633857417,340330
1557633857610,340330
1557633857809,340330
1557633858006,340330
1557633858205,340330
1557633858405,340330
1557633858603,340330
1557633858801,340330
1557633859002,340330
1557633859201,340330
1557633859401,340330
1557633859600,340330
1557633859802,340330
1557633859998,340330
1557633860200,340330
1557633860396,340330
1557633860597,340330
1557633860795,340330
1557633860994,340330
1557633861193,340330
1557633861395,340330
1557633861592,340330
1557633861790,340330
1557633861991,340330
1557633862188,340330
1557633862389,340330
1557633862587,340330
1557633862787,340330
1557633863010,340330
1557633863185,340330
1557633863385,340330
1557633863585,340330
1557633863786,340330
1557633863983,340330
1557633864181,340330
1557633864402,340330
1557633864580,340330
1557633864781,340330
1557633864978,340330
1557633865178,340330
1557633865376,340330
1557633865577,340330
1557633865775,340330
1557633865974,340330
1557633866181,340330
1557633866377,340330
1557633866573,340330
1557633866771,340330
1557633866971,340330
1557633867170,340330
1557633867369,340330
1557633867569,340330
1557633867768,340330
1557633867967,340330
1557633868165,340330
1557633868364,340330
1557633868566,340330
1557633868764,340330
1557633868962,340330
1557633869160,340330
1557633869362,340330
1557633869560,340330
1557633869759,340330
1557633869968,340330
1557633870158,340330
1557633870358,340330
1557633870557,340330
1557633870757,340330
1557633870956,340330
1557633871154,340330
1557633871353,340330
1557633871554,340330
1557633871751,340330
1557633871951,340330
1557633872150,340330
1557633872359,340330
1557633872550,340330
1557633872749,340330
1557633872948,340330
1557633873156,340330
1557633873345,340330
1557633873546,340330
1557633873744,340330
1557633873943,340330
1557633874146,340330
1557633874341,340330
1557633874543,340330
1557633874741,340330
1557633874940,340330
1557633875139,340330
1557633875338,340330
1557633875537,340330
1557633875737,340330
1557633875935,340330
1557633876138,340330
1557633876334,340330
1557633876535,340330
1557633876731,340330
1557633876932,340330
1557633877131,340330
1557633877332,340330
1557633877530,340330
1557633877738,340330
1557633877928,340330
1557633878127,340330
1557633878324,340330
1557633878526,340330
1557633878724,340330
1557633878924,340330
1557633879123,340330
1557633879321,340330
1557633879521,340330
1557633879719,340330
1557633879922,340330
1557633880119,340330
1557633880321,340330
1557633880518,340330
1557633880716,340330
1557633880916,340330
1557633881118,340330
1557633881314,340330
1557633881513,340330
1557633881713,340330
1557633881913,340330
1557633882112,340330
1557633882318,340330
1557633882510,340330
1557633882710,340330
1557633882907,340330
1557633883107,340330
1557633883307,340330
1557633883506,340330
1557633883706,340330
1557633883903,340330
1557633884104,340330
1557633884301,340330
1557633884500,340330
1557633884700,340330
1557633884900,340330
1557633885099,340330
1557633885299,340330
1557633885497,340330
1557633885699,340330
1557633885895,340330
1557633851430,340330
1557633851630,340330
1557633851832,340330
1557633852029,340330
1557633852231,340330
1557633852428,340330
1557633852627,340330
1557633852827,340330
1557633853026,340330
1557633853226,340330
1557633853422,340330
1557633853624,340330
1557633853822,340330
1557633854022,340330
1557633854222,340330
1557633854419,340330
1557633854620,340330
1557633854818,340330
1557633855018,340330
1557633855217,340330
1557633855416,340330
1557633855616,340330
1557633855814,340330
1557633856018,340330
1557633856212,340330
1557633856413,340330
1557633856612,340330
1557633856812,340330
1557633857011,340330
1557633857209,340330
1557633857417,340330
1557633857610,340330
1557633857809,340330
1557633858006,340330
1557633858205,340330
1557633858405,340330
1557633858603,340330
1557633858801,340330
1557633859002,340330
1557633859201,340330
1557633859401,340330
1557633859600,340330
1557633859802,340330
1557633859998,340330
1557633860200,340330
1557633860396,340330
1557633860597,340330
1557633860795,340330
1557633860994,340330
1557633861193,340330
1557633861395,340330
1557633861592,340330
1557633861790,340330
1557633861991,340330
1557633862188,340330
1557633862389,340330
1557633862587,340330
1557633862787,340330
1557633863010,340330
1557633863185,340330
1557633863385,340330
1557633863585,340330
1557633863786,340330
1557633863983,340330
1557633864181,340330
1557633864402,340330
1557633864580,340330
1557633864781,340330
1557633864978,340330
1557633865178,340330
1557633865376,340330
1557633865577,340330
1557633865775,340330
1557633865974,340330
