timestamp,TotalSteps,StepsToday
1557532800684,76124,0
1557532801699,76124,0
1557532802702,76124,0
1557532803705,76124,0
1557532804728,76124,0
1557532805716,76124,0
1557532806738,76124,0
1557532807739,76124,0
1557532808749,76124,0
1557532809745,76124,0
1557532810762,76124,0
1557532811791,76124,0
1557532812807,76124,0
1557532813780,76124,0
1557532814794,76124,0
1557532815818,76124,0
1557532816834,76124,0
1557532817812,76124,0
1557532818866,76124,0
1557532819881,76124,0
1557532820844,76124,0
1557532821856,76124,0
1557532822871,76124,0
1557532823880,76124,0
1557532824877,76124,0
1557532825881,76124,0
1557532826903,76124,0
1557532827915,76124,0
1557532828920,76124,0
1557532829937,76124,0
1557532830932,76124,0
1557532831931,76124,0
1557532832949,76124,0
1557532833954,76124,0
1557532834951,76124,0
1557532835967,76124,0
1557532836984,76124,0
1557532837990,76124,0
1557532839003,76124,0
1557532839999,76124,0
1557532841004,76124,0
1557532842022,76124,0
1557532843022,76124,0
1557532844039,76124,0
1557532845027,76124,0
1557532846049,76124,0
1557532847051,76124,0
1557532848071,76124,0
1557532849065,76124,0
1557532850078,76124,0
1557532851088,76124,0
1557532852102,76124,0
1557532853111,76124,0
1557532854103,76124,0
1557532855139,76124,0
1557532856135,76124,0
1557532857140,76124,0
1557532858146,76124,0
1557532859135,76124,0
1557532860146,76124,0
1557532861166,76124,0
1557532862190,76124,0
1557532863186,76124,0
1557532864189,76124,0
1557532865208,76124,0
1557532866226,76124,0
1557532867243,76124,0
1557532868225,76124,0
1557532869251,76124,0
1557532870227,76124,0
1557532871260,76124,0
1557532872260,76124,0
1557532873277,76124,0
1557532874263,76124,0
1557532875287,76124,0
1557532876299,76124,0
1557532877306,76124,0
1557532878301,76124,0
1557532879315,76124,0
1557532880337,76124,0
1557532881339,76124,0
1557532882332,76124,0
1557532883347,76124,0
1557532884352,76124,0
1557532885392,76124,0
1557532886375,76124,0
1557532887381,76124,0
1557532888386,76124,0
1557532889407,76124,0
1557532890399,76124,0
1557532891408,76124,0
1557532892420,76124,0
1557532893417,76124,0
1557532894417,76124,0
1557532895439,76124,0
1557532896462,76124,0
1557532897468,76124,0
1557532898470,76124,0
1557532899481,76124,0
1557532900471,76124,0
1557532901487,76124,0
1557532902498,76124,0
1557532903513,76124,0
1557532904528,76124,0
