timestamp,type
1557360002483,SCREEN_ON
1557360008187,UNLOCK
1557360014144,SCREEN_OFF
1557360301832,SCREEN_ON
1557360312686,SCREEN_OFF
1557360601559,SCREEN_ON
1557360611063,SCREEN_OFF
1557360661837,SCREEN_ON
1557360666853,UNLOCK
1557360670742,SCREEN_OFF
1557360901604,SCREEN_ON
1557360903359,POWER_DISCONNECTED
1557360904079,POWER_CONNECTED
1557360911550,SCREEN_OFF
1557360920885,UNLOCK
1557360921033,SCREEN_ON
1557361205149,SCREEN_OFF
1557361206066,SCREEN_ON
1557361206131,UNLOCK
1557361225116,SCREEN_OFF
1557362182440,SCREEN_ON
1557362183536,UNLOCK
1557362850595,SCREEN_OFF
1557364097588,UNLOCK
1557364097810,SCREEN_ON
1557364110121,SCREEN_OFF
1557364522773,POWER_DISCONNECTED
1557364523376,SCREEN_ON
1557364528934,SCREEN_OFF
1557364601415,HEADSET_MIC_UNPLUGGED
1557364602176,SCREEN_ON
1557364610091,SCREEN_OFF
1557364616532,UNLOCK
1557364616807,SCREEN_ON
1557364633810,SCREEN_OFF
1557364897878,UNLOCK
1557364898044,SCREEN_ON
1557364987176,HEADSET_MIC_UNPLUGGED
1557364988199,SCREEN_OFF
1557365234513,UNLOCK
1557365234731,SCREEN_ON
1557365246606,SCREEN_OFF
1557365409551,SCREEN_ON
1557365409566,UNLOCK
1557365477884,SCREEN_OFF
1557365970815,UNLOCK
1557365970928,SCREEN_ON
1557365981606,SCREEN_OFF
1557366044814,UNLOCK
1557366044835,SCREEN_ON
1557366066311,SCREEN_OFF
1557366172530,UNLOCK
1557366172881,SCREEN_ON
1557366187617,SCREEN_OFF
1557366702375,UNLOCK
1557366702502,SCREEN_ON
1557366711294,SCREEN_OFF
1557368411584,UNLOCK
1557368411833,SCREEN_ON
1557368415350,SCREEN_OFF
1557368448050,UNLOCK
1557368448290,SCREEN_ON
1557368600361,SCREEN_OFF
1557368730693,UNLOCK
1557368731019,SCREEN_ON
1557368745633,SCREEN_OFF
1557369592957,UNLOCK
1557369593148,SCREEN_ON
1557369639460,SCREEN_OFF
1557369733819,UNLOCK
1557369734161,SCREEN_ON
1557369956045,SCREEN_OFF
1557369963508,UNLOCK
1557369963709,SCREEN_ON
1557369967729,SCREEN_OFF
1557369984090,UNLOCK
1557369984457,SCREEN_ON
1557370271054,SCREEN_OFF
1557370426465,UNLOCK
1557370426770,SCREEN_ON
1557370436541,SCREEN_OFF
1557371309869,UNLOCK
1557371310057,SCREEN_ON
1557371321880,SCREEN_OFF
1557371898567,UNLOCK
1557371898896,SCREEN_ON
1557371906165,SCREEN_OFF
1557372329840,UNLOCK
1557372330149,SCREEN_ON
1557372337198,SCREEN_OFF
1557373444041,UNLOCK
1557373444275,SCREEN_ON
1557373448785,SCREEN_OFF
1557373500738,SCREEN_ON
1557373507376,SCREEN_OFF
1557373993592,SCREEN_ON
1557373999797,SCREEN_OFF
1557374821229,SCREEN_ON
1557374822822,UNLOCK
1557374898243,SCREEN_OFF
1557374913493,UNLOCK
1557374913731,SCREEN_ON
1557374919241,SCREEN_OFF
1557374979397,UNLOCK
1557374979587,SCREEN_ON
1557374983881,SCREEN_OFF
1557374993133,UNLOCK
1557374993312,SCREEN_ON
1557375001935,SCREEN_OFF
1557375848810,UNLOCK
1557375849153,SCREEN_ON
1557375877283,SCREEN_OFF
1557375983337,UNLOCK
1557375983704,SCREEN_ON
1557376055811,SCREEN_OFF
1557376599860,UNLOCK
1557376600025,SCREEN_ON
1557376605564,SCREEN_OFF
1557376699716,UNLOCK
1557376699987,SCREEN_ON
1557376830589,SCREEN_OFF
1557376878556,POWER_CONNECTED
1557376879135,SCREEN_ON
1557376882032,SCREEN_OFF
1557376926774,UNLOCK
1557376927004,SCREEN_ON
1557376970282,SCREEN_OFF
1557377409341,UNLOCK
1557377409541,SCREEN_ON
1557377889721,SCREEN_OFF
1557377892091,UNLOCK
1557377892326,SCREEN_ON
1557377946952,SCREEN_OFF
