timestamp,encoding,duration,path,sampleRate,channelMask
1557509881559,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557509866433.record,8000,MONO
1557510796739,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557510781634.record,8000,MONO
1557511712251,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557511697135.record,8000,MONO
1557512627550,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557512612458.record,8000,MONO
1557513542778,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557513527667.record,8000,MONO
1557514458013,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557514442869.record,8000,MONO
1557515372500,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557515357388.record,8000,MONO
1557516287712,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557516272582.record,8000,MONO
1557517202990,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557517187866.record,8000,MONO
1557518118220,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557518103117.record,8000,MONO
1557519033435,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557519018314.record,8000,MONO
1557519948659,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557519933526.record,8000,MONO
1557520863858,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557520848739.record,8000,MONO
1557521779218,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557521764101.record,8000,MONO
1557522694424,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557522679295.record,8000,MONO
1557523609629,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557523594536.record,8000,MONO
1557524524895,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557524509756.record,8000,MONO
1557525440124,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557525425007.record,8000,MONO
1557526355284,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557526340158.record,8000,MONO
1557527270500,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557527255397.record,8000,MONO
1557528185735,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557528170629.record,8000,MONO
1557529101073,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557529085945.record,8000,MONO
1557530016310,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557530001191.record,8000,MONO
1557530931516,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557530916406.record,8000,MONO
1557531846747,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557531831638.record,8000,MONO
1557532761962,PCM16BIT,15000,/storage/emulated/0/Android/data/kaist.iclab.abclogger/files/1557532746855.record,8000,MONO
