timestamp,ssid,bssid,frequency,rssi
1557273605554,88:36:6c:6e:21:d4,88:36:6c:6e:21:d4,2452,-42
1557273605554,88:36:6c:6e:21:d6,88:36:6c:6e:21:d6,5785,-53
1557273605554,88:36:6c:0b:2e:cc,88:36:6c:0b:2e:cc,5200,-67
1557273605554,f4:d9:fb:67:aa:f0,f4:d9:fb:67:aa:f0,2412,-70
1557273605554,88:36:6c:c2:13:60,88:36:6c:c2:13:60,5745,-75
1557273605554,f4:d9:fb:67:a2:b0,f4:d9:fb:67:a2:b0,2452,-75
1557273605554,f4:d9:fb:67:aa:e3,f4:d9:fb:67:aa:e3,5200,-82
1557273605554,f4:d9:fb:67:a9:b0,f4:d9:fb:67:a9:b0,2472,-85
1557273605554,90:9f:33:b4:d1:4a,90:9f:33:b4:d1:4a,2432,-86
1557273605554,f4:d9:fb:67:94:b0,f4:d9:fb:67:94:b0,2452,-86
1557273605554,64:e5:99:20:df:9c,64:e5:99:20:df:9c,2462,-87
1557273605554,88:36:6c:26:ab:b2,88:36:6c:26:ab:b2,2447,-88
1557273605554,f4:d9:fb:3e:50:63,f4:d9:fb:3e:50:63,5745,-90
1557273605554,90:9f:33:dd:0b:70,90:9f:33:dd:0b:70,2472,-92
1557273904601,88:36:6c:6e:21:d4,88:36:6c:6e:21:d4,2452,-49
1557273904601,88:36:6c:6e:21:d6,88:36:6c:6e:21:d6,5785,-54
1557273904601,88:36:6c:0b:2e:ce,88:36:6c:0b:2e:ce,2432,-58
1557273904601,64:e5:99:7d:99:7c,64:e5:99:7d:99:7c,2417,-62
1557273904601,f4:d9:fb:67:aa:f0,f4:d9:fb:67:aa:f0,2412,-67
1557273904601,88:36:6c:91:fa:f4,88:36:6c:91:fa:f4,2427,-71
1557273904601,88:36:6c:0b:2e:cc,88:36:6c:0b:2e:cc,5200,-72
1557273904601,88:36:6c:c2:13:60,88:36:6c:c2:13:60,5745,-77
1557273904601,f4:d9:fb:3e:50:70,f4:d9:fb:3e:50:70,2432,-78
1557273904601,90:9f:33:34:a2:28,90:9f:33:34:a2:28,2417,-80
1557273904601,f4:d9:fb:3e:62:30,f4:d9:fb:3e:62:30,2432,-82
1557273904601,f4:d9:fb:3e:4f:30,f4:d9:fb:3e:4f:30,2472,-82
1557273904601,f4:d9:fb:67:aa:e3,f4:d9:fb:67:aa:e3,5200,-83
1557273904601,f4:d9:fb:67:a9:b0,f4:d9:fb:67:a9:b0,2472,-84
1557273904601,64:e5:99:20:df:9c,64:e5:99:20:df:9c,2462,-86
1557273904601,88:36:6c:4e:7c:d4,88:36:6c:4e:7c:d4,2432,-86
1557273904601,90:9f:33:b1:0c:c4,90:9f:33:b1:0c:c4,2437,-88
1557273904601,90:9f:33:b3:60:28,90:9f:33:b3:60:28,2442,-93
1557274206123,88:36:6c:6e:21:d4,88:36:6c:6e:21:d4,2452,-43
1557274206123,88:36:6c:6e:21:d6,88:36:6c:6e:21:d6,5785,-50
1557274206123,88:36:6c:0b:2e:ce,88:36:6c:0b:2e:ce,2432,-52
