timestamp,confidence,type
1557792618931,1.0,STILL
1557793320736,1.0,STILL
1557793463531,1.0,STILL
1557793993642,1.0,STILL
1557795062783,1.0,STILL
1557795417630,1.0,STILL
1557795439189,1.0,STILL
1557796536592,1.0,STILL
1557797731994,1.0,STILL
1557797952991,0.93,ON_FOOT
1557797952991,0.93,WALKING
1557797952991,0.02,UNKNOWN
1557797952991,0.01,IN_VEHICLE
1557797952991,0.01,ON_BICYCLE
1557797952991,0.01,RUNNING
1557797952991,0.01,STILL
1557797976756,1.0,TILTING
1557797982486,0.4,UNKNOWN
1557797982486,0.1,IN_VEHICLE
1557797982486,0.1,ON_BICYCLE
1557797982486,0.1,ON_FOOT
1557797982486,0.1,WALKING
1557797982486,0.1,RUNNING
1557797982486,0.1,STILL
1557797997287,1.0,TILTING
1557798004327,0.88,ON_FOOT
1557798004327,0.88,WALKING
1557798004327,0.05,STILL
1557798004327,0.02,ON_BICYCLE
1557798004327,0.02,RUNNING
1557798004327,0.01,IN_VEHICLE
1557798004327,0.01,UNKNOWN
1557798010454,1.0,TILTING
1557798016580,0.86,ON_FOOT
1557798016580,0.86,WALKING
1557798016580,0.04,STILL
1557798016580,0.03,IN_VEHICLE
1557798016580,0.02,ON_BICYCLE
1557798016580,0.02,RUNNING
1557798016580,0.01,UNKNOWN
1557798024110,1.0,TILTING
1557798031640,0.93,ON_FOOT
1557798031640,0.93,WALKING
1557798031640,0.02,RUNNING
1557798031640,0.02,UNKNOWN
1557798031640,0.01,IN_VEHICLE
1557798031640,0.01,ON_BICYCLE
1557798031640,0.01,STILL
1557798040519,1.0,TILTING
1557798040872,0.93,ON_FOOT
1557798040872,0.93,WALKING
1557798040872,0.02,ON_BICYCLE
1557798040872,0.02,RUNNING
1557798040872,0.02,UNKNOWN
1557798040872,0.01,IN_VEHICLE
1557798058601,1.0,TILTING
1557798059474,0.4,UNKNOWN
1557798059474,0.1,IN_VEHICLE
1557798059474,0.1,ON_BICYCLE
1557798059474,0.1,ON_FOOT
1557798059474,0.1,WALKING
1557798059474,0.1,RUNNING
1557798059474,0.1,STILL
1557798076748,1.0,TILTING
1557798081712,1.0,ON_BICYCLE
1557798100874,1.0,ON_BICYCLE
1557798117550,1.0,ON_BICYCLE
1557798132893,0.97,ON_BICYCLE
1557798132893,0.02,UNKNOWN
1557798132893,0.01,ON_FOOT
1557798132893,0.01,WALKING
1557798148142,0.97,ON_BICYCLE
1557798148142,0.02,UNKNOWN
1557798148142,0.01,ON_FOOT
1557798148142,0.01,WALKING
1557798163212,0.97,ON_BICYCLE
1557798163212,0.02,UNKNOWN
1557798163212,0.01,ON_FOOT
1557798163212,0.01,WALKING
1557798178249,0.99,ON_BICYCLE
1557798178249,0.01,ON_FOOT
1557798178249,0.01,WALKING
1557798185779,1.0,TILTING
1557798193309,0.98,ON_BICYCLE
1557798193309,0.01,ON_FOOT
1557798193309,0.01,WALKING
1557798193309,0.01,UNKNOWN
1557798208350,0.98,ON_BICYCLE
1557798208350,0.01,ON_FOOT
1557798208350,0.01,WALKING
1557798208350,0.01,UNKNOWN
1557798223382,0.97,ON_BICYCLE
1557798223382,0.02,UNKNOWN
1557798223382,0.01,ON_FOOT
1557798223382,0.01,WALKING
1557798238458,0.97,ON_BICYCLE
1557798238458,0.02,UNKNOWN
1557798238458,0.01,ON_FOOT
1557798238458,0.01,WALKING
1557798253594,0.98,ON_BICYCLE
1557798253594,0.01,IN_VEHICLE
1557798253594,0.01,UNKNOWN
1557798261165,1.0,TILTING
1557798268736,0.97,ON_BICYCLE
1557798268736,0.02,UNKNOWN
1557798268736,0.01,ON_FOOT
1557798268736,0.01,WALKING
1557798283865,0.97,ON_BICYCLE
1557798283865,0.02,UNKNOWN
1557798283865,0.01,ON_FOOT
1557798283865,0.01,WALKING
1557798298933,0.97,ON_BICYCLE
1557798298933,0.02,UNKNOWN
1557798298933,0.01,ON_FOOT
1557798298933,0.01,WALKING
1557798306489,1.0,TILTING
1557798314044,0.98,ON_BICYCLE
1557798314044,0.01,ON_FOOT
1557798314044,0.01,WALKING
1557798314044,0.01,UNKNOWN
1557798329172,0.81,ON_BICYCLE
1557798329172,0.16,ON_FOOT
1557798329172,0.16,WALKING
1557798329172,0.03,UNKNOWN
1557798344210,0.94,ON_FOOT
1557798344210,0.94,WALKING
1557798344210,0.02,IN_VEHICLE
1557798344210,0.02,STILL
1557798344210,0.02,UNKNOWN
1557798361300,0.87,ON_FOOT
1557798361300,0.87,WALKING
1557798361300,0.03,IN_VEHICLE
1557798361300,0.03,STILL
1557798361300,0.02,RUNNING
1557798361300,0.01,ON_BICYCLE
1557798361300,0.01,UNKNOWN
1557798378438,0.4,UNKNOWN
1557798378438,0.1,IN_VEHICLE
1557798378438,0.1,ON_BICYCLE
1557798378438,0.1,ON_FOOT
1557798378438,0.1,WALKING
1557798378438,0.1,RUNNING
1557798378438,0.1,STILL
1557798394342,0.4,UNKNOWN
1557798394342,0.1,IN_VEHICLE
1557798394342,0.1,ON_BICYCLE
1557798394342,0.1,ON_FOOT
1557798394342,0.1,WALKING
1557798394342,0.1,RUNNING
1557798394342,0.1,STILL
1557798410362,0.4,UNKNOWN
1557798410362,0.1,IN_VEHICLE
1557798410362,0.1,ON_BICYCLE
1557798410362,0.1,ON_FOOT
1557798410362,0.1,WALKING
1557798410362,0.1,RUNNING
