timestamp,altitude,longitude,latitude,speed,accuracy
1557797964186,80.9000015259,127.3580254,36.3674836,0.0,15.116
1557797971330,78.1999969482,127.3580433,36.3675354,0.0,15.108
1557797987476,78.0999984741,127.3580089,36.3674972,0.0,15.64
1557797995426,74.4000015259,127.3581354,36.3674949,0.0,19.439
1557798001225,74.4000015259,127.358251,36.3673813,0.0,14.455
1557798010395,74.4000015259,127.3582756,36.3673387,0.0,15.864
1557798017218,74.5,127.3583251,36.3672904,0.0,14.881
1557798032682,74.4000015259,127.3584183,36.367161,0.0,16.269
1557798038408,74.4000015259,127.3585217,36.3671515,0.0,15.241
1557798052245,80.9000015259,127.3586428,36.3671003,0.0,37.265
1557798067442,81.3000030518,127.3585644,36.3671063,0.0,23.68
1557798072594,0.0,127.3586623,36.3670633,0.0,27.627
1557798088251,80.6999969482,127.3586096,36.3669405,0.0,33.196
1557798098360,0.0,127.359077,36.3666811,0.0,89.756
1557798103410,74.3000030518,127.3596693,36.3665203,0.0,97.844
1557798106483,74.3000030518,127.3597117,36.3663993,0.0,72.267
1557798113607,0.0,127.3608999,36.3662975,0.0,50.154
1557798118675,74.5,127.3611591,36.3662874,0.0,30.971
1557798133983,0.0,127.3615716,36.3664923,0.0,17.195
1557798136839,73.6999969482,127.3614836,36.3665174,0.0,16.675
1557798144246,73.6999969482,127.3615658,36.3664754,0.0,32.338
1557798149259,73.6999969482,127.3620324,36.3664955,0.0,19.488
1557798154238,73.6999969482,127.361985,36.3663841,0.0,31.947
1557798159254,73.1999969482,127.3621588,36.3665603,0.0,30.303
1557798164269,73.1999969482,127.3620763,36.366389,0.0,32.247
1557798174293,0.0,127.3624717,36.3658635,0.0,46.834
1557798184325,0.0,127.3623462,36.3661278,0.0,89.146
1557798189330,89.6999969482,127.3616971,36.3662308,0.0,30.226
1557798194354,0.0,127.3617818,36.3662456,0.0,44.865
1557798209758,0.0,127.3617564,36.3662899,0.0,103.541
1557798212658,0.0,127.3610055,36.3657244,0.0,73.227
1557798219473,106.300003052,127.3625792,36.3649749,0.0,70.722
1557798224489,0.0,127.3641644,36.3641379,0.0,65.509
1557798227376,0.0,127.3655885,36.3634386,0.0,54.426
1557798234520,0.0,127.3645218,36.3642439,0.0,69.571
1557798239571,0.0,127.3639553,36.3646716,0.0,82.161
1557798242454,0.0,127.3596097,36.3653797,0.0,65.209
1557798249652,69.3000030518,127.3629142,36.365728,0.0,69.672
1557798254701,69.3000030518,127.3655462,36.3670007,0.0,53.541
1557798257584,69.3000030518,127.3667503,36.3674748,0.0,44.793
1557798264787,0.0,127.3666575,36.3659697,0.0,67.17
1557798268534,0.0,127.3666181,36.3653316,0.0,79.107
1557798273563,0.0,127.366589,36.3648596,0.0,96.585
1557798279924,69.3000030518,127.3670339,36.3674731,0.0,34.607
1557798284980,71.5999984741,127.3670352,36.3677183,0.0,30.826
1557798290020,0.0,127.3674745,36.3677883,0.0,29.169
1557798295030,93.8000030518,127.3670048,36.367828,0.0,30.554
1557798300042,75.8000030518,127.3673295,36.3678686,0.0,32.634
1557798310097,84.1999969482,127.3669986,36.3678871,0.0,38.918
1557798315147,0.0,127.367288,36.3679151,0.0,19.389
1557798320190,71.0,127.3671526,36.3679804,0.0,34.444
1557798326783,0.0,127.3670809,36.3680193,0.0,32.573
1557798340376,75.5,127.3670552,36.3679732,0.0,19.746
1557798351429,75.5999984741,127.366998,36.3679706,0.0,14.997
1557798428444,89.3000030518,127.3670511,36.3680148,0.0,15.32
1557798433127,89.4000015259,127.3670185,36.3679757,0.0,13.976
1557798438191,89.5,127.3670531,36.3680115,0.0,13.336
1557798518152,89.4000015259,127.3670676,36.3680383,0.0,11.882
1557800149220,89.3000030518,127.3669097,36.3678411,0.0,15.524
1557800182047,89.3000030518,127.36691,36.3678413,0.0,13.161
1557800517494,89.4000015259,127.3670356,36.3679867,0.0,14.782
1557800548193,89.4000015259,127.3670517,36.3680293,0.0,14.577
1557800624168,89.3000030518,127.3670689,36.3680231,0.0,14.132
1557801159195,89.4000015259,127.3670273,36.3679852,0.0,13.292
1557801243028,75.4000015259,127.3669515,36.3679089,0.0,15.518
1557801257283,81.893371049,127.3670402,36.3678103,0.82477546,7.889
1557801261282,74.2219866826,127.3669885,36.3677931,0.0,9.739
1557801262999,72.9476494476,127.3669242,36.3678015,1.033921,8.54
1557801266999,69.456972659,127.36686,36.3677955,0.0,7.719
1557801289999,64.1124697967,127.3667914,36.3677613,2.5166435,5.782
1557801291999,63.5377199587,127.3667308,36.3677247,2.5698185,4.853
1557801293999,63.5817650588,127.3666881,36.3676853,2.5649986,4.71
1557801295999,62.7389506917,127.3666672,36.3676375,2.5995286,4.677
1557801297999,62.6311056735,127.3666531,36.3675858,2.6794543,4.529
1557801299999,62.8973995126,127.3666146,36.3675367,2.7556694,4.607
1557801301999,63.6391731786,127.3665734,36.3674877,2.7850003,4.478
1557801303999,63.5415320168,127.366532,36.3674448,2.7422867,4.639
1557801305999,63.2338510209,127.3664852,36.3674148,2.7123098,4.683
1557801307999,63.9665350562,127.3664404,36.3673843,2.7019112,4.525
1557801309999,63.981615792,127.3663916,36.3673551,2.7226615,4.493
1557801311999,63.7729579192,127.3663262,36.3673246,2.8273354,4.488
1557801313999,62.9227829479,127.3662608,36.3672882,2.9336698,4.704
1557801315999,63.6572269533,127.3661845,36.3672522,3.1023016,4.706
1557801317999,63.6293763508,127.3661086,36.3672162,3.226266,4.789
1557801319999,63.8147497963,127.3660346,36.3671824,3.344566,4.579
