timestamp,DistanceToday,TotalDistance,MotionType,Pace,Speed
1557459368051,44628,5259572,IDLE,0,0
1557459369033,44628,5259572,IDLE,0,0
1557459370038,44628,5259572,IDLE,0,0
1557459371062,44628,5259572,IDLE,0,0
1557459372059,44628,5259572,IDLE,0,0
1557459373060,44628,5259572,IDLE,0,0
1557459374088,44628,5259572,IDLE,0,0
1557459375064,44628,5259572,IDLE,0,0
1557459376154,44628,5259572,IDLE,0,0
1557459377087,44628,5259572,IDLE,0,0
1557459378100,44628,5259572,IDLE,0,0
1557459379098,44628,5259572,IDLE,0,0
1557459380112,44628,5259572,IDLE,0,0
1557459381124,44628,5259572,IDLE,0,0
1557459382121,44628,5259572,IDLE,0,0
1557459383135,44628,5259572,IDLE,0,0
1557459384153,44628,5259572,IDLE,0,0
1557459385145,44628,5259572,IDLE,0,0
1557459386160,44628,5259572,IDLE,0,0
1557459387183,44628,5259572,IDLE,0,0
1557459388169,44628,5259572,IDLE,0,0
1557459389176,44628,5259572,IDLE,0,0
1557459390186,44628,5259572,IDLE,0,0
1557459391223,44628,5259572,IDLE,0,0
1557459392218,44628,5259572,IDLE,0,0
1557459393231,44628,5259572,IDLE,0,0
1557459394228,44628,5259572,IDLE,0,0
1557459395228,44628,5259572,IDLE,0,0
1557459396248,44628,5259572,IDLE,0,0
1557459397262,44628,5259572,IDLE,0,0
1557459398249,44628,5259572,IDLE,0,0
1557459399252,44628,5259572,IDLE,0,0
1557459400282,44628,5259572,IDLE,0,0
1557459401299,44628,5259572,IDLE,0,0
1557459402332,44628,5259572,IDLE,0,0
1557459403291,44628,5259572,IDLE,0,0
1557459404318,44628,5259572,IDLE,0,0
1557459405329,44628,5259572,IDLE,0,0
1557459406309,44628,5259572,IDLE,0,0
1557459407328,44628,5259572,IDLE,0,0
1557459408360,44628,5259572,IDLE,0,0
1557459409338,44628,5259572,IDLE,0,0
1557459410356,44628,5259572,IDLE,0,0
1557459411368,44628,5259572,IDLE,0,0
1557459412354,44628,5259572,IDLE,0,0
1557459413388,44628,5259572,IDLE,0,0
1557459414387,44628,5259572,IDLE,0,0
1557459415386,44628,5259572,IDLE,0,0
1557459416423,44628,5259572,IDLE,0,0
1557459417396,44628,5259572,IDLE,0,0
1557459418411,44628,5259572,IDLE,0,0
1557459419472,44628,5259572,IDLE,0,0
1557459420430,44628,5259572,IDLE,0,0
1557459421444,44628,5259572,IDLE,0,0
1557459422448,44628,5259572,IDLE,0,0
1557459423463,44628,5259572,IDLE,0,0
1557459424480,44628,5259572,IDLE,0,0
1557459425486,44628,5259572,IDLE,0,0
1557459426501,44628,5259572,IDLE,0,0
1557459427475,44628,5259572,IDLE,0,0
1557459428487,44628,5259572,IDLE,0,0
1557459429511,44628,5259572,IDLE,0,0
1557459430532,44628,5259572,IDLE,0,0
1557459431539,44628,5259572,IDLE,0,0
1557459432519,44628,5259572,IDLE,0,0
1557459433556,44628,5259572,IDLE,0,0
1557459434547,44628,5259572,IDLE,0,0
1557459435564,44628,5259572,IDLE,0,0
1557459436579,44628,5259572,IDLE,0,0
1557459437569,44628,5259572,IDLE,0,0
1557459438566,44628,5259572,IDLE,0,0
1557459439586,44628,5259572,IDLE,0,0
1557459440598,44628,5259572,IDLE,0,0
1557459441601,44628,5259572,IDLE,0,0
1557459442623,44628,5259572,IDLE,0,0
1557459443623,44628,5259572,IDLE,0,0
1557459444624,44628,5259572,IDLE,0,0
1557459445661,44628,5259572,IDLE,0,0
1557459446633,44628,5259572,IDLE,0,0
1557459447666,44628,5259572,IDLE,0,0
1557459448726,44628,5259572,IDLE,0,0
1557459449655,44628,5259572,IDLE,0,0
1557459450676,44628,5259572,IDLE,0,0
1557459451702,44628,5259572,IDLE,0,0
1557459452692,44628,5259572,IDLE,0,0
1557459453704,44628,5259572,IDLE,0,0
1557459454721,44628,5259572,IDLE,0,0
1557459455733,44628,5259572,IDLE,0,0
1557459456732,44628,5259572,IDLE,0,0
1557459457759,44628,5259572,IDLE,0,0
1557459458744,44628,5259572,IDLE,0,0
1557459459763,44628,5259572,IDLE,0,0
1557459460779,44628,5259572,IDLE,0,0
1557459461771,44628,5259572,IDLE,0,0
1557459462783,44628,5259572,IDLE,0,0
1557459463783,44628,5259572,IDLE,0,0
1557459464814,44628,5259572,IDLE,0,0
1557459465802,44628,5259572,IDLE,0,0
1557459466805,44628,5259572,IDLE,0,0
1557459467817,44628,5259572,IDLE,0,0
1557459468842,44628,5259572,IDLE,0,0
1557459469840,44628,5259572,IDLE,0,0
1557459470854,44628,5259572,IDLE,0,0
1557459471867,44628,5259572,IDLE,0,0
1557459472853,44628,5259572,IDLE,0,0
1557459473877,44628,5259572,IDLE,0,0
1557459474881,44628,5259572,IDLE,0,0
1557459475886,44628,5259572,IDLE,0,0
1557459476886,44628,5259572,IDLE,0,0
1557459477936,44628,5259572,IDLE,0,0
1557459478919,44628,5259572,IDLE,0,0
1557459479919,44628,5259572,IDLE,0,0
