timestamp,TotalSteps,StepsToday
1557365426559,68176,0
1557365427580,68176,0
1557365428614,68176,0
1557365429620,68176,0
1557365430609,68176,0
1557365431618,68176,0
1557365432613,68176,0
1557365433649,68176,0
1557365434634,68176,0
1557365435644,68176,0
1557365436664,68176,0
1557365437681,68176,0
1557365438671,68176,0
1557365439697,68176,0
1557365440685,68176,0
1557365441695,68176,0
1557365442695,68176,0
1557365443731,68176,0
1557365444708,68176,0
1557365445722,68176,0
1557365446745,68176,0
1557365447739,68176,0
1557365448772,68176,0
1557365449766,68176,0
1557365450768,68176,0
1557365451780,68176,0
1557365452787,68176,0
1557365453785,68176,0
1557365454812,68176,0
1557365455828,68176,0
1557365456824,68176,0
1557365457817,68176,0
1557365458852,68176,0
1557365459851,68176,0
1557365460865,68176,0
1557365461889,68176,0
1557365462864,68176,0
1557365463877,68176,0
1557365464910,68176,0
1557365465922,68176,0
1557365466906,68176,0
1557365467920,68176,0
1557365468949,68176,0
1557365469921,68176,0
1557365470955,68176,0
1557365471998,68176,0
1557365472960,68176,0
1557365473991,68176,0
1557365474979,68176,0
1557365475987,68176,0
1557365477010,68176,0
1557365478036,68176,0
1557365479007,68176,0
1557365480017,68176,0
1557365481023,68176,0
1557365482046,68176,0
1557365483035,68176,0
1557365484070,68176,0
1557365485068,68176,0
1557365486056,68176,0
1557365487076,68176,0
1557365488091,68176,0
1557365489079,68176,0
1557365490114,68176,0
1557365491124,68176,0
1557365492098,68176,0
1557365493114,68176,0
1557365494130,68176,0
1557365495139,68176,0
1557365496166,68176,0
1557365497160,68176,0
1557365498175,68176,0
1557365499175,68176,0
1557365500182,68176,0
1557365501204,68176,0
1557365502214,68176,0
1557365503195,68176,0
1557365504206,68176,0
1557365505229,68176,0
1557365506272,68176,0
1557365507255,68176,0
1557365508255,68176,0
1557365509256,68176,0
1557365510293,68176,0
1557365511264,68176,0
1557365512278,68176,0
1557365513292,68176,0
1557365514308,68176,0
1557365515331,68176,0
1557365516345,68176,0
1557365517332,68176,0
1557365518350,68176,0
1557365519344,68176,0
1557365520337,68176,0
1557365521355,68176,0
1557365522377,68176,0
1557365523360,68176,0
1557365524372,68176,0
1557365525408,68176,0
1557365526405,68176,0
1557365527419,68176,0
1557365528408,68176,0
1557365529455,68176,0
1557365530433,68176,0
1557365531429,68176,0
1557365532442,68176,0
1557365533471,68176,0
1557365534476,68176,0
1557365535483,68176,0
1557365536481,68176,0
1557365537498,68176,0
1557365538497,68176,0
1557365539515,68176,0
1557365540559,68176,0
1557365541543,68176,0
1557365542550,68176,0
1557365543550,68176,0
1557365544549,68176,0
1557365545565,68176,0
1557365546572,68176,0
1557365547567,68176,0
1557365548577,68176,0
1557365549621,68176,0
1557365550590,68176,0
1557365551607,68176,0
1557365552630,68176,0
1557365553645,68176,0
1557365554631,68176,0
1557365555648,68176,0
1557365556667,68176,0
1557365557657,68176,0
1557365558656,68176,0
1557365559667,68176,0
1557365560681,68176,0
1557365561698,68176,0
1557365562689,68176,0
1557365563717,68176,0
1557365564715,68176,0
1557365565719,68176,0
1557365566729,68176,0
1557365567752,68176,0
1557365568749,68176,0
1557365569761,68176,0
1557365570773,68176,0
1557365571801,68176,0
1557365572778,68176,0
1557365573785,68176,0
1557365574790,68176,0
1557365575808,68176,0
1557365576826,68176,0
1557365577837,68176,0
1557365578835,68176,0
1557365579843,68176,0
1557365580856,68176,0
1557365581853,68176,0
1557365582865,68176,0
1557365583880,68176,0
1557365584894,68176,0
1557365585891,68176,0
1557365586901,68176,0
1557365587915,68176,0
1557365588912,68176,0
1557365589938,68176,0
1557365590936,68176,0
1557365591948,68176,0
1557365592946,68176,0
1557365593961,68176,0
1557365594965,68176,0
1557365595978,68176,0
1557365596973,68176,0
1557365598007,68176,0
1557365599027,68176,0
1557365600009,68176,0
1557365601023,68176,0
1557365602035,68176,0
1557365603037,68176,0
1557365604027,68176,0
1557365605055,68176,0
1557365606101,68176,0
1557365607050,68176,0
1557365608064,68176,0
1557365609090,68176,0
1557365610097,68176,0
1557365611090,68176,0
1557365612103,68176,0
1557365613115,68176,0
1557365614126,68176,0
1557365615140,68176,0
1557365616128,68176,0
1557365617147,68176,0
1557365618173,68176,0
1557365619165,68176,0
1557365620179,68176,0
1557365621181,68176,0
1557365622192,68176,0
1557365623213,68176,0
1557365624211,68176,0
1557365625221,68176,0
1557365626224,68176,0
1557365627227,68176,0
1557365628240,68176,0
1557365629252,68176,0
1557365630265,68176,0
1557365631257,68176,0
1557365632265,68176,0
1557365633264,68176,0
1557365634286,68176,0
1557365635310,68176,0
1557365636318,68176,0
1557365637315,68176,0
1557365638329,68176,0
1557365639337,68176,0
1557365640335,68176,0
1557365641341,68176,0
1557365642359,68176,0
1557365643357,68176,0
1557365644378,68176,0
1557365645371,68176,0
1557365646440,68176,0
1557365647374,68176,0
1557365648394,68176,0
1557365649409,68176,0
1557365650432,68176,0
1557365651424,68176,0
1557365652427,68176,0
1557365653452,68176,0
1557365654467,68176,0
1557365655461,68176,0
1557365656458,68176,0
1557365657494,68176,0
1557365658480,68176,0
1557365659496,68176,0
1557365660493,68176,0
1557365661512,68176,0
1557365662528,68176,0
1557365663515,68176,0
1557365664537,68176,0
1557365665553,68176,0
1557365666541,68176,0
1557365667566,68176,0
1557365668580,68176,0
1557365669568,68176,0
1557365670567,68176,0
1557365671656,68176,0
1557365672593,68176,0
1557365673604,68176,0
1557365674617,68176,0
1557365675617,68176,0
1557365676629,68176,0
1557365677656,68176,0
1557365678658,68176,0
1557365679653,68176,0
1557365680649,68176,0
1557365681659,68176,0
1557365682677,68176,0
1557365683693,68176,0
1557365684715,68176,0
1557365685714,68176,0
1557365686710,68176,0
1557365687713,68176,0
1557365688712,68176,0
1557365689731,68176,0
1557365690744,68176,0
1557365691754,68176,0
1557365692760,68176,0
1557365693776,68176,0
1557365694771,68176,0
1557365695773,68176,0
1557365696780,68176,0
1557365697796,68176,0
1557365698798,68176,0
1557365699824,68176,0
1557365700829,68176,0
1557365701834,68176,0
1557365702831,68176,0
1557365703841,68176,0
1557365704856,68176,0
1557365705847,68176,0
1557365706863,68176,0
1557365707879,68176,0
1557365708887,68176,0
1557365709912,68176,0
1557365710891,68176,0
1557365711911,68176,0
1557365712910,68176,0
1557365713928,68176,0
1557365714979,68176,0
1557365715953,68176,0
1557365716967,68176,0
1557365717961,68176,0
1557365718959,68176,0
1557365719965,68176,0
1557365720983,68176,0
1557365721991,68176,0
1557365723010,68176,0
1557365724010,68176,0
1557365725008,68176,0
1557365726031,68176,0
1557365727044,68176,0
1557365728059,68176,0
1557365729056,68176,0
1557365730054,68176,0
1557365731066,68176,0
1557365732068,68176,0
1557365733072,68176,0
1557365734083,68176,0
1557365735106,68176,0
1557365736103,68176,0
1557365737150,68176,0
1557365738137,68176,0
1557365739154,68176,0
1557365740163,68176,0
1557365741156,68176,0
1557365742162,68176,0
1557365743157,68176,0
1557365744162,68176,0
1557365745192,68176,0
1557365746192,68176,0
1557365747197,68176,0
1557365748205,68176,0
1557365749221,68176,0
1557365750218,68176,0
1557365751217,68176,0
1557365752246,68176,0
1557365753249,68176,0
1557365754252,68176,0
1557365755250,68176,0
1557365756278,68176,0
1557365757299,68176,0
1557365758296,68176,0
1557365759293,68176,0
1557365760305,68176,0
1557365761316,68176,0
1557365762313,68176,0
1557365763324,68176,0
1557365764334,68176,0
1557365765365,68176,0
1557365766360,68176,0
1557365767371,68176,0
1557365768356,68176,0
1557365769388,68176,0
1557365770394,68176,0
1557365771408,68176,0
1557365772401,68176,0
1557365773403,68176,0
1557365774415,68176,0
1557365775420,68176,0
1557365776458,68176,0
1557365777435,68176,0
1557365778446,68176,0
1557365779463,68176,0
1557365780457,68176,0
1557365781472,68176,0
1557365782496,68176,0
1557365783509,68176,0
1557365784493,68176,0
1557365785498,68176,0
1557365786512,68176,0
1557365787545,68176,0
1557365788544,68176,0
1557365789559,68176,0
1557365790552,68176,0
1557365791546,68176,0
1557365792554,68176,0
1557365793566,68176,0
1557365794596,68176,0
