timestamp,CaloriesToday,Calories
1557459367927,669,14596
1557459368914,669,14596
1557459369930,669,14596
1557459370975,669,14596
1557459371993,669,14596
1557459373024,669,14596
1557459374055,669,14596
1557459375063,669,14596
1557459376154,669,14596
1557459377120,669,14596
1557459378165,669,14596
1557459379284,669,14596
1557459380173,669,14596
1557459381195,669,14596
1557459382225,669,14596
1557459383275,669,14596
1557459384267,669,14596
1557459385310,669,14596
1557459386318,669,14596
1557459387347,669,14596
1557459388372,669,14596
1557459389447,669,14596
1557459390413,669,14596
1557459391451,669,14596
1557459392447,669,14596
1557459393481,669,14596
1557459394518,669,14596
1557459395541,669,14596
1557459396556,669,14596
1557459397632,669,14596
1557459398638,669,14596
1557459399635,669,14596
1557459400663,669,14596
1557459401691,669,14596
1557459402702,669,14596
1557459403756,669,14596
1557459404789,669,14596
1557459405818,669,14596
1557459406801,669,14596
1557459407820,669,14596
1557459408853,669,14596
1557459409864,669,14596
1557459410891,669,14596
1557459411917,670,14596
1557459412978,670,14596
1557459413975,670,14596
1557459414980,670,14596
1557459416022,670,14596
1557459417055,670,14596
1557459418067,670,14597
1557459419112,670,14597
1557459420130,670,14597
1557459421142,670,14597
1557459422157,670,14597
1557459423180,670,14597
1557459424204,670,14597
1557459425217,670,14597
1557459426266,670,14597
1557459427283,670,14597
1557459428339,670,14597
1557459429338,670,14597
1557459430355,670,14597
1557459431377,670,14597
1557459432430,670,14597
1557459433432,670,14597
1557459434470,670,14597
1557459435474,670,14597
1557459436497,670,14597
1557459437538,670,14597
1557459438562,670,14597
1557459439583,670,14597
1557459440598,670,14597
1557459441633,670,14597
1557459442639,670,14597
1557459443680,670,14597
1557459444704,670,14597
1557459445725,670,14597
1557459446755,670,14597
1557459447783,670,14597
1557459448792,670,14597
1557459449807,670,14597
1557459450855,670,14597
1557459451846,670,14597
1557459452896,670,14597
1557459453972,670,14597
1557459454933,670,14597
1557459455960,670,14597
1557459456977,670,14597
1557459458009,670,14597
1557459459038,670,14597
1557459460070,670,14597
1557459461090,670,14597
1557459462094,670,14597
1557459463143,670,14597
1557459464159,670,14597
1557459465185,670,14597
1557459466269,670,14597
1557459467222,670,14597
1557459468265,670,14597
1557459469300,670,14597
1557459470310,670,14597
1557459471320,670,14597
1557459472353,671,14597
1557459473361,671,14597
1557459474404,671,14597
1557459475425,671,14598
1557459476428,671,14598
1557459477481,671,14598
1557459478495,671,14598
1557459479510,671,14598
1557459480572,671,14598
1557459481571,671,14598
1557459482573,671,14598
1557459483624,671,14598
1557459484641,671,14598
1557459485686,671,14598
1557459486687,671,14598
1557459487723,671,14598
1557459488744,671,14598
1557459489768,671,14598
1557459490777,671,14598
1557459491848,671,14598
1557459492829,671,14598
1557459493876,671,14598
1557459494889,671,14598
1557459495951,671,14598
1557459496968,671,14598
1557459497987,671,14598
1557459499016,671,14598
1557459500065,671,14598
1557459501019,671,14598
1557459502046,671,14598
1557459503101,671,14598
1557459504089,671,14598
1557459505144,671,14598
1557459506181,671,14598
1557459507169,672,14598
1557459508212,672,14598
1557459509241,672,14598
1557459510257,672,14598
1557459511289,672,14598
1557459512297,672,14598
1557459513315,672,14598
1557459514338,672,14598
1557459515385,672,14598
1557459516403,672,14598
1557459517433,672,14598
1557459518454,672,14598
1557459519470,672,14598
1557459520535,672,14598
1557459521530,672,14598
1557459522546,672,14598
1557459523568,672,14598
1557459524635,672,14598
1557459525614,672,14599
1557459526646,672,14599
1557459527674,672,14599
1557459528703,672,14599
1557459529752,672,14599
1557459530727,672,14599
1557459531853,672,14599
1557459532796,672,14599
1557459533803,672,14599
1557459534825,672,14599
1557459535847,672,14599
1557459536884,672,14599
1557459537907,672,14599
1557459538918,672,14599
1557459539954,672,14599
1557459540983,672,14599
1557459541998,672,14599
1557459543066,672,14599
1557459544046,672,14599
1557459545073,672,14599
1557459546098,672,14599
1557459547132,672,14599
1557459548159,672,14599
1557459549180,672,14599
1557459550279,672,14599
1557459551220,672,14599
1557459552250,672,14599
1557459553268,672,14599
1557459554351,672,14599
1557459555303,672,14599
1557459556333,672,14599
1557459557380,672,14599
1557459558435,672,14599
1557459559415,672,14599
1557459560433,672,14599
1557459561538,672,14599
1557459562480,672,14599
1557459563514,672,14599
1557459564587,673,14599
1557459565565,673,14599
1557459566611,673,14599
1557459567615,673,14599
1557459568642,673,14599
1557459569671,673,14599
1557459570682,673,14599
1557459571766,673,14599
1557459572719,673,14599
1557459573799,673,14599
1557459574780,673,14599
1557459575903,673,14599
1557459576851,673,14599
1557459577893,673,14599
1557459578876,673,14599
1557459579930,673,14599
1557459580922,673,14599
1557459581971,673,14599
1557459582999,673,14600
1557459584007,673,14600
1557459585026,673,14600
1557459586068,673,14600
1557459587115,673,14600
1557459588099,673,14600
1557459589193,673,14600
1557459590192,673,14600
1557459591203,673,14600
1557459592212,673,14600
1557459593214,673,14600
1557459594257,673,14600
1557459595264,673,14600
1557459596278,673,14600
1557459597305,673,14600
1557459598356,673,14600
1557459599370,673,14600
1557459600419,673,14600
1557459601460,673,14600
1557459602451,673,14600
1557459603478,673,14600
1557459604495,673,14600
1557459605507,673,14600
1557459606556,673,14600
1557459607571,673,14600
1557459608651,673,14600
1557459609609,673,14600
1557459610683,673,14600
1557459611650,673,14600
1557459612721,673,14600
1557459613705,673,14600
1557459614743,673,14600
1557459615790,673,14600
1557459616790,673,14600
1557459617811,673,14600
1557459618827,673,14600
