timestamp,confidence,type
1557708047750,0.97,STILL
1557708047750,0.01,IN_VEHICLE
1557708047750,0.01,ON_FOOT
1557708047750,0.01,WALKING
1557708047750,0.01,UNKNOWN
1557708071884,1.0,STILL
1557710096502,1.0,STILL
1557710357912,1.0,STILL
1557710361374,1.0,STILL
1557710374038,1.0,STILL
1557710384597,1.0,STILL
1557710451577,1.0,TILTING
1557710505762,0.4,UNKNOWN
1557710505762,0.1,IN_VEHICLE
1557710505762,0.1,ON_BICYCLE
1557710505762,0.1,ON_FOOT
1557710505762,0.1,WALKING
1557710505762,0.1,RUNNING
1557710505762,0.1,STILL
1557710531165,0.4,UNKNOWN
1557710531165,0.1,IN_VEHICLE
1557710531165,0.1,ON_BICYCLE
1557710531165,0.1,ON_FOOT
1557710531165,0.1,WALKING
1557710531165,0.1,RUNNING
1557710531165,0.1,STILL
1557710555816,0.4,UNKNOWN
1557710555816,0.1,IN_VEHICLE
1557710555816,0.1,ON_BICYCLE
1557710555816,0.1,ON_FOOT
1557710555816,0.1,WALKING
1557710555816,0.1,RUNNING
1557710555816,0.1,STILL
1557710571204,0.4,UNKNOWN
1557710571204,0.1,IN_VEHICLE
1557710571204,0.1,ON_BICYCLE
1557710571204,0.1,ON_FOOT
1557710571204,0.1,WALKING
1557710571204,0.1,RUNNING
1557710571204,0.1,STILL
1557710585803,0.86,ON_FOOT
1557710585803,0.86,WALKING
1557710585803,0.04,IN_VEHICLE
1557710585803,0.03,RUNNING
1557710585803,0.02,ON_BICYCLE
1557710585803,0.02,UNKNOWN
1557710604513,0.92,ON_FOOT
1557710604513,0.92,WALKING
1557710604513,0.03,IN_VEHICLE
1557710604513,0.02,RUNNING
1557710604513,0.01,ON_BICYCLE
1557710604513,0.01,UNKNOWN
1557710619613,0.88,ON_FOOT
1557710619613,0.88,WALKING
1557710619613,0.03,IN_VEHICLE
1557710619613,0.03,UNKNOWN
1557710619613,0.01,ON_BICYCLE
1557710619613,0.01,RUNNING
