timestamp,Temperature
1557798583999,31.3199996948
1557798592357,31.6499996185
1557798622441,31.9799995422
1557798652542,32.2400016785
1557798682606,32.4799995422
1557798712690,32.7099990845
1557798742774,32.9099998474
1557798772860,33.0999984741
1557798802949,33.2599983215
1557798833016,33.4300003052
1557798863099,33.5800018311
1557798893181,33.7000007629
1557798923264,33.7999992371
1557798953387,33.9300003052
1557798983426,34.0499992371
1557799013510,34.1500015259
1557799043591,34.2299995422
1557799073673,34.2900009155
1557799103756,34.3699989319
1557799133852,34.4500007629
1557799163923,34.5
1557799194004,34.5400009155
1557799224116,34.5900001526
1557799254165,34.6599998474
1557799284249,34.7099990845
1557799314329,34.75
1557799344414,34.7900009155
1557799374497,34.8100013733
1557799404577,34.8499984741
1557799434666,34.8899993896
1557799464742,34.9099998474
1557799494827,34.9199981689
1557799524906,34.9599990845
1557799554986,34.9900016785
1557799585069,35.0099983215
1557799615153,35.0400009155
1557799645239,35.0499992371
1557799675315,35.0800018311
1557799705395,35.0900001526
1557799735480,35.1399993896
1557799765562,35.1399993896
1557799795658,35.1699981689
1557799825732,35.1899986267
1557799855809,35.2099990845
1557799885893,35.2299995422
1557799915973,35.2200012207
1557799946056,35.2400016785
1557799976137,35.2099990845
1557800006220,35.2099990845
1557800036314,35.1899986267
1557800066385,35.2099990845
1557800096511,35.2400016785
1557800530166,34.25
1557800547599,34.3499984741
1557800577658,34.4599990845
1557800607729,34.5299987793
1557800637798,34.5800018311
1557800667891,34.5900001526
1557800697979,34.6199989319
1557800728044,34.6699981689
1557800758134,34.6899986267
1557800788232,34.6899986267
1557800818390,34.3100013733
1557800848380,34.1899986267
1557800878450,34.0999984741
1557800908533,34.0400009155
1557800938622,33.9599990845
1557800968698,33.8899993896
1557800998777,33.8300018311
1557801028856,33.8100013733
1557801058958,33.7599983215
1557801089027,33.7400016785
1557801119117,33.7200012207
1557801149198,33.7200012207
1557801179276,33.7000007629
1557801209359,33.6100006104
1557801239432,33.5600013733
1557801269524,33.4599990845
1557801299613,33.4300003052
1557801329710,33.4700012207
1557801359782,33.6300010681
1557801389857,33.7000007629
1557801419965,33.7200012207
1557801450022,33.7599983215
1557801480102,33.6699981689
1557801510182,33.4700012207
1557801540267,33.5099983215
1557801570345,33.3499984741
1557801600416,33.2700004578
1557801630508,33.2000007629
1557801660588,33.1100006104
1557801690662,33.0600013733
1557801720770,33.0200004578
1557801750826,32.9799995422
1557801780919,32.9099998474
1557801811065,32.8699989319
1557801841083,32.7599983215
1557801871152,32.6899986267
1557801901287,32.7099990845
1557801931315,32.6699981689
1557801961414,32.6699981689
1557801991612,32.6199989319
1557802021577,32.5800018311
1557802051657,32.5400009155
1557802081727,32.5
1557802111807,32.4900016785
1557802141890,32.4099998474
1557802171993,32.3800010681
1557802202054,32.4000015259
1557802232142,32.3600006104
1557802262220,32.2900009155
1557802292296,32.2299995422
1557802322401,32.25
1557802352483,32.1899986267
1557802382547,32.2099990845
1557802412654,32.1399993896
1557802442709,32.1300010681
1557802472799,32.0999984741
1557802502891,32.1199989319
1557802532967,32.3199996948
1557802563048,32.5
1557802593175,32.5999984741
1557802623202,32.5900001526
1557802653324,32.5600013733
1557802683368,32.6300010681
1557802713466,32.6699981689
1557802743531,32.6300010681
1557802773616,32.5800018311
1557802803704,32.7099990845
1557802833794,32.8600006104
1557802863864,32.7999992371
1557802893954,32.7999992371
1557802924036,32.8899993896
1557802954117,32.8699989319
1557802984183,32.7099990845
1557803014283,32.8100013733
1557803044348,32.8899993896
1557803074439,32.9099998474
1557803104534,32.8499984741
1557803134611,32.8800010681
1557803164698,32.7799987793
1557803194758,32.6399993896
1557803224861,32.6300010681
1557803254936,32.75
1557803285011,32.6699981689
1557803315104,32.4900016785
1557803345188,32.4000015259
1557803375251,32.3199996948
1557803405333,32.2700004578
1557803435428,32.25
1557803465511,32.3199996948
1557803495617,32.2200012207
1557803525668,32.25
1557803555773,32.2099990845
1557803585829,32.1599998474
1557803615907,32.0999984741
1557803646023,32.0299987793
1557803676079,32.0400009155
1557803706170,32.0099983215
1557803736252,32
1557803766330,31.9599990845
1557803796398,31.9899997711
1557803826500,32.0200004578
1557803856561,32.0699996948
1557803886659,32.0400009155
1557803916741,32.0499992371
1557803946823,32.0499992371
1557803976889,32.1199989319
1557804006970,32.1500015259
1557804037069,32.1300010681
1557804067156,32.1199989319
1557804097235,32.1300010681
1557804127311,32.1199989319
1557804157382,32.1399993896
1557804187475,32.5600013733
1557804217562,32.5800018311
1557804247629,32.6199989319
1557804277726,32.6300010681
1557804307792,32.6500015259
1557804337884,32.7099990845
1557804367960,32.7599983215
