timestamp,rxKiloBytes,txKiloBytes,duration
1557546266488,144,42,15000
1557546281874,65,25,15000
1557546296890,127,7406,15000
1557546311903,2061,6021,15000
1557546326928,3494,12034,15000
1557546341947,1558,10549,15000
1557546356966,2603,10548,15000
1557546372009,1131,10193,15000
1557546387061,263,18410,15000
1557546627441,0,0,15000
1557546642476,272,33,15000
1557546657514,11,8,15000
1557546672560,75,4447,15000
1557546687614,0,0,15000
1557546702646,94,35,15000
1557546717678,17,10,15000
1557546732720,31,7,15000
1557546747743,653,37,15000
1557546762761,4304,31,15000
1557546777780,3239,21,15000
1557546792807,3310,19,15000
1557546807851,3536,49,15000
1557546822883,2100,14,15000
1557546837900,2187,7,15000
1557546852919,1851,12,15000
1557546867941,2659,30,15000
1557546882970,2277,52,15000
1557546898009,1859,12,15000
1557546913038,100,3,15000
1557546928069,391,45,15000
1557546943088,23,12,15000
1557546958124,9,4,15000
1557546973164,52,9,15000
1557546988178,2235,42,15000
1557547003194,695,15,15000
1557547018210,3151,40,15000
1557547033226,1025,6,15000
1557547048246,2197,12,15000
1557547063260,1157,4,15000
1557547078277,2016,13,15000
1557547093293,1964,8,15000
1557547108310,1188,5,15000
1557547123328,1855,9,15000
1557547138349,987,3,15000
1557547153364,1198,6,15000
1557547168378,2115,8,15000
1557547183394,1164,4,15000
1557547198411,2327,16,15000
1557547213430,966,7,15000
1557547228459,1592,42,15000
1557547243497,2326,83,15000
1557547258516,3812,83,15000
1557547273535,24,26,15000
1557547288552,2,1,15000
1557547303579,1,1,15000
1557547318608,1,1,15000
1557547363708,3,1,15000
1557547378754,0,0,15000
1557547393818,0,0,15000
1557547408881,0,0,15000
1557547423925,0,0,15000
1557547438966,0,0,15000
1557547454009,2,4,15000
1557547469051,70,20,15000
1557548270544,95,43,15000
1557548435750,2035,85,15000
1557548450772,922,57,15000
1557548465798,2970,4526,15000
1557548480814,3103,17,15000
1557548495845,3065,13,15000
1557548510881,3302,15,15000
1557548525932,3231,15,15000
1557548540973,3283,25,15000
1557548556021,3204,17,15000
1557548571062,3173,10,15000
1557548586099,1291,9,15000
1557548601128,507,4,15000
1557548616170,0,0,15000
1557548631212,0,2,15000
1557548646264,49,4,15000
1557548661299,5,4,15000
1557548676319,41,16,15000
1557548691361,7,4,15000
1557548706390,63,11,15000
1557548721403,1773,64,15000
1557548736419,596,23,15000
1557548751441,660,82,15000
1557548766459,386,38,15000
1557548781481,3540,51,15000
1557548796502,3265,17,15000
1557548811521,3299,17,15000
1557548826538,2446,23,15000
1557548934935,69,27,15000
1557549793692,1170,55,15000
1557549905621,0,0,15000
1557549920673,7,8,15000
1557549935704,0,0,15000
1557551417688,60,37,15000
1557551432717,3,3,15000
1557551447739,332,62,15000
1557551462760,338,64,15000
1557551477776,46,20,15000
1557551492797,1,1,15000
1557551507813,771,53,15000
1557551522834,414,37,15000
1557552703288,0,0,15000
1557552718311,0,0,15000
1557552733346,0,0,15000
1557552748376,0,0,15000
1557552763401,8,5,15000
1557552778419,528,76,15000
1557554078763,43,14,15000
1557554093781,9,2,15000
1557556151542,25,6,15000
1557556166586,124,55,15000
1557556181605,79,37,15000
1557556196630,1,3,15000
1557556527115,1,1,15000
1557557619845,76,33,15000
1557557635238,36,89,15000
1557557650288,7,8,15000
1557557665324,29,10,15000
1557558290236,67,23,15000
1557558819348,1,1,15000
1557558834391,0,0,15000
1557558849420,2,4,15000
1557561298732,454,35,15000
1557561467533,162,29,15000
1557561918585,83,18,15000
1557561933632,249,47,15000
1557561949120,33,21,15000
1557561964156,209,66,15000
1557561979522,313,4379,15000
1557561994906,193,553,15000
1557562009936,1023,1387,15000
1557562025282,680,24,15000
1557562040629,1044,59,15000
1557562055817,209,11,15000
1557562070860,85,14,15000
1557562086042,0,0,15000
1557562101061,0,0,15000
1557562116086,284,52,15000
1557562131582,50,31,15000
1557562146915,1,1,15000
1557562161938,49,18,15000
1557562177295,54,20,15000
1557562192338,3,1,15000
1557562207371,375,24,15000
1557562222393,7058,383,15000
1557562237491,10,4,15000
1557562252538,1011,121,15000
1557562268053,76,29,15000
1557562283425,2411,99,15000
1557562298919,157,33,15000
1557562314277,688,55,15000
1557562329773,278,71,15000
1557562345140,288,79,15000
1557562360541,964,25,15000
1557562375975,136,59,15000
1557562391301,15,15,15000
1557562406800,46,20,15000
1557562422022,10,5,15000
1557562437055,1708,99,15000
1557562799155,117,22,15000
1557562814504,1,1,15000
1557562829542,6,4,15000
1557562844568,14,6,15000
1557562859622,7,3,15000
1557562874688,0,0,15000
1557562889733,7,2,15000
1557562904764,0,0,15000
1557562919811,45,22,15000
1557562934873,0,0,15000
1557562949903,0,0,15000
1557562964949,2,2,15000
1557563085850,156,22,15000
1557563101240,780,106,15000
1557563116320,5,1,15000
1557563131364,62,8,15000
1557563146398,31,13,15000
1557563161421,478,126,15000
1557563176777,14,16,15000
1557563191798,1,4,15000
1557563298386,69,32,15000
1557563313847,15,9,15000
1557563329353,101,10,15000
1557563813803,36,12,15000
1557563829238,5,1,15000
1557563844278,1,0,15000
1557563859326,59,27,15000
1557563874762,61,29,15000
1557563890236,41,26,15000
1557563905301,1,1,15000
1557563920553,2,2,15000
1557563936647,68,31,15000
1557563952578,1,0,15000
1557563967948,2,1,15000
1557564419248,30,6,15000
1557564434309,0,0,15000
1557564449350,3,1,15000
1557569650956,116,49,15000
1557569666460,149,20,15000
1557569682220,445,39,15000
1557570215089,7,4,15000
1557570230175,475,57,15000
1557570246415,8,2,15000
1557570263033,8,4,15000
1557570278819,105,30,15000
1557570294199,81,19,15000
1557570309575,4,3,15000
1557570324624,3001,104,15000
1557570340765,29,30,15000
1557570356216,1,0,15000
1557570371250,1,0,15000
1557570386279,1404,58,15000
1557570447033,3,3,15000
1557570462465,1,0,15000
1557570477514,29,10,15000
1557570492877,63,36,15000
1557570721485,6,2,15000
1557570736818,98,4,15000
1557570751844,2,2,15000
1557570872915,0,0,15000
1557571204979,1,1,15000
1557571448193,89,47,15000
1557571463535,4041,319,15000
1557571478931,856,24,15000
1557572782577,151,43,15000
1557573377113,4,0,15000
1557573392169,342,59,15000
1557573407228,86,40,15000
1557573422263,1,0,15000
1557573437299,3,1,15000
1557573452335,2,2,15000
1557573467355,107,16,15000
1557573482379,156,358,15000
1557573527439,34,11,15000
1557573542496,0,0,15000
1557573707778,3,30,15000
1557573722792,4,2,15000
1557575931226,0,1,15000
1557575946240,0,1,15000
1557578830693,50,33,15000
1557579356473,25,8,15000
1557581387207,1583,118,15000
1557582844304,52,19,15000
1557583114681,52,7,15000
1557583204796,3,1,15000
1557583219834,65,33,15000
1557583385086,1,0,15000
1557583400131,1,0,15000
1557583415155,10,3,15000
1557583430167,48,36,15000
1557583445192,2773,388,15000
1557583497298,227,33,15000
1557583512372,1038,77,15000
1557583527402,202,17,15000
1557583706269,25,11,15000
1557583721299,0,0,15000
1557583736331,0,0,15000
1557583886495,258,83,15000
1557583901533,54,30,15000
1557583916608,0,0,15000
1557583931657,0,0,15000
1557583946704,0,0,15000
1557583961747,61,26,15000
1557584309989,1,2,15000
1557584325058,2,5,15000
1557584340103,6,2,15000
1557584355127,2,3,15000
1557584370166,3,4,15000
1557584385196,76,90,15000
1557584400238,52,56,15000
1557584415285,53,21,15000
1557584430311,468,87,15000
1557584445330,3648,106,15000
1557584460345,497,86,15000
1557584475377,1257,84,15000
