timestamp,transitionType
1557112540598,EXIT_STILL
1557112540598,ENTER_WALKING
1557112593280,EXIT_WALKING
1557112593280,ENTER_STILL
1557120428221,EXIT_STILL
1557120428221,ENTER_WALKING
1557120501683,EXIT_WALKING
1557120501683,ENTER_IN_VEHICLE
1557120757254,EXIT_IN_VEHICLE
1557120757254,ENTER_WALKING
1557120888420,EXIT_WALKING
1557120888420,ENTER_ON_BICYCLE
1557120933876,EXIT_ON_BICYCLE
1557120933876,ENTER_WALKING
1557120965375,EXIT_WALKING
1557120965375,ENTER_STILL
1557123797257,EXIT_STILL
1557123797257,ENTER_WALKING
1557123805954,EXIT_WALKING
1557123805954,ENTER_STILL
1557125465997,EXIT_STILL
1557125465997,ENTER_WALKING
1557125554827,EXIT_WALKING
1557125554827,ENTER_STILL
1557123797257,EXIT_STILL
1557123797257,ENTER_WALKING
1557123805954,EXIT_WALKING
1557123805954,ENTER_STILL
1557125465997,EXIT_STILL
1557125465997,ENTER_WALKING
1557125554827,EXIT_WALKING
1557125554827,ENTER_STILL
1557126285725,EXIT_STILL
1557126285725,ENTER_WALKING
1557126327928,EXIT_WALKING
1557126327928,ENTER_STILL
1557131040577,EXIT_STILL
1557131040577,ENTER_WALKING
1557131187852,EXIT_WALKING
1557131187852,ENTER_STILL
1557132889853,EXIT_STILL
1557132889853,ENTER_WALKING
1557132904830,EXIT_WALKING
1557132904830,ENTER_STILL
1557133025191,EXIT_STILL
1557133025191,ENTER_WALKING
1557133113214,EXIT_WALKING
1557133113214,ENTER_IN_VEHICLE
1557133848240,EXIT_IN_VEHICLE
1557133848240,ENTER_WALKING
1557133974195,EXIT_WALKING
1557133974195,ENTER_STILL
1557133992337,EXIT_STILL
1557133992337,ENTER_WALKING
1557134575325,EXIT_WALKING
1557134575325,ENTER_STILL
1557134606697,EXIT_STILL
1557134606697,ENTER_WALKING
1557134705225,EXIT_WALKING
1557134705225,ENTER_STILL
1557134792057,EXIT_STILL
1557134792057,ENTER_RUNNING
1557134835949,EXIT_RUNNING
1557134835949,ENTER_STILL
1557134924988,EXIT_STILL
1557134924988,ENTER_WALKING
1557135039915,EXIT_WALKING
1557135039915,ENTER_STILL
1557135079217,EXIT_STILL
1557135079217,ENTER_IN_VEHICLE
1557135661219,EXIT_IN_VEHICLE
1557135661219,ENTER_WALKING
1557135773253,EXIT_WALKING
1557135773253,ENTER_STILL
1557139283306,EXIT_STILL
