timestamp,Interval
1557544571438,1.095072
1557544572415,0.978928
1557544573416,0.945744
1557544574245,0.879376
1557544575188,0.945744
1557544576089,0.91256
1557544577012,0.91256
1557544577838,0.8296
1557544578663,0.8296
1557544579513,0.8296
1557544580363,0.862784
1557544581213,0.846192
1557544582066,0.862784
1557544583094,0.895968
1557544583888,0.91256
1557544584838,0.945744
1557544585769,0.929152
1557544586763,0.99552
1557544587719,0.962336
1557544588845,1.128256
1557544589796,0.945744
1557544590714,0.91256
1557544591114,0.4148
1557544591239,0.116144
1557544591264,0.033184
1557544591700,0.4148
1557544592164,0.481168
1557544593195,0.978928
1557544594091,0.945744
1557544594288,0.182512
1557544595315,0.962336
1557544596146,0.895968
1557544596364,0.215696
1557544596714,0.365024
1557544596889,0.16592
1557544597216,0.33184
1557544597289,0.066368
1557544597323,0.033184
1557544598217,0.8296
1557544598297,0.099552
1557544598742,0.49776
1557544599089,0.348432
1557544599239,0.149328
1557544599339,0.099552
1557544599613,0.265472
1557544600014,0.398208
1557544600139,0.132736
1557544600414,0.265472
1557544600513,0.099552
1557544601291,0.779824
1557544602064,0.779824
1557544603107,0.962336
1557544603480,0.398208
1557544604121,0.680272
1557544605155,1.028704
1557544606239,1.095072
1557544607089,0.846192
1557544607820,0.74664
1557544608638,0.813008
1557544609547,0.91256
1557544610419,0.862784
1557544611292,0.879376
1557544611564,0.265472
1557544611739,0.182512
1557544612439,0.696864
1557544612620,0.16592
1557544613306,0.613904
1557544613486,0.215696
1557544613794,0.348432
1557544614514,0.730048
1557544615188,0.680272
1557544616363,1.16144
1557544617164,0.813008
1557544618190,0.99552
1557544619138,0.945744
1557544619564,0.4148
1557544619989,0.4148
1557544620342,0.33184
1557544621168,0.862784
1557544622362,1.194624
1557544623213,0.846192
1557544624338,1.128256
1557544625289,0.945744
1557544626814,1.526464
1557544627670,0.846192
1557544628514,0.846192
1557544628939,0.4148
1557544628970,0.033184
1557544629538,0.58072
1557544630339,0.796416
1557544631314,0.962336
1557544632189,0.879376
1557544633289,1.111664
1557544634266,0.962336
1557544635064,0.813008
1557544635989,0.91256
1557544636945,0.929152
1557544637780,0.846192
1557544637923,0.149328
1557544638694,0.779824
1557544639589,0.879376
1557544640489,0.895968
1557544641244,0.779824
1557544642089,0.846192
1557544642940,0.846192
1557544643764,0.8296
1557544644566,0.796416
1557544645414,0.846192
1557544646364,0.945744
1557544647220,0.862784
1557544647888,0.66368
1557544648696,0.813008
1557544649438,0.74664
1557544650249,0.796416
1557544651089,0.846192
1557544651891,0.796416
1557544652640,0.763232
1557544653439,0.779824
1557544654217,0.779824
1557544655045,0.8296
1557544655971,0.91256
1557544656744,0.796416
1557544657539,0.796416
1557544658388,0.846192
1557544659238,0.846192
1557544660054,0.813008
1557544660795,0.730048
1557544661520,0.730048
1557544662265,0.74664
1557544663014,0.763232
1557544663764,0.730048
1557544664518,0.763232
1557544665214,0.696864
1557544665988,0.763232
1557544666915,0.929152
1557544667715,0.813008
1557544668500,0.763232
1557544669388,0.91256
1557544670163,0.763232
1557544670963,0.796416
1557544671664,0.713456
1557544672413,0.730048
1557544673139,0.696864
1557544673549,0.4148
1557544673938,0.381616
1557544674113,0.182512
1557544674440,0.33184
1557544674714,0.265472
1557544674867,0.149328
1557544675188,0.33184
1557544675489,0.298656
1557544675673,0.16592
1557544675965,0.298656
1557544676263,0.298656
1557544676413,0.16592
1557544676698,0.282064
1557544677163,0.464576
1557544677461,0.298656
1557544677915,0.447984
1557544678544,0.630496
1557544679213,0.66368
1557544679739,0.514352
1557544680412,0.696864
1557544682113,1.692384
1557544682913,0.796416
1557544683688,0.779824
1557544683890,0.199104
1557544684813,0.895968
1557544685269,0.464576
1557544685363,0.099552
1557544686168,0.796416
1557544686963,0.796416
1557544687764,0.796416
1557544688488,0.730048
1557544688788,0.298656
1557544689013,0.215696
1557544689044,0.033184
1557544689263,0.215696
1557544689513,0.265472
1557544689787,0.265472
1557544690722,0.929152
1557544692059,0.779824
1557544692313,0.813008
1557544693088,0.779824
1557544693929,0.8296
1557544694714,0.779824
1557544695462,0.763232
1557544696305,0.779824
1557544697125,0.796416
1557544697818,0.779824
1557544698937,1.111664
1557544699788,0.846192
1557544700588,0.813008
1557544701464,0.862784
1557544702413,0.962336
1557544703138,0.713456
1557544703697,0.547536
1557544704413,0.730048
1557544704663,0.24888
1557544705288,0.630496
1557544705988,0.696864
1557544706664,0.66368
1557544707263,0.597312
1557544707914,0.66368
1557544708369,0.447984
1557544708438,0.08296
1557544708688,0.24888
1557544709169,0.481168
1557544709918,0.74664
1557544710699,0.779824
1557544711513,0.796416
1557544712243,0.74664
1557544712588,0.348432
1557544712639,0.033184
1557544713070,0.431392
1557544713641,0.564128
1557544714345,0.713456
1557544715388,1.045296
1557544716188,0.813008
1557544716813,0.613904
1557544717438,0.613904
1557544718163,0.74664
1557544718863,0.680272
1557544719564,0.696864
1557544720464,0.91256
1557544721388,0.929152
1557544721713,0.315248
1557544721888,0.182512
1557544722538,0.647088
1557544722589,0.049776
1557544722644,0.049776
1557544722688,0.049776
1557544722719,0.033184
1557544723069,0.348432
1557544723119,0.049776
1557544723518,0.398208
1557544724113,0.58072
1557544724195,0.099552
1557544724514,0.298656
1557544724819,0.315248
1557544724994,0.16592
1557544725263,0.282064
1557544725615,0.348432
1557544726738,0.978928
1557544727379,0.647088
1557544728063,0.66368
1557544729088,1.028704
1557544729838,0.763232
1557544730574,0.730048
1557544731313,0.730048
1557544731838,0.530944
1557544732363,0.514352
1557544732813,0.447984
1557544733113,0.315248
1557544733300,0.182512
1557544733588,0.282064
1557544733888,0.315248
1557544734038,0.149328
1557544734668,0.630496
1557544734838,0.149328
1557544735138,0.315248
1557544735613,0.464576
1557544737188,0.696864
1557544737863,0.680272
1557544738513,0.647088
1557544739064,0.547536
1557544739663,0.597312
1557544740308,0.630496
1557544740944,0.647088
1557544741850,0.91256
1557544742845,0.99552
1557544743513,0.66368
1557544744114,0.613904
1557544744764,0.630496
1557544745788,1.028704
1557544746938,1.16144
1557544747828,0.879376
1557544748488,0.66368
1557544749313,0.8296
1557544750295,0.962336
1557544751113,0.8296
1557544751888,0.763232
1557544752713,0.846192
1557544753588,0.862784
1557544754413,0.8296
1557544755213,0.796416
1557544756237,1.028704
1557544757063,0.813008
1557544757818,0.763232
1557544758594,0.779824
1557544759588,0.99552
1557544760339,0.74664
1557544761088,0.74664
1557544761813,0.730048
1557544762638,0.813008
1557544763438,0.813008
1557544764363,0.91256
1557544765237,0.879376
1557544766113,0.879376
1557544767066,0.91256
1557544767948,0.91256
1557544768840,0.895968
1557544769789,0.945744
1557544770763,0.962336
1557544771719,0.962336
1557544772788,1.061888
1557544773688,0.91256
1557544774819,1.128256
1557544775743,0.929152
1557544776643,0.895968
1557544777513,0.879376
1557544778413,0.895968
1557544779243,0.813008
1557544779988,0.763232
1557544780838,0.8296
1557544781697,0.862784
1557544782575,0.879376
1557544783438,0.862784
1557544784293,0.862784
1557544785214,0.91256
1557544786118,0.91256
1557544787038,0.91256
1557544787946,0.895968
1557544788866,0.929152
1557544789815,0.962336
1557544790813,0.99552
1557544791813,0.978928
1557544792788,0.99552
1557544793748,0.945744
1557544794663,0.929152
1557544795567,0.895968
1557544796438,0.862784
1557544797298,0.846192
1557544798018,0.74664
1557544798819,0.796416
1557544799713,0.879376
1557544800638,0.91256
1557544801568,0.945744
1557544802513,0.945744
1557544803488,0.978928
1557544804463,0.962336
1557544805394,0.945744
1557544806337,0.945744
1557544807268,0.929152
1557544808238,0.962336
1557544809187,0.945744
1557544810137,0.945744
1557544811111,0.978928
1557544812118,0.99552
1557544813063,0.962336
1557544814062,0.99552
1557544815068,0.99552
1557544816068,1.012112
1557544817037,0.962336
1557544817963,0.895968
1557544818762,0.8296
1557544819539,0.763232
1557544820337,0.813008
1557544821112,0.763232
1557544821914,0.813008
1557544822746,0.813008
1557544823567,0.846192
1557544824437,0.862784
1557544825346,0.91256
1557544826319,0.962336
1557544827337,1.012112
1557544828318,0.978928
1557544829287,0.978928
1557544829913,0.630496
