timestamp,type
1557574627941,SCREEN_OFF
1557574690241,UNLOCK
1557574690431,SCREEN_ON
1557574698512,SCREEN_OFF
1557574752088,UNLOCK
1557574752334,SCREEN_ON
1557575080938,SCREEN_OFF
1557575087505,SCREEN_ON
1557575182711,SCREEN_OFF
1557575350058,UNLOCK
1557575350289,SCREEN_ON
1557575374454,SCREEN_OFF
1557575377464,UNLOCK
1557575377686,SCREEN_ON
1557575395488,SCREEN_OFF
1557575407679,UNLOCK
1557575407839,SCREEN_ON
1557575423116,SCREEN_OFF
1557575732103,SCREEN_ON
1557575732157,UNLOCK
1557575783190,SCREEN_OFF
1557576160449,UNLOCK
1557576160748,SCREEN_ON
1557576209511,SCREEN_OFF
1557577254123,UNLOCK
1557577254414,SCREEN_ON
1557577278055,SCREEN_OFF
1557577341481,UNLOCK
1557577341621,SCREEN_ON
1557577372218,SCREEN_OFF
1557577404394,UNLOCK
1557577404603,SCREEN_ON
1557577422049,SCREEN_OFF
1557578241735,UNLOCK
1557578241999,SCREEN_ON
1557578378996,SCREEN_OFF
1557578418495,UNLOCK
1557578418682,SCREEN_ON
1557578445130,SCREEN_OFF
1557578489884,UNLOCK
1557578490145,SCREEN_ON
1557578590967,SCREEN_OFF
1557578679461,UNLOCK
1557578679603,SCREEN_ON
1557578700144,SCREEN_OFF
1557578844446,UNLOCK
1557578844715,SCREEN_ON
1557579043544,SCREEN_OFF
1557579056555,UNLOCK
1557579056865,SCREEN_ON
1557579084989,SCREEN_OFF
1557579125421,UNLOCK
1557579125561,SCREEN_ON
1557579188032,SCREEN_OFF
1557579349269,UNLOCK
1557579349459,SCREEN_ON
1557579414206,SCREEN_OFF
1557579436867,SCREEN_ON
1557579473103,SCREEN_OFF
1557579493541,UNLOCK
1557579493859,SCREEN_ON
1557579538972,SCREEN_OFF
1557579549232,UNLOCK
1557579549382,SCREEN_ON
1557579603620,SCREEN_OFF
1557579825263,UNLOCK
1557579825479,SCREEN_ON
1557579901491,SCREEN_OFF
1557580201762,UNLOCK
1557580201985,SCREEN_ON
1557580757786,SCREEN_OFF
1557580786846,UNLOCK
1557580787134,SCREEN_ON
1557581232562,SCREEN_OFF
1557581392478,UNLOCK
1557581392806,SCREEN_ON
1557581416525,SCREEN_OFF
1557581477466,UNLOCK
1557581477801,SCREEN_ON
1557581487732,SCREEN_OFF
1557581894894,UNLOCK
1557581895161,SCREEN_ON
1557581898669,SCREEN_OFF
1557582374417,UNLOCK
1557582374512,SCREEN_ON
1557582398646,SCREEN_OFF
1557582490430,UNLOCK
1557582490650,SCREEN_ON
1557582502848,SCREEN_OFF
1557582832408,UNLOCK
1557582832738,SCREEN_ON
1557582842602,SCREEN_OFF
1557583796528,UNLOCK
1557583796826,SCREEN_ON
1557583829295,SCREEN_OFF
1557584216383,UNLOCK
1557584216617,SCREEN_ON
1557584225310,SCREEN_OFF
1557585113442,UNLOCK
1557585113828,SCREEN_ON
1557585128630,SCREEN_OFF
1557585210461,UNLOCK
1557585210694,SCREEN_ON
1557585243783,SCREEN_OFF
1557585316669,UNLOCK
1557585316816,SCREEN_ON
1557585356033,SCREEN_OFF
1557585832207,UNLOCK
1557585832409,SCREEN_ON
1557585866686,SCREEN_OFF
1557586661430,UNLOCK
1557586661858,SCREEN_ON
1557586672141,SCREEN_OFF
1557588437397,UNLOCK
1557588437946,SCREEN_ON
1557588504107,SCREEN_OFF
1557591709497,UNLOCK
1557591709636,SCREEN_ON
1557591722771,SCREEN_OFF
1557591797527,POWER_CONNECTED
1557591797947,SCREEN_ON
1557591809073,SCREEN_OFF
1557595091327,POWER_DISCONNECTED
1557595091707,SCREEN_ON
1557595095968,UNLOCK
1557599218618,POWER_CONNECTED
1557599224058,SCREEN_OFF
1557599224380,UNLOCK
1557599224793,SCREEN_ON
1557599240739,SCREEN_OFF
1557614293053,SCREEN_ON
1557614313878,SCREEN_OFF
1557532802142,SCREEN_ON
1557532805740,POWER_DISCONNECTED
1557532810542,UNLOCK
1557532829767,SCREEN_OFF
1557536294200,SCREEN_ON
1557536304990,SCREEN_OFF
1557538483185,SCREEN_ON
1557538494231,SCREEN_OFF
1557541101580,SCREEN_ON
1557541101680,UNLOCK
1557541769565,SCREEN_OFF
1557541882537,SCREEN_ON
1557541885920,UNLOCK
1557542222259,SCREEN_OFF
1557542253364,UNLOCK
1557542253714,SCREEN_ON
