timestamp,ssid,bssid,frequency,rssi
1557708596609,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-55
1557708596609,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-79
1557708596609,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-80
1557708596609,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-81
1557708596609,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-84
1557708604631,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-56
1557708604631,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-80
1557708604631,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-81
1557708604631,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-82
1557708604631,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-83
1557709206404,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-56
1557709206404,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-79
1557709206404,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-80
1557709214411,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-47
1557709214411,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-72
1557709214411,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-75
1557709214411,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-81
1557709214411,12:23:aa:5a:3d:0d,12:23:aa:5a:3d:0d,2457,-90
1557709214411,88:3c:1c:7b:a7:c7,88:3c:1c:7b:a7:c7,2427,-91
1557709214411,00:23:aa:5a:3d:0d,00:23:aa:5a:3d:0d,2457,-91
1557709217933,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-44
1557709217933,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-71
1557709217933,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-75
1557709217933,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-78
1557709217933,12:23:aa:5a:3d:0d,12:23:aa:5a:3d:0d,2457,-90
1557709217933,90:9f:33:4f:23:34,90:9f:33:4f:23:34,2412,-92
1557709230411,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-43
1557709230411,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-71
1557709230411,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-79
1557709230411,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-82
1557709230411,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-83
1557709230411,12:23:aa:5a:3d:0d,12:23:aa:5a:3d:0d,2457,-90
1557709263524,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-43
1557709263524,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-71
1557709263524,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-80
1557709263524,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-82
1557709263524,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-83
1557709304935,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-44
1557709312968,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-45
1557709312968,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-71
1557709312968,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-79
1557709312968,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-79
1557709312968,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-85
1557709312968,12:23:aa:5a:3d:0d,12:23:aa:5a:3d:0d,2457,-91
1557709312968,00:23:aa:5a:3d:0d,00:23:aa:5a:3d:0d,2457,-91
1557709320980,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-45
1557709320980,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-69
1557709320980,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-83
1557709320980,88:36:6c:81:21:72,88:36:6c:81:21:72,2467,-90
1557709320980,12:23:aa:5a:3d:0d,12:23:aa:5a:3d:0d,2457,-91
1557709324493,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-46
1557709324493,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-69
1557709324493,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-78
1557709324493,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-83
1557709324493,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-84
1557709336974,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-57
1557709336974,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-79
1557709336974,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-87
1557709336974,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-89
1557709383531,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-59
1557709383531,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-81
1557709383531,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-83
1557709383531,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-86
1557709448907,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-67
1557709448907,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-82
1557709448907,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-82
1557709448907,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-84
1557709475458,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-63
1557709475458,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-82
1557709475458,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-85
1557709475458,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-88
1557709475458,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-92
1557709576894,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-62
1557709576894,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-85
1557709576894,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-88
1557709607479,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-61
1557709607479,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-85
1557709708953,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-59
1557709836951,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-59
1557709907480,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-62
1557709907480,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-82
1557709907480,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-90
1557709983529,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-58
1557709983529,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-86
1557709983529,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-86
1557710116674,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-61
1557710116674,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-83
1557710116674,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-86
1557710116674,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-87
1557710116674,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-89
1557710207505,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-58
1557710207505,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-83
1557710207505,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-83
1557710207505,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-89
1557710253345,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-62
1557710253345,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-86
1557710253345,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-91
1557710385571,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-50
1557710385571,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-80
1557710385571,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-82
1557710385571,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-87
1557710385571,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-93
1557710393611,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-54
1557710393611,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-80
1557710393611,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-87
1557710393611,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-88
1557710405130,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-47
1557710405130,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-77
1557710405130,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-82
1557710405130,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-89
1557710405130,00:23:aa:5a:3d:0d,00:23:aa:5a:3d:0d,2457,-89
1557710405130,12:23:aa:5a:3d:0d,12:23:aa:5a:3d:0d,2457,-90
1557710418549,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-45
1557710418549,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-82
1557710418549,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-82
1557710418549,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-88
1557710418549,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-88
1557710502309,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-42
1557710502309,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-71
1557710502309,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-76
1557710502309,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-83
1557710502309,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-87
1557710502309,f0:b4:29:e8:e6:e6,f0:b4:29:e8:e6:e6,2437,-90
1557710510332,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-59
1557710510332,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-83
1557710521819,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-59
1557710521819,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-81
1557710521819,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-81
1557710521819,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-87
1557710521819,88:36:6c:81:21:72,88:36:6c:81:21:72,2467,-87
1557710526324,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-56
1557710526324,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-77
1557710526324,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-79
1557710526324,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-91
1557710567064,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-48
1557710567064,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-81
1557710567064,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-82
1557710593004,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-60
1557710593004,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-81
1557710593004,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-84
1557710593004,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-84
1557710600998,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-67
1557710600998,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-82
1557710600998,88:36:6c:68:dd:f6,88:36:6c:68:dd:f6,2412,-82
1557710600998,00:07:89:35:98:2e,00:07:89:35:98:2e,2422,-82
1557710600998,00:07:89:35:98:2f,00:07:89:35:98:2f,5180,-85
1557710600998,90:9f:33:4f:23:34,90:9f:33:4f:23:34,2412,-85
1557710611771,88:36:6c:68:dd:f6,88:36:6c:68:dd:f6,2412,-77
1557710611771,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-78
1557710611771,00:07:89:35:98:2f,00:07:89:35:98:2f,5180,-80
1557710611771,00:07:89:35:98:2e,00:07:89:35:98:2e,2422,-80
1557710611771,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-82
1557710611771,90:9f:33:4f:23:34,90:9f:33:4f:23:34,2412,-86
1557710611771,84:16:f9:e8:83:40,84:16:f9:e8:83:40,2417,-87
1557710621842,90:9f:33:4f:23:34,90:9f:33:4f:23:34,2412,-74
1557710621842,00:07:89:35:98:2e,00:07:89:35:98:2e,2422,-81
1557710675603,08:5d:dd:52:70:99,08:5d:dd:52:70:99,2462,-60
1557710675603,08:5d:dd:52:70:98,08:5d:dd:52:70:98,5220,-63
1557710675603,02:30:0d:56:cb:b7,02:30:0d:56:cb:b7,2472,-70
1557710675603,54:e0:32:d6:82:60,54:e0:32:d6:82:60,2447,-70
1557710675603,00:30:0d:56:cb:b7,00:30:0d:56:cb:b7,2472,-72
1557710675603,64:e5:99:e0:54:7a,64:e5:99:e0:54:7a,2462,-75
1557710675603,88:36:6c:30:24:c0,88:36:6c:30:24:c0,2447,-79
1557710675603,32:cd:a7:a4:00:d5,32:cd:a7:a4:00:d5,2462,-79
1557710675603,08:5d:dd:04:93:94,08:5d:dd:04:93:94,2422,-80
1557710675603,00:07:89:6e:b5:30,00:07:89:6e:b5:30,5745,-81
1557710675603,90:9f:33:6a:2b:86,90:9f:33:6a:2b:86,2452,-81
1557710675603,54:e0:32:d6:82:65,54:e0:32:d6:82:65,5805,-81
1557710675603,a0:8c:fd:56:0d:98,a0:8c:fd:56:0d:98,2437,-82
1557710675603,54:e0:32:d6:82:64,54:e0:32:d6:82:64,5805,-82
1557710675603,88:3c:1c:b4:64:1c,88:3c:1c:b4:64:1c,5785,-83
1557710675603,88:36:6c:a3:4c:60,88:36:6c:a3:4c:60,5745,-84
1557710675603,10:62:e5:b7:f1:db,10:62:e5:b7:f1:db,2442,-84
1557710675603,88:3c:1c:95:6c:e7,88:3c:1c:95:6c:e7,5805,-86
1557710675603,08:5d:dd:31:35:f3,08:5d:dd:31:35:f3,5220,-86
1557710675603,88:36:6c:65:57:7c,88:36:6c:65:57:7c,2427,-86
1557710675603,88:36:6c:43:ce:b4,88:36:6c:43:ce:b4,2412,-87
1557710675603,90:9f:33:b6:81:20,90:9f:33:b6:81:20,5745,-88
1557710675603,08:5d:dd:31:35:1c,08:5d:dd:31:35:1c,2457,-89
1557710675603,88:3c:1c:93:f4:17,88:3c:1c:93:f4:17,2417,-90
1557710675603,08:5d:dd:03:23:69,08:5d:dd:03:23:69,2437,-92
1557710675603,0a:5d:dd:62:8e:04,0a:5d:dd:62:8e:04,2432,-92
1557710688350,00:07:89:6e:b5:2f,00:07:89:6e:b5:2f,2432,-63
1557710688350,02:30:0d:56:cb:b7,02:30:0d:56:cb:b7,2472,-66
1557710688350,a0:8c:fd:56:0d:98,a0:8c:fd:56:0d:98,2437,-66
1557710688350,08:5d:dd:52:70:99,08:5d:dd:52:70:99,2462,-68
1557710688350,64:e5:99:e0:54:7a,64:e5:99:e0:54:7a,2462,-68
1557710688350,00:30:0d:56:cb:b7,00:30:0d:56:cb:b7,2472,-68
1557710688350,90:9f:33:6a:2b:86,90:9f:33:6a:2b:86,2452,-69
1557710688350,00:08:52:48:4c:14,00:08:52:48:4c:14,2452,-70
1557710688350,08:5d:dd:04:93:94,08:5d:dd:04:93:94,2422,-71
1557710688350,0a:5d:dd:04:93:94,0a:5d:dd:04:93:94,2422,-71
1557710688350,54:e0:32:d6:82:60,54:e0:32:d6:82:60,2447,-72
1557710688350,90:9f:33:b2:72:e4,90:9f:33:b2:72:e4,2412,-72
1557710688350,0a:5d:dd:04:59:77,0a:5d:dd:04:59:77,2412,-72
1557710688350,08:5d:dd:52:70:98,08:5d:dd:52:70:98,5220,-73
1557710688350,88:3c:1c:93:f4:17,88:3c:1c:93:f4:17,2417,-74
1557710688350,0a:5d:dd:03:a1:06,0a:5d:dd:03:a1:06,2412,-75
1557710688350,10:62:e5:b7:f1:db,10:62:e5:b7:f1:db,2442,-77
1557710688350,08:5d:dd:24:d9:c2,08:5d:dd:24:d9:c2,2417,-77
1557710688350,54:e0:32:d6:82:65,54:e0:32:d6:82:65,5805,-78
1557710688350,54:e0:32:d6:82:64,54:e0:32:d6:82:64,5805,-79
1557710688350,00:23:11:02:12:d9,00:23:11:02:12:d9,2467,-80
1557710688350,0a:5d:dd:03:23:69,0a:5d:dd:03:23:69,2437,-81
1557710688350,88:3c:1c:93:f4:16,88:3c:1c:93:f4:16,5180,-82
1557710688350,00:07:89:6e:b5:30,00:07:89:6e:b5:30,5745,-83
1557710688350,88:3c:1c:c0:51:57,88:3c:1c:c0:51:57,2447,-83
1557710688350,88:36:6c:43:ce:b4,88:36:6c:43:ce:b4,2412,-84
1557710688350,08:5d:dd:cb:d9:5d,08:5d:dd:cb:d9:5d,5180,-84
1557710688350,00:08:52:2e:58:86,00:08:52:2e:58:86,2452,-84
1557710688350,02:27:1c:47:ea:11,02:27:1c:47:ea:11,2462,-85
1557710688350,88:36:6c:18:33:10,88:36:6c:18:33:10,2472,-85
1557710688350,04:8d:38:6c:ae:46,04:8d:38:6c:ae:46,2442,-85
1557710688350,88:3c:1c:95:6c:e7,88:3c:1c:95:6c:e7,5805,-86
1557710688350,88:3c:1c:c0:51:56,88:3c:1c:c0:51:56,5200,-87
1557710688350,0a:5d:dd:31:35:f3,0a:5d:dd:31:35:f3,5220,-87
1557710688350,08:5d:dd:24:d9:c1,08:5d:dd:24:d9:c1,5745,-87
1557710688350,02:30:0d:bf:72:90,02:30:0d:bf:72:90,2412,-87
1557710688350,88:3c:1c:b4:64:1c,88:3c:1c:b4:64:1c,5785,-89
1557710688350,88:36:6c:a3:4c:60,88:36:6c:a3:4c:60,5745,-90
1557710698475,08:5d:dd:52:70:98,08:5d:dd:52:70:98,5220,-67
1557710698475,08:5d:dd:52:70:99,08:5d:dd:52:70:99,2462,-72
1557710698475,00:08:52:48:4c:14,00:08:52:48:4c:14,2452,-74
1557710698475,00:08:52:48:4c:16,00:08:52:48:4c:16,2452,-74
1557710698475,02:30:0d:56:cb:b7,02:30:0d:56:cb:b7,2472,-75
1557710698475,08:5d:dd:24:d9:c2,08:5d:dd:24:d9:c2,2417,-75
1557710698475,08:5d:dd:03:0d:c4,08:5d:dd:03:0d:c4,2442,-75
1557710698475,54:e0:32:d6:82:60,54:e0:32:d6:82:60,2447,-76
1557710698475,00:30:0d:56:cb:b7,00:30:0d:56:cb:b7,2472,-76
1557710698475,64:e5:99:e0:54:7a,64:e5:99:e0:54:7a,2462,-77
1557710698475,0a:5d:dd:03:0d:c4,0a:5d:dd:03:0d:c4,2442,-78
1557710698475,08:5d:dd:04:93:94,08:5d:dd:04:93:94,2422,-79
1557710698475,00:07:89:6e:b5:30,00:07:89:6e:b5:30,5745,-79
1557710698475,88:3c:1c:93:f4:17,88:3c:1c:93:f4:17,2417,-79
1557710698475,a0:8c:fd:56:0d:98,a0:8c:fd:56:0d:98,2437,-82
1557710698475,90:9f:33:6a:2b:86,90:9f:33:6a:2b:86,2452,-82
1557710698475,54:e0:32:d6:82:65,54:e0:32:d6:82:65,5805,-83
1557710698475,54:e0:32:d6:82:64,54:e0:32:d6:82:64,5805,-83
1557710698475,08:5d:dd:24:d9:c1,08:5d:dd:24:d9:c1,5745,-83
1557710698475,10:62:e5:b7:f1:db,10:62:e5:b7:f1:db,2442,-84
1557710698475,90:9f:33:b6:81:20,90:9f:33:b6:81:20,5745,-84
1557710698475,88:36:6c:c7:44:ca,88:36:6c:c7:44:ca,5745,-85
1557710698475,88:3c:1c:93:f4:16,88:3c:1c:93:f4:16,5180,-87
1557710698475,0a:5d:dd:31:35:f3,0a:5d:dd:31:35:f3,5220,-87
1557710698475,38:ff:36:1c:a4:38,38:ff:36:1c:a4:38,2422,-87
1557710698475,ac:84:c6:17:67:fe,ac:84:c6:17:67:fe,2417,-87
1557710698475,08:5d:dd:04:59:77,08:5d:dd:04:59:77,2412,-87
1557710698475,38:ff:36:5c:a4:38,38:ff:36:5c:a4:38,2422,-88
1557710698475,00:25:a6:be:5c:00,00:25:a6:be:5c:00,2412,-89
1557710698475,08:5d:dd:31:35:f8,08:5d:dd:31:35:f8,2447,-90
1557710698475,88:36:6c:43:ce:b4,88:36:6c:43:ce:b4,2412,-91
1557710698475,08:5d:dd:05:21:a0,08:5d:dd:05:21:a0,2432,-91
1557710698475,00:26:66:19:5b:2c,00:26:66:19:5b:2c,2462,-92
1557710708682,a0:8c:fd:56:0d:98,a0:8c:fd:56:0d:98,2437,-69
1557710708682,08:5d:dd:52:70:98,08:5d:dd:52:70:98,5220,-71
1557710708682,08:5d:dd:24:d9:c2,08:5d:dd:24:d9:c2,2417,-71
1557710708682,64:e5:99:e0:54:7a,64:e5:99:e0:54:7a,2462,-74
1557710708682,08:5d:dd:03:0d:c4,08:5d:dd:03:0d:c4,2442,-75
1557710708682,0a:5d:dd:03:a1:06,0a:5d:dd:03:a1:06,2412,-75
1557710708682,10:62:e5:b7:f1:db,10:62:e5:b7:f1:db,2442,-76
1557710708682,88:3c:1c:93:f4:17,88:3c:1c:93:f4:17,2417,-76
1557710708682,00:07:89:6e:b5:2f,00:07:89:6e:b5:2f,2432,-76
