timestamp,UVExposureToday,UVIndexLevel
1557794761423,0,NONE
1557794821442,0,NONE
1557794881442,0,NONE
1557794941429,0,NONE
1557795001442,0,NONE
1557795061443,0,NONE
1557795121443,0,LOW
1557795181462,0,LOW
1557795241442,0,LOW
1557795301544,0,NONE
1557795361506,0,LOW
1557795451724,0,LOW
1557795511727,0,NONE
1557795571723,0,LOW
1557795631724,0,NONE
1557795691723,0,NONE
1557795751723,0,NONE
1557795811723,0,NONE
1557795871724,0,NONE
1557795931725,0,NONE
1557795991726,0,NONE
1557796051722,0,NONE
1557796111722,0,NONE
1557796171723,0,NONE
1557796231728,0,NONE
1557796291723,0,NONE
1557796351722,0,NONE
1557796411723,0,NONE
1557796471726,0,NONE
1557796531722,0,NONE
1557796591723,0,NONE
1557796651722,0,NONE
1557796711724,0,LOW
1557796771722,0,NONE
1557796831818,0,NONE
1557796891725,0,NONE
1557796951727,0,NONE
1557797011722,0,NONE
1557797071723,0,NONE
1557797131721,0,NONE
1557797191722,0,NONE
1557797251725,0,NONE
1557797311746,0,NONE
1557797371746,0,NONE
1557797431730,0,NONE
1557797491745,0,NONE
1557797551744,0,NONE
1557797611726,0,NONE
1557797671745,0,NONE
1557797731759,0,NONE
1557797791746,0,NONE
1557797851744,0,NONE
1557797911789,0,NONE
1557797971743,0,NONE
1557798031742,0,NONE
1557798091743,0,NONE
1557798151744,0,NONE
1557798211742,0,NONE
1557798271742,0,NONE
1557798331742,0,NONE
1557798391743,0,NONE
1557798451743,0,NONE
1557798511743,0,NONE
1557798571743,0,NONE
1557798631742,0,NONE
1557798691742,0,NONE
1557798751742,0,NONE
1557798811741,0,NONE
1557798871742,0,NONE
1557798931741,0,NONE
1557798991741,0,NONE
1557799051742,0,NONE
1557799111746,0,NONE
1557799171740,0,NONE
1557799231740,0,NONE
1557799291741,0,NONE
1557799351748,0,NONE
1557799411745,0,NONE
1557799471740,0,NONE
1557799531740,0,NONE
1557799591739,0,NONE
1557799651738,0,NONE
1557799711739,0,NONE
1557799771746,0,NONE
1557799831762,0,NONE
1557799891741,0,NONE
1557799951743,0,NONE
1557800011743,0,NONE
1557800071743,0,NONE
1557800131762,0,NONE
1557800191763,0,NONE
1557800251762,0,NONE
1557800311762,0,NONE
1557800371762,0,NONE
1557800431761,0,NONE
1557800491761,0,NONE
1557800551760,0,NONE
1557800611760,0,NONE
1557800671759,0,NONE
1557800731760,0,NONE
1557800791759,0,NONE
1557800851759,0,NONE
1557800911759,0,NONE
1557800971759,0,NONE
1557801031759,0,NONE
1557801091759,0,NONE
1557801151759,0,NONE
1557801211758,0,NONE
1557801271759,0,NONE
1557801331758,0,NONE
1557801391757,0,NONE
1557801451766,0,NONE
1557801511759,0,NONE
1557801571770,0,NONE
1557801631776,0,NONE
1557801691761,0,NONE
1557801751771,0,NONE
1557801811756,0,NONE
1557801871838,0,NONE
1557801931758,0,NONE
1557801991757,0,NONE
1557802051762,0,NONE
1557802111757,0,LOW
1557802171757,1,LOW
1557802231756,1,LOW
1557802291782,1,LOW
1557802351783,1,LOW
1557802411757,1,NONE
1557802471781,1,NONE
1557802531762,1,NONE
1557802591780,1,NONE
1557802651781,1,NONE
1557802711781,1,NONE
1557802771763,1,NONE
1557802831780,1,NONE
1557802891779,1,LOW
1557802951780,1,NONE
1557803011781,1,NONE
1557803071779,1,NONE
1557803131779,1,NONE
1557803191786,1,NONE
1557803251781,1,NONE
1557803311778,1,NONE
1557803371778,1,NONE
1557803431778,1,NONE
1557803491778,1,NONE
1557803551794,1,NONE
1557803611777,1,NONE
1557803671777,1,NONE
1557803731777,1,NONE
1557803791777,1,NONE
1557803851782,1,NONE
1557803911776,1,NONE
1557803971776,1,NONE
1557804031777,1,NONE
1557804091774,1,NONE
1557804151774,1,NONE
1557804211775,1,NONE
1557804271773,1,NONE
1557804331773,1,NONE
1557804391779,1,NONE
1557804451775,1,NONE
1557804511774,1,NONE
1557804571773,1,NONE
1557804631779,1,NONE
1557804691784,1,NONE
1557804751772,1,NONE
1557804811772,1,NONE
1557804871778,1,NONE
1557804931772,1,LOW
1557804991797,1,LOW
1557805051778,1,LOW
1557805111797,1,LOW
1557805171776,1,LOW
1557805231795,2,LOW
1557805291777,2,NONE
1557805351775,2,NONE
1557805411795,2,NONE
1557805471793,2,NONE
1557805531794,2,NONE
1557805591874,2,NONE
1557805651794,2,NONE
1557805711800,2,NONE
1557805771793,2,NONE
1557805831793,2,NONE
1557805891793,2,NONE
1557805951793,2,NONE
1557806011793,2,NONE
1557806071797,2,NONE
1557806131791,2,NONE
1557806191793,2,NONE
1557806251792,2,NONE
1557806311792,2,NONE
1557806371792,2,NONE
1557806431800,2,NONE
1557806491799,2,NONE
1557806551794,2,NONE
1557806611794,2,NONE
1557806671794,2,NONE
1557806731795,2,NONE
1557806791794,2,NONE
1557806851794,2,NONE
1557806911794,2,NONE
1557806971794,2,NONE
1557807031793,2,NONE
1557807091793,2,NONE
1557807151798,2,NONE
1557807211799,2,NONE
1557807271795,2,NONE
1557807331797,2,NONE
1557807391791,2,NONE
1557807451796,2,NONE
1557807511802,2,NONE
1557807571815,2,NONE
1557807631814,2,NONE
1557807691797,2,NONE
1557807751814,2,NONE
1557807811797,2,NONE
1557807871813,2,NONE
1557807931813,2,NONE
1557807991813,2,NONE
1557808051812,2,NONE
1557808111811,2,NONE
1557808171812,2,NONE
1557808231811,2,NONE
1557808291811,2,NONE
1557808351820,2,NONE
1557808411810,2,NONE
1557808471810,2,NONE
1557808531810,2,NONE
1557808591808,2,NONE
1557808651808,2,NONE
1557808711808,2,NONE
1557808771814,2,NONE
1557808831808,2,NONE
1557808891818,2,NONE
1557808951821,2,NONE
1557809011807,2,NONE
1557809071814,2,NONE
1557809131806,2,NONE
1557809191811,2,NONE
1557809251808,2,NONE
1557809311807,2,NONE
1557809371805,2,NONE
1557809431804,2,NONE
1557809491843,2,NONE
1557809551827,2,NONE
1557809611828,2,NONE
1557809671828,2,NONE
1557809731807,2,NONE
1557809791826,2,NONE
1557809851829,2,NONE
1557809911827,2,NONE
1557809971808,2,NONE
1557810031808,2,NONE
1557810091824,2,NONE
1557810151825,2,NONE
1557812481334,2,NONE
1557812541334,2,NONE
1557812601335,2,NONE
1557812661334,2,NONE
1557812721363,2,NONE
1557812781339,2,NONE
1557812841333,2,NONE
1557812901332,2,NONE
1557812961332,2,NONE
1557813021332,2,NONE
1557813081331,2,NONE
1557813141331,2,NONE
1557813201331,2,NONE
1557813261330,2,NONE
1557813321335,2,NONE
1557813381334,2,NONE
1557813441335,2,NONE
1557813501336,2,NONE
1557813561329,2,NONE
1557813621328,2,NONE
1557813681328,2,NONE
1557813741327,2,NONE
1557813801333,2,NONE
1557813861326,2,NONE
1557813921356,2,NONE
1557813981333,2,NONE
1557814041343,2,NONE
1557814101338,2,NONE
1557814161350,2,NONE
1557814221350,2,NONE
1557814281349,2,NONE
1557814341349,2,NONE
1557814401337,2,NONE
1557814461349,2,NONE
1557814521340,2,NONE
1557814581349,2,NONE
1557814641349,2,NONE
1557814701358,2,NONE
1557814761348,2,NONE
1557814821349,2,NONE
1557815220677,2,NONE
1557815280677,2,NONE
1557815340678,2,NONE
1557815400676,2,NONE
1557815460682,2,NONE
1557815520676,2,NONE
1557815580676,2,NONE
1557815640675,2,NONE
1557815700674,2,NONE
1557815760684,2,NONE
1557815820674,2,NONE
1557815880674,2,NONE
1557815940674,2,NONE
1557816000672,2,NONE
1557816060673,2,NONE
1557816120687,2,NONE
1557816180681,2,NONE
1557816240671,2,NONE
1557816300673,2,NONE
1557816360671,2,NONE
1557816420672,2,NONE
1557816480683,2,NONE
1557816540677,2,NONE
1557816600696,2,NONE
1557816660696,2,NONE
1557816720673,2,NONE
1557816780685,2,NONE
1557816840695,2,NONE
1557816900693,2,NONE
1557816960694,2,NONE
1557817020694,2,NONE
