timestamp,CaloriesToday,Calories
1557449122174,741,13560
1557449123198,741,13560
1557449124222,741,13560
1557449125227,741,13560
1557449126272,741,13560
1557449127297,741,13560
1557449128297,741,13560
1557449129347,741,13560
1557449130373,741,13560
1557449131375,741,13560
1557449132400,741,13560
1557449133447,741,13560
1557449134463,741,13560
1557449135480,741,13560
1557449136506,741,13560
1557449137524,741,13560
1557449138573,741,13560
1557449139598,741,13560
1557449140597,741,13560
1557449141626,741,13560
1557449142673,741,13560
1557449143673,741,13560
1557449144699,741,13560
1557449145747,741,13560
1557449146749,741,13560
1557449147772,741,13560
1557449148798,741,13560
1557449149823,741,13560
1557449150847,741,13560
1557449151880,741,13560
1557449152898,741,13560
1557449153948,741,13560
1557449154950,741,13560
1557449155973,741,13560
1557449156999,741,13560
1557449158029,741,13560
1557449159048,741,13560
1557449160072,741,13560
1557449161123,741,13560
1557449162122,741,13561
1557449163150,741,13561
1557449164172,741,13561
1557449165198,741,13561
1557449166223,741,13561
1557449167248,741,13561
1557449168276,741,13561
1557449169297,741,13561
1557449170322,741,13561
1557449171374,741,13561
1557449172372,741,13561
1557449173398,741,13561
1557449174423,741,13561
1557449175450,741,13561
1557449176473,741,13561
1557449177498,741,13561
1557449178523,741,13561
1557449179549,741,13561
1557449180573,741,13561
1557449181598,741,13561
1557449182623,741,13561
1557449183648,741,13561
1557449184673,741,13561
1557449185723,742,13561
1557449186723,742,13561
1557449187749,742,13561
1557449188789,742,13561
1557449189803,742,13561
1557449190822,742,13561
1557449191849,742,13561
1557449192872,742,13561
1557449193897,742,13561
1557449195048,742,13561
1557449195962,742,13561
1557449197034,742,13561
1557449198049,742,13561
1557449199058,742,13561
1557449200049,742,13561
1557449201159,742,13562
1557449202072,742,13562
1557449203118,742,13562
1557449204147,742,13562
1557449205172,742,13562
1557449206240,742,13562
1557449207222,742,13562
1557449208247,742,13562
1557449209271,742,13562
1557449210273,742,13562
1557449211319,742,13562
1557449212347,742,13562
1557449213372,742,13562
1557449214376,742,13562
1557449215422,742,13562
1557449216447,742,13562
1557449217447,742,13562
1557449218475,742,13562
1557449219523,742,13562
1557449220536,742,13562
1557449221547,742,13562
1557449222596,742,13562
1557449223621,742,13562
1557449224623,743,13562
1557449225646,743,13562
1557449226673,743,13562
1557449227699,743,13562
1557449228728,743,13562
1557449229748,743,13562
1557449230839,743,13562
1557449231822,743,13562
1557449232822,743,13562
1557449233847,743,13562
1557449234879,743,13562
1557449235944,743,13562
1557449236923,743,13562
1557449237948,743,13562
1557449238972,743,13562
1557449239998,743,13562
1557449241038,743,13562
1557449242047,743,13562
1557449243065,743,13562
1557449244098,743,13562
1557449245122,743,13563
1557449246244,743,13563
1557449247171,743,13563
1557449248196,743,13563
1557449249223,743,13563
1557449250248,743,13563
1557449251271,743,13563
1557449252297,743,13563
1557449253321,743,13563
1557449254347,743,13563
1557449255380,743,13563
1557449256399,743,13563
1557449257421,743,13563
1557449258446,743,13563
1557449259471,743,13563
1557449260496,743,13563
1557449261522,743,13563
1557449262548,743,13563
1557449263546,743,13563
1557449264574,743,13563
1557449265622,743,13563
1557449266621,744,13563
1557449267648,744,13563
1557449268678,744,13563
1557449269698,744,13563
1557449270728,744,13563
1557449271748,744,13563
1557449272773,744,13563
1557449273797,744,13563
1557449274823,744,13563
1557449275848,744,13563
1557449276873,744,13563
1557449277904,744,13563
1557449278909,744,13563
1557449279948,744,13563
1557449280973,744,13563
1557449281998,744,13563
1557449283004,744,13563
1557449284066,744,13564
1557449285048,744,13564
1557449286099,744,13564
1557449287126,744,13564
1557449288151,744,13564
1557449289174,744,13564
1557449290175,744,13564
1557449291222,744,13564
1557449292221,744,13564
1557449293246,744,13564
1557449294271,744,13564
1557449295323,744,13564
1557449296346,744,13564
1557449297360,744,13564
1557449298378,745,13564
1557449299392,745,13564
1557449300422,745,13564
1557449301452,745,13564
1557449302498,745,13564
1557449303498,745,13564
1557449304534,745,13564
1557449305573,745,13564
1557449306573,745,13564
1557449307597,745,13564
1557449308628,745,13564
1557449309648,745,13564
1557449310673,745,13564
1557449311702,745,13564
1557449312723,745,13564
1557449313747,745,13564
1557449314773,745,13564
1557449315778,745,13564
1557449316823,745,13564
1557449317854,745,13564
1557449318873,745,13565
1557449319879,745,13565
1557449320922,745,13565
1557449321921,745,13565
1557449322946,745,13565
1557449323996,745,13565
1557449325023,745,13565
1557449326048,745,13565
1557449327054,745,13565
1557449328097,745,13565
1557449329097,745,13565
1557449330123,745,13565
1557449331147,745,13565
1557449332172,745,13565
1557449333221,745,13565
1557449334221,746,13565
1557449335271,746,13565
1557449336271,746,13565
1557449337299,746,13565
1557449338321,746,13565
1557449339347,746,13565
1557449340373,746,13565
1557449341373,746,13565
1557449342421,746,13565
1557449343447,746,13565
1557449344471,746,13565
1557449345497,746,13565
1557449346522,746,13565
1557449347548,746,13566
1557449348553,746,13566
1557449349598,746,13566
1557449350622,746,13566
1557449351646,746,13566
1557449352650,746,13566
1557449353697,746,13566
1557449354723,746,13566
1557449355745,746,13566
1557449356748,746,13566
1557449357798,746,13566
1557449358797,746,13566
1557449359822,746,13566
1557449360848,747,13566
1557449361872,747,13566
1557449362904,747,13566
1557449363927,747,13566
1557449364947,747,13566
1557449365972,747,13566
1557449366997,747,13566
1557449368022,747,13566
1557449369046,747,13567
1557449370072,747,13567
1557449371098,747,13567
1557449372123,747,13567
1557449373147,747,13567
1557449374154,747,13567
1557449375173,747,13567
1557449376221,747,13567
1557449377246,747,13567
1557449378246,747,13567
1557449379296,747,13567
1557449380321,747,13567
1557449381321,747,13567
1557449382352,747,13567
1557449383373,747,13567
1557449384406,747,13567
1557449385447,748,13567
1557449386446,748,13567
1557449387497,748,13567
1557449388497,748,13567
1557449389522,748,13567
1557449390547,748,13567
1557449391571,748,13567
1557449392598,748,13567
1557449393621,748,13567
1557449394647,748,13567
1557449395648,748,13567
1557449396697,748,13567
1557449397723,748,13567
1557449398747,748,13568
1557449399772,748,13568
1557449400797,748,13568
1557449401822,748,13568
1557449402847,748,13568
1557449403852,748,13568
1557449404897,748,13568
1557449405932,748,13568
1557449406947,748,13568
1557449407952,748,13568
1557449408997,748,13568
1557449410022,748,13568
1557449411022,748,13568
1557449412046,748,13568
1557449413072,748,13568
1557449414097,748,13568
1557449415122,748,13568
1557449416157,748,13568
1557449417172,748,13568
1557449418196,748,13568
1557449419291,748,13568
1557449420246,748,13568
1557449421271,748,13568
1557449422296,748,13568
1557449423321,748,13568
1557449424346,748,13568
1557449425371,748,13568
1557449426372,749,13568
1557449427422,749,13568
1557449428446,749,13568
1557449429447,749,13568
1557449430497,749,13568
1557449431522,749,13568
1557449432522,749,13568
1557449433555,749,13568
1557449434597,749,13568
1557449435597,749,13568
1557449436622,749,13568
1557449437647,749,13568
1557449438671,749,13568
1557449439697,749,13568
1557449440724,749,13568
1557449441729,749,13569
1557449442772,749,13569
1557449443797,749,13569
1557449444822,749,13569
1557449445847,749,13569
1557449446871,749,13569
1557449447887,749,13569
1557449448921,749,13569
1557449449947,749,13569
1557449450946,749,13569
1557449451978,749,13569
1557449453010,749,13569
1557449454021,749,13569
1557449455071,749,13569
