timestamp,confidence,type
1557275295935,1.0,STILL
1557275334529,1.0,STILL
1557277464917,1.0,STILL
1557277639191,1.0,STILL
1557277672609,1.0,STILL
1557277813172,1.0,STILL
1557278052231,1.0,STILL
1557278142762,1.0,STILL
1557278171039,0.31,UNKNOWN
1557278171039,0.3,ON_FOOT
1557278171039,0.3,WALKING
1557278171039,0.09,STILL
1557278171039,0.08,IN_VEHICLE
1557278171039,0.08,ON_BICYCLE
1557278171039,0.08,RUNNING
1557278183338,1.0,TILTING
1557278195636,0.4,STILL
1557278195636,0.21,UNKNOWN
1557278195636,0.16,ON_FOOT
1557278195636,0.16,WALKING
1557278195636,0.07,ON_BICYCLE
1557278195636,0.06,IN_VEHICLE
1557278195636,0.05,RUNNING
1557278209339,1.0,TILTING
1557278223042,0.3,UNKNOWN
1557278223042,0.19,STILL
1557278223042,0.15,ON_FOOT
1557278223042,0.15,WALKING
1557278223042,0.1,IN_VEHICLE
1557278223042,0.09,ON_BICYCLE
1557278223042,0.08,RUNNING
1557278251236,0.52,ON_FOOT
1557278251236,0.52,WALKING
1557278251236,0.21,UNKNOWN
1557278251236,0.08,RUNNING
1557278251236,0.05,IN_VEHICLE
1557278251236,0.05,ON_BICYCLE
1557278251236,0.05,STILL
1557278265584,1.0,TILTING
1557278279932,0.25,UNKNOWN
1557278279932,0.23,STILL
1557278279932,0.14,IN_VEHICLE
1557278279932,0.12,ON_FOOT
1557278279932,0.12,WALKING
1557278279932,0.07,ON_BICYCLE
1557278279932,0.06,RUNNING
1557278301517,0.93,ON_FOOT
1557278301517,0.93,WALKING
1557278301517,0.02,STILL
1557278301517,0.02,UNKNOWN
1557278301517,0.01,IN_VEHICLE
1557278301517,0.0,RUNNING
1557278306158,0.77,ON_FOOT
1557278306158,0.77,WALKING
1557278306158,0.07,STILL
1557278306158,0.05,ON_BICYCLE
1557278306158,0.03,IN_VEHICLE
1557278306158,0.03,UNKNOWN
1557278306158,0.03,RUNNING
1557278313180,1.0,TILTING
1557278320201,1.0,ON_FOOT
1557278320201,1.0,WALKING
1557278342104,0.73,ON_BICYCLE
1557278342104,0.11,UNKNOWN
1557278342104,0.05,ON_FOOT
1557278342104,0.05,WALKING
1557278342104,0.04,STILL
1557278342104,0.03,IN_VEHICLE
1557278342104,0.03,RUNNING
1557278355955,1.0,ON_BICYCLE
1557278370278,1.0,ON_BICYCLE
1557278384123,1.0,ON_BICYCLE
1557278397969,1.0,ON_BICYCLE
1557278411830,1.0,ON_BICYCLE
1557278425689,1.0,ON_BICYCLE
1557278439537,0.99,ON_BICYCLE
1557278439537,0.01,ON_FOOT
1557278439537,0.01,WALKING
1557278453396,1.0,ON_BICYCLE
1557278467245,0.87,ON_BICYCLE
1557278467245,0.13,IN_VEHICLE
1557278481088,0.97,ON_BICYCLE
1557278481088,0.02,ON_FOOT
1557278481088,0.02,WALKING
1557278481088,0.01,UNKNOWN
1557278494942,0.96,ON_BICYCLE
1557278494942,0.02,ON_FOOT
1557278494942,0.02,WALKING
1557278494942,0.01,IN_VEHICLE
1557278494942,0.01,UNKNOWN
1557278508832,1.0,ON_BICYCLE
1557278523480,1.0,ON_BICYCLE
1557278537307,0.99,ON_BICYCLE
1557278537307,0.01,ON_FOOT
1557278537307,0.01,WALKING
1557278551115,0.83,ON_BICYCLE
1557278551115,0.07,STILL
1557278551115,0.05,ON_FOOT
1557278551115,0.05,WALKING
1557278551115,0.02,IN_VEHICLE
1557278551115,0.02,UNKNOWN
1557278566075,1.0,TILTING
1557278581035,0.4,IN_VEHICLE
1557278581035,0.19,STILL
1557278581035,0.1,ON_BICYCLE
1557278581035,0.1,UNKNOWN
1557278581035,0.08,ON_FOOT
1557278581035,0.08,WALKING
1557278581035,0.02,RUNNING
1557278594063,1.0,TILTING
1557278607091,0.48,ON_BICYCLE
1557278607091,0.21,UNKNOWN
1557278607091,0.09,ON_FOOT
1557278607091,0.09,WALKING
1557278607091,0.08,STILL
1557278607091,0.06,IN_VEHICLE
1557278607091,0.05,RUNNING
1557278621012,0.97,ON_BICYCLE
1557278621012,0.02,UNKNOWN
1557278621012,0.01,ON_FOOT
1557278621012,0.01,WALKING
1557278634856,1.0,ON_BICYCLE
1557278661104,0.73,ON_BICYCLE
1557278661104,0.27,IN_VEHICLE
1557278661104,0.0,UNKNOWN
1557278674964,0.82,ON_BICYCLE
1557278674964,0.17,IN_VEHICLE
1557278674964,0.01,UNKNOWN
1557278688806,0.92,ON_BICYCLE
1557278688806,0.07,ON_FOOT
1557278688806,0.07,WALKING
1557278688806,0.01,UNKNOWN
1557278703556,0.99,ON_BICYCLE
1557278703556,0.01,UNKNOWN
1557278717480,1.0,ON_BICYCLE
1557278731346,0.99,ON_BICYCLE
1557278731346,0.01,UNKNOWN
1557278745177,1.0,ON_BICYCLE
1557278759022,1.0,ON_BICYCLE
1557278772874,1.0,ON_BICYCLE
1557278786742,1.0,ON_BICYCLE
1557278800540,1.0,ON_BICYCLE
1557278814424,0.95,ON_BICYCLE
1557278814424,0.05,IN_VEHICLE
1557278828289,0.99,ON_BICYCLE
1557278828289,0.01,UNKNOWN
1557278842140,0.99,ON_BICYCLE
1557278842140,0.01,ON_FOOT
1557278842140,0.01,WALKING
1557278856004,1.0,ON_BICYCLE
1557278886141,0.6,ON_FOOT
1557278886141,0.6,WALKING
