timestamp,rxKiloBytes,txKiloBytes,duration
1557275319947,0,0,15000
1557275472973,504,44,15000
1557275487991,0,0,15000
1557275503025,24,3,15000
1557275518048,0,0,15000
1557275533077,14,12,15000
1557275548102,1315,47,15000
1557275563119,60,4,15000
1557275578131,506,43,15000
1557275593155,36,14,15000
1557275608181,12,6,15000
1557275623207,279,48,15000
1557275638235,81,10,15000
1557275653255,1,0,15000
1557275668269,6,7,15000
1557275683288,170,22,15000
1557275698308,126,14,15000
1557275713330,345,11,15000
1557275728357,79,27,15000
1557275743384,7719,154,15000
1557275758405,18311,352,15000
1557275773424,8,3,15000
1557275788444,260,18,15000
1557275803453,41,20,15000
1557275818468,1,1,15000
1557275833484,5,12,15000
1557275848502,109,23,15000
1557275863519,5,11,15000
1557275878530,1223,69,15000
1557275893551,0,0,15000
1557275908565,19,5,15000
1557275923584,1,1,15000
1557275938595,34,20,15000
1557275953609,43,34,15000
1557275968621,32,23,15000
1557275983643,367,51,15000
1557275998667,46,12,15000
1557276013679,143,11,15000
1557276028695,2335,106,15000
1557276043720,0,0,15000
1557276058746,0,0,15000
1557276073763,0,0,15000
1557276088778,1,3,15000
1557276103788,3,5,15000
1557276118803,0,0,15000
1557276133811,128,10,15000
1557276148822,27,6,15000
1557276163833,223,12,15000
1557276178853,583,28,15000
1557276193863,122,25,15000
1557276208876,4592,185,15000
1557276223888,1,4,15000
1557276238901,2146,39,15000
1557276253912,2159,43,15000
1557276268925,304,20,15000
1557276283948,1284,72,15000
1557276298974,700,48,15000
1557276314006,0,0,15000
1557276329025,0,0,15000
1557276344036,0,0,15000
1557276359054,111,23,15000
1557276374065,196,14,15000
1557276389096,653,25,15000
1557276404116,176,73,15000
1557276419131,16,1,15000
1557276434159,30,12,15000
1557276449180,89,8,15000
1557276464197,19,5,15000
1557276479230,22,3,15000
1557276494240,7,8,15000
1557276509250,2,2,15000
1557276524273,6,6,15000
1557276539301,4,5,15000
1557276554325,8,8,15000
1557276569342,6,5,15000
1557276584368,29,7,15000
1557276599399,72,13,15000
1557276614421,24,9,15000
1557276629434,0,0,15000
1557276644452,22,16,15000
1557276659477,16,4,15000
1557276674494,20,7,15000
1557276689508,185,27,15000
1557276704532,44,14,15000
1557276719745,45,14,15000
1557276734758,43,16,15000
1557276749773,49,14,15000
1557276764792,96,15,15000
1557276779822,7,6,15000
1557276794837,6,7,15000
1557276809868,16,8,15000
1557276824896,17,7,15000
1557276839922,19,4,15000
1557276854943,31,12,15000
1557276869968,11,7,15000
1557276884977,36,16,15000
1557276899999,502,57,15000
1557276915089,1031,78,15000
1557276930117,3326,70,15000
1557276945147,2,2,15000
1557276960243,8,7,15000
1557276975264,0,0,15000
1557276990277,14,12,15000
1557277005295,2582,174,15000
1557277020317,1,0,15000
1557277035338,544,35,15000
1557277050372,4,3,15000
1557277065388,1752,119,15000
1557277080421,235,15,15000
1557277095437,26,14,15000
1557277110449,45,15,15000
1557277125463,176,24,15000
1557277140485,43,9,15000
1557277155516,1,0,15000
1557277170538,141,20,15000
1557277185565,2,2,15000
1557277200589,4,3,15000
1557277215702,80,15,15000
1557277230716,299,18,15000
1557277245736,20,3,15000
1557277260763,60,19,15000
1557277275801,142,15,15000
1557277290816,45,10,15000
1557277305838,24,7,15000
1557277320860,42,14,15000
1557277335881,37,8,15000
1557277350891,2,0,15000
1557277365902,248,21,15000
1557277380915,993,43,15000
1557277395937,23,12,15000
1557277410955,1283,57,15000
1557277425973,11,5,15000
1557277440989,1,0,15000
1557277456011,98,11,15000
1557277534805,5,5,15000
1557277549842,50,6,15000
1557277564853,31,11,15000
1557277579868,26,9,15000
1557277595019,6014,168,15000
1557277610122,15122,338,15000
1557277625148,0,0,15000
1557277670197,0,0,15000
1557277732005,7,27,15000
1557277747027,16,29,15000
1557277762059,99,16,15000
1557277777088,81,14,15000
1557277792118,6,4,15000
1557277807146,0,0,15000
1557277957247,2,3,15000
1557277972260,1,1,15000
1557277987285,1,2,15000
1557278002300,0,0,15000
1557278017318,1,1,15000
1557278032347,0,0,15000
1557278047377,0,0,15000
1557278062400,0,0,15000
1557278077417,0,0,15000
1557278092429,29,58,15000
1557278107450,0,1,15000
1557278122479,0,0,15000
1557278137506,0,0,15000
1557278287589,26,11,15000
1557278302613,11,3,15000
1557278902803,485,77,15000
1557278917814,1,1,15000
1557278932824,26,2,15000
1557278947839,0,0,15000
1557278962863,29,7,15000
1557278977880,0,0,15000
1557278992895,4,1,15000
1557280103457,0,0,15000
1557280193522,68,18,15000
1557280208544,30,17,15000
1557280223562,34,19,15000
1557280238596,0,0,15000
1557281499249,20,8,15000
1557281514286,0,0,15000
1557281589354,0,0,15000
1557281664414,0,0,15000
1557281679437,0,0,15000
1557281724480,0,0,15000
1557281739510,0,0,15000
1557281814582,0,0,15000
1557281919673,0,0,15000
1557281934697,5,7,15000
1557281949716,0,0,15000
1557281964746,0,0,15000
1557282490029,341,22,15000
1557282505043,8,1,15000
1557282520056,6,3,15000
1557282535071,1050,40,15000
1557285176425,19,9,15000
1557285191460,6,2,15000
1557287132483,16,2,15000
1557287147497,5,3,15000
1557287162511,0,0,15000
1557277050372,4,3,15000
1557277065388,1752,119,15000
1557277080421,235,15,15000
1557277095437,26,14,15000
1557277110449,45,15,15000
1557277125463,176,24,15000
1557277140485,43,9,15000
1557277155516,1,0,15000
1557277170538,141,20,15000
1557277185565,2,2,15000
1557277200589,4,3,15000
1557277215702,80,15,15000
1557277230716,299,18,15000
1557277245736,20,3,15000
1557277260763,60,19,15000
1557277275801,142,15,15000
1557277290816,45,10,15000
1557277305838,24,7,15000
1557277320860,42,14,15000
1557277335881,37,8,15000
1557277350891,2,0,15000
1557277365902,248,21,15000
1557277380915,993,43,15000
1557277395937,23,12,15000
1557277410955,1283,57,15000
1557277425973,11,5,15000
1557277440989,1,0,15000
1557277456011,98,11,15000
1557277534805,5,5,15000
1557277549842,50,6,15000
1557277564853,31,11,15000
1557277579868,26,9,15000
1557277595019,6014,168,15000
1557277610122,15122,338,15000
1557277625148,0,0,15000
1557277670197,0,0,15000
1557277732005,7,27,15000
1557277747027,16,29,15000
1557277762059,99,16,15000
1557277777088,81,14,15000
1557277792118,6,4,15000
1557277807146,0,0,15000
1557277957247,2,3,15000
1557277972260,1,1,15000
1557277987285,1,2,15000
1557278002300,0,0,15000
1557278017318,1,1,15000
1557278032347,0,0,15000
1557278047377,0,0,15000
1557278062400,0,0,15000
1557278077417,0,0,15000
1557278092429,29,58,15000
1557278107450,0,1,15000
1557278122479,0,0,15000
1557278137506,0,0,15000
1557278287589,26,11,15000
1557278302613,11,3,15000
1557278902803,485,77,15000
1557278917814,1,1,15000
1557278932824,26,2,15000
1557278947839,0,0,15000
1557278962863,29,7,15000
1557278977880,0,0,15000
1557278992895,4,1,15000
1557280103457,0,0,15000
1557280193522,68,18,15000
1557280208544,30,17,15000
1557280223562,34,19,15000
1557280238596,0,0,15000
1557281499249,20,8,15000
1557281514286,0,0,15000
1557281589354,0,0,15000
1557281664414,0,0,15000
1557281679437,0,0,15000
1557281724480,0,0,15000
1557281739510,0,0,15000
1557281814582,0,0,15000
1557281919673,0,0,15000
1557281934697,5,7,15000
1557281949716,0,0,15000
1557281964746,0,0,15000
1557282490029,341,22,15000
1557282505043,8,1,15000
1557282520056,6,3,15000
1557282535071,1050,40,15000
1557285176425,19,9,15000
1557285191460,6,2,15000
1557287132483,16,2,15000
1557287147497,5,3,15000
1557287162511,0,0,15000
1557293991182,9,14,15000
1557296968544,21,5,15000
1557298709474,4,1,15000
1557298724483,13,5,15000
1557302131511,256,28,15000
1557302146547,1,0,15000
1557303872597,0,0,15000
1557310196218,55,46,15000
1557310211243,0,1,15000
1557310226270,0,0,15000
1557310241295,0,0,15000
1557311066792,0,0,15000
1557311081804,24,6,15000
1557311096823,51,14,15000
1557311111842,654,93,15000
1557311126857,11939,242,15000
1557311141879,728,31,15000
1557311156905,529,8,15000
1557311171928,2324,20,15000
1557311186957,520,7,15000
1557311201984,511,6,15000
1557311217023,513,5,15000
1557311232035,1775,27,15000
1557311247046,518,3,15000
1557311442158,1618,96,15000
1557311457185,2545,71,15000
1557311472208,1991,22,15000
1557311487228,526,8,15000
1557311502249,138,4,15000
1557311517268,1803,19,15000
1557311532287,1,1,15000
1557311547303,229,4,15000
1557311562317,0,0,15000
1557311577336,1,1,15000
1557311592352,0,1,15000
1557311607371,0,0,15000
1557311622471,1,1,15000
1557311637490,1283,83,15000
1557311652510,924,37,15000
1557311667530,1313,17,15000
1557311682556,827,21,15000
1557311697575,998,17,15000
1557311712591,922,17,15000
1557311727613,823,14,15000
1557311742689,798,14,15000
1557311757716,408,11,15000
1557311772787,444,15,15000
1557311787808,397,9,15000
1557311802840,465,8,15000
1557311817864,426,8,15000
1557311832892,479,11,15000
1557311847917,372,6,15000
1557311862941,484,11,15000
1557311877959,309,4,15000
1557311892993,631,13,15000
1557311908012,279,12,15000
1557311923041,579,8,15000
1557311938055,2921,58,15000
1557311953070,3272,77,15000
1557311968087,672,36,15000
1557312178207,347,8,15000
1557312193229,181,9,15000
1557312283424,20118,186,15000
1557312298822,3,5,15000
1557312418927,364,55,15000
1557312433957,216,31,15000
1557312449087,1039,63,15000
1557312464105,0,0,15000
1557312479130,16,7,15000
1557312494140,1981,78,15000
1557312509152,0,0,15000
1557313844979,1478,139,15000
1557313860007,2844,146,15000
1557313875018,1030,77,15000
1557313890030,108,13,15000
1557313905063,50,22,15000
1557313920079,32,15,15000
1557313935098,4,4,15000
1557313950125,3,3,15000
1557315406102,1,2,15000
1557315421120,1,1,15000
1557315436138,304,19,15000
1557315451174,51,18,15000
1557315466189,2966,90,15000
1557315481203,10949,303,15000
1557315496217,4010,172,15000
1557315511238,30,124,15000
1557315526254,13,94,15000
1557315541279,10,72,15000
1557315556292,9,72,15000
1557315571313,13,95,15000
1557315586339,11,47,15000
1557315601362,3,3,15000
1557315616389,29,13,15000
1557315631421,6,4,15000
1557316787244,398,32,15000
1557317267441,0,11,15000
1557317282455,415,43,15000
1557317297465,6,4,15000
1557317312479,4684,169,15000
1557317327502,1466,80,15000
1557317342515,148,23,15000
1557317357529,116,15,15000
1557317597723,2228,54,15000
