timestamp,UVExposureToday,UVIndexLevel
1557630465584,0,NONE
1557630525609,0,NONE
1557630585613,0,NONE
1557630645591,0,NONE
1557630705609,0,NONE
1557630765591,0,NONE
1557631128305,0,NONE
1557631188306,0,NONE
1557631248329,0,NONE
1557631308297,0,NONE
1557631368298,0,NONE
1557631428301,0,NONE
1557631488298,0,NONE
1557631548304,0,NONE
1557631608342,0,NONE
1557631668298,0,NONE
1557631728298,0,NONE
1557631788297,0,NONE
1557631848342,0,NONE
1557631908298,0,LOW
1557631968297,0,LOW
1557632028296,0,LOW
1557632088320,0,LOW
1557632148295,0,LOW
1557632208358,0,LOW
1557632268321,0,LOW
1557632328320,0,LOW
1557632388319,0,LOW
1557632448319,0,LOW
1557632508319,0,LOW
1557632568299,0,LOW
1557632628318,0,LOW
1557632688318,0,LOW
1557632748318,0,LOW
1557632808318,0,LOW
1557632868317,0,LOW
1557632928324,0,NONE
1557632988350,0,NONE
1557633048318,0,NONE
1557633108316,0,NONE
1557633168317,0,NONE
1557633228318,0,NONE
1557633288317,0,NONE
1557633348316,0,NONE
1557633408316,0,NONE
1557633468317,0,NONE
1557633528317,0,NONE
1557633588315,0,NONE
1557633648316,0,NONE
1557633708323,0,NONE
1557633768316,0,NONE
1557633828317,0,NONE
1557633888446,0,NONE
1557633948315,0,NONE
1557634008338,0,NONE
1557634068314,0,NONE
1557634128320,0,NONE
1557634188323,0,NONE
1557634248314,0,LOW
1557634308312,0,LOW
1557634368312,0,LOW
1557634428312,0,LOW
1557634488311,0,LOW
1557634548311,0,LOW
1557634608313,0,NONE
1557634668311,0,LOW
1557634728311,0,LOW
1557634788337,0,LOW
1557634848312,0,LOW
1557634908312,0,LOW
1557634968346,0,NONE
1557635028337,0,NONE
1557635088336,0,NONE
1557635148336,0,NONE
1557635408584,0,NONE
1557635468583,0,NONE
1557635528583,0,NONE
1557635588595,0,NONE
1557635648584,0,NONE
1557635708582,0,NONE
1557635768582,0,NONE
1557635828581,0,NONE
1557635888581,0,NONE
1557635948592,0,NONE
1557636008587,0,NONE
1557636068580,0,NONE
1557636128605,0,NONE
1557636188605,0,NONE
1557636248584,0,NONE
1557636308603,0,NONE
1557636368603,0,NONE
1557637913115,0,NONE
1557637973114,0,NONE
1557638033116,0,LOW
1557638093116,0,LOW
1557638153115,0,LOW
1557638213115,0,LOW
1557638273115,0,NONE
1557638333114,0,LOW
1557638393120,0,LOW
1557638453120,0,LOW
1557638513189,0,LOW
1557638573113,0,LOW
1557638633112,0,NONE
1557638693187,0,NONE
1557638753112,0,NONE
1557638813114,0,NONE
1557638873111,0,NONE
1557638933112,0,NONE
1557639641707,0,NONE
1557639701718,0,NONE
1557639761705,0,NONE
1557639821708,0,NONE
1557639881706,0,NONE
1557639941706,0,NONE
1557640001711,0,NONE
1557640061708,0,NONE
1557640121712,0,NONE
1557640181706,0,NONE
1557640241714,0,NONE
1557640301706,0,NONE
1557640361705,0,NONE
1557640421706,0,NONE
1557640481706,0,NONE
1557640541705,0,NONE
1557640602146,0,NONE
1557640662156,0,NONE
1557640722731,0,NONE
1557640782151,0,NONE
1557640842149,0,NONE
1557640902147,0,NONE
1557640962141,0,NONE
1557641022143,0,NONE
1557641082168,0,NONE
1557641142151,0,NONE
1557641202157,0,NONE
1557641262138,0,NONE
1557641322151,0,NONE
1557641382134,0,NONE
1557641442728,0,NONE
1557647184230,0,NONE
1557647244230,0,NONE
1557647304231,0,NONE
1557647364238,0,NONE
1557647424249,0,NONE
1557647484230,0,NONE
1557647544230,0,NONE
1557647604232,0,NONE
1557647664230,0,NONE
1557647724230,0,NONE
1557647784229,0,NONE
1557647844230,0,NONE
1557647904228,0,NONE
1557647964228,0,NONE
1557648024229,0,NONE
1557648084227,0,LOW
1557648144228,0,NONE
1557648204224,0,NONE
1557648264235,0,NONE
1557648324239,0,NONE
1557648384228,0,LOW
1557648444227,0,LOW
1557648504226,0,NONE
1557648564255,0,NONE
1557648624429,0,LOW
1557648684234,0,LOW
1557648744344,0,NONE
1557648804253,0,NONE
1557648864252,0,NONE
1557648924734,0,NONE
1557648984749,0,NONE
1557649045299,0,NONE
1557649104739,0,NONE
1557649175497,0,NONE
1557649226571,0,NONE
1557649284281,0,NONE
