timestamp,mimetype,bucketDisplay
1557797916000,image/jpeg,Download
1557797916000,image/jpeg,Download
1557820038000,image/jpeg,Download
1557829037680,image/jpeg,Camera
1557829043708,image/jpeg,Camera
1557829064508,image/jpeg,Camera
1557829083020,image/jpeg,Camera
1557829135942,image/jpeg,Camera
1557829192945,image/jpeg,Camera
1557829481473,image/jpeg,Camera
1557830751000,image/jpeg,Download
1557830785025,image/jpeg,Screenshots
