timestamp,transitionType
1557278401013,EXIT_STILL
1557278401013,ENTER_WALKING
1557278808926,EXIT_WALKING
1557278808926,ENTER_STILL
1557284753128,EXIT_STILL
1557284753128,ENTER_WALKING
1557285294319,EXIT_WALKING
1557285294319,ENTER_STILL
1557286733438,EXIT_STILL
1557286733438,ENTER_WALKING
1557278099576,EXIT_STILL
1557278099576,ENTER_WALKING
1557278612042,EXIT_WALKING
1557278612042,ENTER_STILL
1557278736888,EXIT_STILL
1557278736888,ENTER_WALKING
1557279016516,EXIT_WALKING
1557279016516,ENTER_STILL
1557279128790,EXIT_STILL
1557279128790,ENTER_WALKING
1557279245555,EXIT_WALKING
1557279245555,ENTER_STILL
1557283854405,EXIT_STILL
1557283854405,ENTER_WALKING
1557284850998,EXIT_WALKING
1557284850998,ENTER_STILL
1557285002889,EXIT_STILL
1557285002889,ENTER_WALKING
1557285127255,EXIT_WALKING
1557285127255,ENTER_STILL
1557285943271,EXIT_STILL
1557285943271,ENTER_WALKING
1557286033899,EXIT_WALKING
1557286033899,ENTER_STILL
1557288013481,EXIT_STILL
1557288013481,ENTER_WALKING
1557288086120,EXIT_WALKING
1557288086120,ENTER_IN_VEHICLE
1557288245389,EXIT_IN_VEHICLE
1557288245389,ENTER_WALKING
1557288369118,EXIT_WALKING
1557288369118,ENTER_STILL
1557288951544,EXIT_STILL
1557288951544,ENTER_WALKING
1557289145026,EXIT_WALKING
1557289145026,ENTER_ON_BICYCLE
1557289160277,EXIT_ON_BICYCLE
1557289160277,ENTER_IN_VEHICLE
1557290509434,EXIT_IN_VEHICLE
1557290509434,ENTER_WALKING
1557290594532,EXIT_WALKING
1557290594532,ENTER_STILL
1557287191601,EXIT_WALKING
1557287191601,ENTER_STILL
1557288124216,EXIT_STILL
1557288124216,ENTER_WALKING
1557288336923,EXIT_WALKING
1557288336923,ENTER_STILL
1557288564606,EXIT_STILL
1557288564606,ENTER_ON_BICYCLE
1557288713979,EXIT_ON_BICYCLE
1557288713979,ENTER_STILL
1557288831615,EXIT_STILL
1557288831615,ENTER_ON_BICYCLE
1557290629758,EXIT_ON_BICYCLE
1557290629758,ENTER_WALKING
1557290673384,EXIT_WALKING
1557290673384,ENTER_ON_BICYCLE
1557290826520,EXIT_ON_BICYCLE
1557290826520,ENTER_WALKING
1557290857080,EXIT_WALKING
1557290857080,ENTER_ON_BICYCLE
1557291024856,EXIT_ON_BICYCLE
1557291024856,ENTER_WALKING
1557291040209,EXIT_WALKING
1557291040209,ENTER_ON_BICYCLE
1557291101163,EXIT_ON_BICYCLE
1557291101163,ENTER_WALKING
1557291116369,EXIT_WALKING
1557291116369,ENTER_ON_BICYCLE
1557291499832,EXIT_ON_BICYCLE
1557291499832,ENTER_IN_VEHICLE
1557291545656,EXIT_IN_VEHICLE
1557291545656,ENTER_ON_BICYCLE
1557292661940,EXIT_ON_BICYCLE
1557292661940,ENTER_WALKING
1557292692505,EXIT_WALKING
1557292692505,ENTER_ON_BICYCLE
1557292849545,EXIT_ON_BICYCLE
1557292849545,ENTER_STILL
1557293336625,EXIT_STILL
1557293336625,ENTER_ON_BICYCLE
1557293463931,EXIT_ON_BICYCLE
1557293463931,ENTER_IN_VEHICLE
1557293539742,EXIT_IN_VEHICLE
1557293539742,ENTER_ON_BICYCLE
1557293663960,EXIT_ON_BICYCLE
1557293663960,ENTER_WALKING
1557293679227,EXIT_WALKING
1557293679227,ENTER_ON_BICYCLE
1557293883439,EXIT_ON_BICYCLE
1557293883439,ENTER_WALKING
1557293929122,EXIT_WALKING
1557293929122,ENTER_ON_BICYCLE
1557294436504,EXIT_ON_BICYCLE
1557294436504,ENTER_WALKING
1557294482443,EXIT_WALKING
1557294482443,ENTER_ON_BICYCLE
1557296912569,EXIT_ON_BICYCLE
1557296912569,ENTER_WALKING
1557297050020,EXIT_WALKING
1557297050020,ENTER_ON_BICYCLE
1557297325546,EXIT_ON_BICYCLE
1557297325546,ENTER_WALKING
1557297513239,EXIT_WALKING
1557297513239,ENTER_STILL
1557300997383,EXIT_STILL
1557300997383,ENTER_IN_VEHICLE
1557301911452,EXIT_IN_VEHICLE
1557301911452,ENTER_STILL
1557305727468,EXIT_STILL
1557305727468,ENTER_WALKING
1557305814872,EXIT_WALKING
1557305814872,ENTER_IN_VEHICLE
1557306580056,EXIT_IN_VEHICLE
1557306580056,ENTER_STILL
1557306945526,EXIT_STILL
1557306945526,ENTER_WALKING
1557307171526,EXIT_WALKING
1557307171526,ENTER_ON_BICYCLE
1557307186784,EXIT_ON_BICYCLE
1557307186784,ENTER_IN_VEHICLE
1557307294099,EXIT_IN_VEHICLE
1557307294099,ENTER_WALKING
1557307427314,EXIT_WALKING
1557307427314,ENTER_STILL
1557308948203,EXIT_STILL
1557308948203,ENTER_WALKING
1557309167691,EXIT_WALKING
1557309167691,ENTER_STILL
1557298886714,EXIT_STILL
1557298886714,ENTER_WALKING
1557299277767,EXIT_WALKING
1557299277767,ENTER_ON_BICYCLE
1557299462453,EXIT_ON_BICYCLE
1557299462453,ENTER_WALKING
1557299493290,EXIT_WALKING
1557299493290,ENTER_ON_BICYCLE
1557299784888,EXIT_ON_BICYCLE
1557299784888,ENTER_WALKING
1557299860713,EXIT_WALKING
1557299860713,ENTER_STILL
1557299906904,EXIT_STILL
1557299906904,ENTER_WALKING
1557300120373,EXIT_WALKING
1557300120373,ENTER_STILL
1557300346955,EXIT_STILL
1557300346955,ENTER_WALKING
1557300424175,EXIT_WALKING
1557300424175,ENTER_STILL
1557300455792,EXIT_STILL
1557300455792,ENTER_WALKING
1557300504047,EXIT_WALKING
1557300504047,ENTER_STILL
1557305245704,EXIT_STILL
1557305245704,ENTER_WALKING
1557305536808,EXIT_WALKING
1557305536808,ENTER_STILL
1557305615813,EXIT_STILL
1557305615813,ENTER_WALKING
1557305938499,EXIT_WALKING
1557305938499,ENTER_IN_VEHICLE
1557306767644,EXIT_IN_VEHICLE
1557306767644,ENTER_WALKING
1557307020400,EXIT_WALKING
1557307020400,ENTER_STILL
1557310770747,EXIT_STILL
1557310770747,ENTER_WALKING
1557311065798,EXIT_WALKING
1557311065798,ENTER_STILL
1557313115994,EXIT_STILL
1557313115994,ENTER_WALKING
1557313224105,EXIT_WALKING
1557313224105,ENTER_STILL
1557313505762,EXIT_STILL
1557313505762,ENTER_WALKING
1557314009550,EXIT_WALKING
1557314009550,ENTER_STILL
1557314332138,EXIT_STILL
1557314332138,ENTER_IN_VEHICLE
1557314662656,EXIT_IN_VEHICLE
1557314662656,ENTER_WALKING
1557314777143,EXIT_WALKING
1557314777143,ENTER_STILL
1557314848661,EXIT_STILL
1557314848661,ENTER_WALKING
1557315003572,EXIT_WALKING
1557315003572,ENTER_STILL
1557317239591,EXIT_STILL
1557317239591,ENTER_WALKING
1557319244852,EXIT_WALKING
1557319244852,ENTER_STILL
1557319296216,EXIT_STILL
1557319296216,ENTER_WALKING
1557320868926,EXIT_STILL
1557320868926,ENTER_WALKING
1557320157417,EXIT_WALKING
1557320157417,ENTER_STILL
1557321053013,EXIT_WALKING
1557321053013,ENTER_STILL
1557321305012,EXIT_STILL
1557321305012,ENTER_WALKING
1557321441313,EXIT_WALKING
1557321441313,ENTER_IN_VEHICLE
1557321566700,EXIT_IN_VEHICLE
1557321566700,ENTER_WALKING
1557321703093,EXIT_WALKING
1557321703093,ENTER_IN_VEHICLE
1557321925436,EXIT_IN_VEHICLE
1557321925436,ENTER_WALKING
1557322012290,EXIT_WALKING
1557322012290,ENTER_STILL
1557336244100,EXIT_STILL
1557336244100,ENTER_IN_VEHICLE
1557336853644,EXIT_IN_VEHICLE
1557336853644,ENTER_STILL
1557340658534,EXIT_STILL
1557340658534,ENTER_IN_VEHICLE
1557340784943,EXIT_IN_VEHICLE
1557340784943,ENTER_WALKING
1557340968402,EXIT_WALKING
